Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Волгодонская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК  2456	УИК  2479					
1	"Число избирателей, внесенных в списки"	135710	2731	2267	2092	2645	2499	2594	2534	2406	1039	2203	2531	2071	1576	2535	2326	351	2594	2517	2525	2534	2216	2906	2240	2248	2434	2708	2878	2420	2878	2831	2924	2871	2613	2835	2906	2709	2820	2704	2788	2675	2916	2846	2902	2954	2900	2805	2714	1796	2010	2165	2946	2949	2737	2896					
2	"Число бюллетеней, полученных участковыми комиссиями"	135523	2700	2300	2100	2600	2500	2500	2600	2500	1001	2197	2694	2099	1600	2500	2300	351	2600	2604	2500	2500	2200	2900	2200	2200	2500	2700	2800	2498	2900	2801	2900	2900	2700	2800	2900	2800	2898	2800	2800	2697	2900	2900	2900	2900	2890	2700	2700	1700	2000	2100	2900	2896	2600	2797					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	58364	1349	1041	938	1369	1287	982	1113	1167	426	948	909	933	699	1089	982	187	1213	1250	921	1118	940	1136	855	942	1065	1318	1372	1031	1263	1210	1216	1140	1131	1171	1233	1060	1223	1121	1207	1174	1198	1223	1164	1235	1181	1186	1096	750	867	836	1207	1203	1102	1387					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1553	64	63	60	46	62	26	30	22	48	29	27	15	35	15	27	3	40	22	19	29	19	103	34	20	33	26	19	18	20	20	24	136	14	18	10	11	9	29	32	20	34	19	16	14	18	7	12	47	7	12	22	11	14	23					
6	Число погашенных бюллетеней	75606	1287	1196	1102	1185	1151	1492	1457	1311	527	1220	1758	1151	866	1396	1291	161	1347	1332	1560	1353	1241	1661	1311	1238	1402	1356	1409	1449	1617	1571	1660	1624	1555	1611	1657	1729	1666	1650	1561	1503	1668	1658	1720	1651	1691	1507	1592	903	1126	1252	1671	1682	1484	1387					
7	Число бюллетеней в переносных ящиках для голосования	1553	64	63	60	46	62	26	30	22	48	29	27	15	35	15	27	3	40	22	19	29	19	103	34	20	33	26	19	18	20	20	24	136	14	18	10	11	9	29	32	20	34	19	16	14	18	7	12	47	7	12	22	11	14	23					
8	Число бюллетеней в стационарных ящиках для голосования	58364	1349	1041	938	1369	1287	982	1113	1167	426	948	909	933	699	1089	982	187	1213	1250	921	1118	940	1136	855	942	1065	1318	1372	1031	1263	1210	1216	1140	1131	1171	1233	1060	1223	1121	1207	1174	1198	1223	1164	1235	1181	1186	1096	750	867	836	1207	1203	1102	1387					
9	Число недействительных бюллетеней	501	17	15	9	13	14	12	15	22	5	15	5	16	3	12	10	3	6	9	7	11	17	12	3	4	13	10	11	3	15	10	6	10	2	8	0	2	11	6	3	4	15	10	9	7	25	0	8	16	9	4	5	7	4	13					
10	Число действительных бюллетеней	59416	1396	1089	989	1402	1335	996	1128	1167	469	962	931	932	731	1092	999	187	1247	1263	933	1136	942	1227	886	958	1085	1334	1380	1046	1268	1220	1234	1266	1143	1181	1243	1069	1221	1144	1236	1190	1217	1232	1171	1242	1174	1193	1100	781	865	844	1224	1207	1112	1397					
