Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Юргинская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15102	272	150	735	327	499	348	660	141	946	332	56	339	52	71	951	1165	213	656	384	990	419	346	988	170	107	170	68	348	64	119	368	256	262	294	194	373	847	422									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15459	270	140	750	330	520	360	680	150	940	340	60	330	55	65	970	1200	220	680	390	1020	430	350	1040	169	110	170	65	350	65	130	370	260	270	330	200	380	860	440									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12797	240	115	615	280	438	312	562	102	792	268	49	259	46	62	831	936	177	584	346	856	363	258	872	90	87	158	62	304	55	105	325	218	223	247	168	310	730	352									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1016	15	15	68	12	28	22	46	18	75	31	2	31	3	2	19	174	13	24	18	35	18	27	27	74	15	2	1	15	6	12	14	9	9	11	22	31	29	43									
6	Число погашенных избирательных бюллетеней	1646	15	10	67	38	54	26	72	30	73	41	9	40	6	1	120	90	30	72	26	129	49	65	141	5	8	10	2	31	4	13	31	33	38	72	10	39	101	45									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1016	15	15	68	12	28	22	46	18	75	31	2	31	3	2	19	174	13	24	18	35	18	27	27	74	15	2	1	15	6	12	14	9	9	11	22	31	29	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12796	240	115	615	280	438	312	561	102	792	268	49	259	46	62	831	936	177	584	346	856	363	258	872	90	87	158	62	304	55	105	325	218	223	247	168	310	730	352									
9	Число недействительных избирательных бюллетеней	66	0	0	3	5	4	5	1	0	0	0	0	3	0	0	0	24	1	0	0	1	0	2	0	0	0	0	0	0	1	1	2	0	1	0	7	0	4	1									
10	Число действительных избирательных бюллетеней	13746	255	130	680	287	462	329	606	120	867	299	51	287	49	64	850	1086	189	608	364	890	381	283	899	164	102	160	63	319	60	116	337	227	231	258	183	341	755	394									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	587	5	3	30	10	20	15	30	10	10	10	3	5	3	3	30	40	10	25	10	40	15	10	58	1	10	5	8	10	3	15	15	10	10	30	10	10	30	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	587	5	3	30	10	20	15	30	10	10	10	3	5	3	3	30	40	10	25	10	40	15	10	58	1	10	5	8	10	3	15	15	10	10	30	10	10	30	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	146	0	6	9	3	3	1	2	4	4	0	2	9	1	5	4	3	4	3	4	7	10	6	5	8	5	3	6	4	2	5	3	5	0	0	0	2	1	7									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	6	0	0	0	1	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	44	1	0	3	2	2	1	0	0	3	1	0	0	0	0	9	9	0	1	2	0	0	2	0	0	0	1	0	0	0	0	0	2	0	1	0	0	3	1									
