Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Тейковская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765					
1	"Число избирателей, внесенных в список избирателей"	9730	319	517	919	961	915	552	516	265	588	509	397	241	1234	702	1095					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9742	327	519	923	950	953	485	510	260	576	515	427	239	1240	693	1125					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3847	114	234	311	282	313	201	264	122	191	239	204	144	522	183	523					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2171	90	101	262	229	236	144	119	50	211	102	62	35	192	242	96					
6	Число погашенных избирательных бюллетеней	3724	123	184	350	439	404	140	127	88	174	174	161	60	526	268	506					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2171	90	101	262	229	236	144	119	50	211	102	62	35	192	242	96					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3847	114	234	311	282	313	201	264	122	191	239	204	144	522	183	523					
9	Число недействительных избирательных бюллетеней	84	2	4	3	9	4	6	5	4	0	9	2	0	17	7	12					
10	Число действительных избирательных бюллетеней	5934	202	331	570	502	545	339	378	168	402	332	264	179	697	418	607					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	409	20	25	25	25	50	10	30	20	25	20	45	20	20	15	59					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	409	20	25	25	25	50	10	30	20	25	20	45	20	20	15	59					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	158	4	5	7	4	11	42	6	6	7	6	5	12	11	19	13					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	1	0	5	1	0	1	0	1	0	0	0	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	819	25	85	102	80	62	46	42	20	37	37	58	29	97	51	48					
		13.61%	12.25%	25.37%	17.80%	15.66%	11.29%	13.33%	10.97%	11.63%	9.20%	10.85%	21.80%	16.20%	13.59%	12.00%	7.75%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	930	23	57	89	90	71	54	77	29	81	67	39	21	74	67	91					
		15.45%	11.27%	17.01%	15.53%	17.61%	12.93%	15.65%	20.10%	16.86%	20.15%	19.65%	14.66%	11.73%	10.36%	15.76%	14.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	62	3	12	3	6	6	3	1	4	0	3	2	3	10	5	1					
		1.03%	1.47%	3.58%	0.52%	1.17%	1.09%	0.87%	0.26%	2.33%	0.00%	0.88%	0.75%	1.68%	1.40%	1.18%	0.16%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1002	27	47	60	64	124	73	106	25	42	71	37	16	184	71	55					
		16.65%	13.24%	14.03%	10.47%	12.52%	22.59%	21.16%	27.68%	14.53%	10.45%	20.82%	13.91%	8.94%	25.77%	16.71%	8.89%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	90	1	1	16	8	17	7	2	1	9	3	2	2	13	4	4					
		1.50%	0.49%	0.30%	2.79%	1.57%	3.10%	2.03%	0.52%	0.58%	2.24%	0.88%	0.75%	1.12%	1.82%	0.94%	0.65%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3003	121	127	300	254	265	155	148	88	231	151	124	107	316	214	402					
		49.90%	59.31%	37.91%	52.36%	49.71%	48.27%	44.93%	38.64%	51.16%	57.46%	44.28%	46.62%	59.78%	44.26%	50.35%	64.94%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	28	2	2	0	0	0	1	2	1	2	0	2	1	3	6	6					
		0.47%	0.98%	0.60%	0.00%	0.00%	0.00%	0.29%	0.52%	0.58%	0.50%	0.00%	0.75%	0.56%	0.42%	1.41%	0.97%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
