Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Лангепасская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27636	1455	1327	1321	1351	1325	1229	1466	1551	1461	1288	1326	1480	1214	1230	1473	1361	1377	1463	1488	1450									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27000	1400	1300	1280	1320	1320	1220	1440	1450	1450	1250	1280	1450	1200	1200	1450	1340	1350	1450	1450	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12895	617	547	569	621	612	569	718	761	709	549	581	685	633	593	667	638	662	744	671	749									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	127	7	6	5	8	10	1	12	10	4	4	5	8	4	5	13	8	3	4	5	5									
6	Число погашенных избирательных бюллетеней	13977	776	747	706	691	698	650	710	679	737	697	694	757	563	602	770	694	685	702	773	646									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	127	7	6	5	8	10	1	12	10	4	4	5	8	4	5	13	8	3	4	5	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12887	616	547	569	620	611	569	715	761	709	549	581	685	633	593	667	638	662	743	671	748									
9	Число недействительных избирательных бюллетеней	490	30	27	16	18	27	18	32	26	25	21	22	22	30	24	23	21	14	37	21	36									
10	Число действительных избирательных бюллетеней	12524	593	526	558	610	594	552	695	745	688	532	564	671	607	574	657	625	651	710	655	717									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	601	30	30	30	30	30	30	30	30	30	31	30	30	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	157	8	1	4	4	3	11	15	9	10	6	8	5	12	10	2	6	4	11	17	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	236	21	8	19	12	4	1	10	92	6	1	2	5	2	2	1	5	6	7	2	30									
14	Число погашенных неиспользованных открепительных удостоверений	444	22	29	26	26	27	19	15	21	20	25	22	25	18	20	28	24	26	19	13	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	177	4	8	5	7	5	9	9	10	11	4	6	4	19	12	9	7	10	15	11	12									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	242	15	11	5	11	10	8	20	12	17	13	16	16	15	10	10	6	9	15	8	15									
		1.86%	2.41%	1.99%	0.87%	1.75%	1.61%	1.40%	2.75%	1.56%	2.38%	2.35%	2.73%	2.31%	2.35%	1.67%	1.47%	0.93%	1.35%	2.01%	1.18%	1.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	313	19	14	11	20	16	14	15	27	23	15	14	12	8	15	18	13	18	12	18	11									
		2.41%	3.05%	2.53%	1.92%	3.18%	2.58%	2.46%	2.06%	3.50%	3.23%	2.71%	2.39%	1.73%	1.26%	2.51%	2.65%	2.01%	2.71%	1.61%	2.66%	1.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	285	11	9	12	12	14	12	29	22	15	19	10	10	10	14	17	16	16	16	11	10									
		2.19%	1.77%	1.63%	2.09%	1.91%	2.25%	2.11%	3.99%	2.85%	2.10%	3.44%	1.71%	1.44%	1.57%	2.34%	2.50%	2.48%	2.41%	2.14%	1.63%	1.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5980	284	268	289	298	279	288	340	318	328	229	250	293	295	263	310	320	290	347	333	358									
		45.95%	45.59%	48.46%	50.35%	47.45%	44.93%	50.53%	46.77%	41.25%	46.00%	41.41%	42.66%	42.28%	46.31%	43.98%	45.59%	49.54%	43.61%	46.45%	49.26%	47.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	86	1	2	0	7	4	1	4	7	2	8	6	9	2	5	7	5	7	3	4	2									
		0.66%	0.16%	0.36%	0.00%	1.11%	0.64%	0.18%	0.55%	0.91%	0.28%	1.45%	1.02%	1.30%	0.31%	0.84%	1.03%	0.77%	1.05%	0.40%	0.59%	0.27%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	0	2	2	2	0	0	1	1	0	1	1	1	0	0	0	0	2	1	1	0									
		0.12%	0.00%	0.36%	0.35%	0.32%	0.00%	0.00%	0.14%	0.13%	0.00%	0.18%	0.17%	0.14%	0.00%	0.00%	0.00%	0.00%	0.30%	0.13%	0.15%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3131	155	122	137	144	169	126	160	190	181	134	155	199	142	133	168	154	172	157	160	173									
		24.06%	24.88%	22.06%	23.87%	22.93%	27.21%	22.11%	22.01%	24.64%	25.39%	24.23%	26.45%	28.72%	22.29%	22.24%	24.71%	23.84%	25.86%	21.02%	23.67%	22.97%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	72	1	2	1	4	1	2	8	4	3	1	9	6	3	7	3	5	4	2	2	4									
