Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Боковская 																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  2593	УИК  2594	УИК  2595	УИК  2596					
1	"Число избирателей, внесенных в списки"	12608	426	197	126	260	595	2106	2132	187	248	544	428	277	1275	183	147	280	415	166	207	825	539	451	143	151	196	104					
2	"Число бюллетеней, полученных участковыми комиссиями"	12729	432	200	127	257	599	2124	2144	194	250	546	427	275	1296	186	154	278	419	168	210	848	541	455	146	153	192	108					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6825	315	133	96	146	356	1055	968	86	147	233	246	141	625	107	97	94	163	76	155	665	259	209	110	104	160	79					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1187	22	29	3	58	13	56	72	31	28	99	63	43	53	33	29	82	79	45	36	80	88	100	5	18	5	17					
6	Число погашенных бюллетеней	4717	95	38	28	53	230	1013	1104	77	75	214	118	91	618	46	28	102	177	47	19	103	194	146	31	31	27	12					
7	Число бюллетеней в переносных ящиках для голосования	1187	22	29	3	58	13	56	72	31	28	99	63	43	53	33	29	82	79	45	36	80	88	100	5	18	5	17					
8	Число бюллетеней в стационарных ящиках для голосования	6825	315	133	96	146	356	1055	968	86	147	233	246	141	625	107	97	94	163	76	155	665	259	209	110	104	160	79					
9	Число недействительных бюллетеней	148	4	0	0	0	1	55	1	0	0	5	1	2	2	0	0	0	9	0	4	45	0	9	5	2	0	3					
10	Число действительных бюллетеней	7864	333	162	99	204	368	1056	1039	117	175	327	308	182	676	140	126	176	233	121	187	700	347	300	110	120	165	93					
