Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Октябрьская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6086	1103	936	733	885	531	292	290	397	660	259									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6366	1148	943	769	901	578	321	307	449	691	259									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4357	960	736	437	496	376	230	228	269	439	186									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	332	24	15	6	43	26	48	18	112	32	8									
6	Число погашенных избирательных бюллетеней	1677	164	192	326	362	176	43	61	68	220	65									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	332	24	15	6	43	26	48	18	112	32	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4357	960	736	437	496	376	230	228	269	439	186									
9	Число недействительных избирательных бюллетеней	64	24	14	8	18	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	4625	960	737	435	521	402	278	246	381	471	194									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	274	39	30	25	35	25	25	20	35	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	251	39	21	25	35	25	25	20	35	20	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	6	6	5	14	1	1	3	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	23	0	9	0	0	0	0	0	0	0	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	10	1	9	4	1	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
