Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Березовская городская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156					
1	"Число избирателей, внесенных в список"	38913	1504	1360	1214	943	521	1194	2825	2157	517	2161	1012	1942	2246	1304	2158	2220	1559	2117	2115	1654	1674	1375	589	258	229	776	769	305	70	145					
2	Число полученных избирательных бюллетеней	38915	1480	1350	1190	930	500	1180	2800	2160	420	2140	1040	1940	2200	1310	2190	2250	1510	2340	2150	1660	1680	1350	610	250	220	770	780	300	70	145					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28789	1032	799	833	655	308	780	2203	1572	271	1599	722	1508	1688	1018	1573	1720	1232	1749	1560	1265	1282	1222	444	174	192	506	515	186	69	112					
5	"Число избирательных бюллетеней, выданных вне помещения"	1525	78	104	84	34	30	37	31	38	124	73	59	58	33	33	80	55	39	51	76	38	34	27	43	37	20	86	83	31	0	9					
6	Число погашенных избирательных бюллетеней	8601	370	447	273	241	162	363	566	550	25	468	259	374	479	259	537	475	239	540	514	357	364	101	123	39	8	178	182	83	1	24					
7	Число избирательных бюллетеней в переносных ящиках	1525	78	104	84	34	30	37	31	38	124	73	59	58	33	33	80	55	39	51	76	38	34	27	43	37	20	86	83	31	0	9					
8	Число бюллетеней в стационарных ящиках для голосования	28783	1029	799	833	655	308	780	2203	1572	271	1599	722	1508	1687	1018	1573	1720	1231	1749	1559	1265	1282	1222	444	174	192	506	515	186	69	112					
9	Число недействительных избирательных бюллетеней	407	20	6	39	8	5	12	38	53	1	20	5	18	13	11	11	22	17	11	21	13	16	20	2	6	2	9	4	4	0	0					
10	Число действительных избирательных бюллетеней	29901	1087	897	878	681	333	805	2196	1557	394	1652	776	1548	1707	1040	1642	1753	1253	1789	1614	1290	1300	1229	485	205	210	583	594	213	69	121					
11	Число полученных открепительных  удостоверений	568	10	16	10	10	10	15	35	25	5	35	20	25	30	25	35	33	25	25	45	25	25	25	15	5	2	20	10	2	0	5					
12	Число выданных открепительных удостоверений	452	10	14	4	4	3	13	35	21	3	33	9	19	25	10	35	33	16	25	39	16	25	17	13	2	1	15	8	1	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	623	59	20	9	4	21	8	21	12	37	16	14	21	38	14	20	13	47	114	28	19	16	20	13	3	5	7	10	8	2	4					
14	Число неиспользованных открепительных удостоверений	116	0	2	6	6	7	2	0	4	2	2	11	6	5	15	0	0	9	0	6	9	0	8	2	3	1	5	2	1	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	15	1	0	1	0	0	0	1	1	0	0	0	1	2	0	0	4	0	0	0	0	0	0	0	3	0	0	0	1	0	0					
