Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Лодейнопольская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640					
1	"Число избирателей, внесенных в список избирателей"	25119	1743	1791	2675	2023	1945	1775	514	542	900	1993	1642	751	225	233	254	810	283	89	102	127	124	677	858	257	569	119	1048	1050					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25302	1750	1750	2300	2050	2000	1830	500	550	900	2050	1650	750	230	230	260	850	290	92	100	120	270	720	900	280	630	150	1050	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10922	796	824	1264	1036	954	764	175	238	431	665	615	391	96	88	110	352	133	65	62	52	61	251	411	120	187	26	407	348					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1339	40	20	46	40	39	25	197	26	28	120	39	40	34	55	29	62	14	10	6	13	17	29	81	16	92	22	89	110					
6	Число погашенных избирательных бюллетеней	13041	914	906	990	974	1007	1041	128	286	441	1265	996	319	100	87	121	436	143	17	32	55	192	440	408	144	351	102	554	592					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1339	40	20	46	40	39	25	197	26	28	120	39	40	34	55	29	62	14	10	6	13	17	29	81	16	92	22	89	110					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10915	796	817	1264	1036	954	764	175	238	431	665	615	391	96	88	110	352	133	65	62	52	61	251	411	120	187	26	407	348					
9	Число недействительных избирательных бюллетеней	274	12	9	29	24	28	8	31	11	13	20	21	11	4	3	7	12	0	1	1	0	1	4	5	2	6	0	9	2					
10	Число действительных избирательных бюллетеней	11980	824	828	1281	1052	965	781	341	253	446	765	633	420	126	140	132	402	147	74	67	65	77	276	487	134	273	48	487	456					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	905	40	30	70	43	40	50	0	20	22	40	50	30	10	20	10	40	10	10	10	10	10	60	60	20	60	20	60	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	633	32	26	68	39	37	28	0	9	20	28	19	22	10	15	9	24	10	10	0	2	10	25	60	20	60	18	15	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	293	31	26	25	9	14	17	11	9	5	14	20	8	9	4	11	5	5	4	5	5	4	7	15	4	6	6	4	10					
14	Число погашенных неиспользованных открепительных удостоверений	272	8	4	2	4	3	22	0	11	2	12	31	8	0	5	1	16	0	0	10	8	0	35	0	0	0	2	45	43					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	2	4	2	1	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3277	287	264	404	343	290	206	58	41	124	208	184	99	33	28	23	76	20	9	16	16	22	78	124	20	71	15	124	94					
		26.74%	34.33%	31.54%	30.84%	31.88%	29.20%	26.11%	15.59%	15.53%	27.02%	26.50%	28.13%	22.97%	25.38%	19.58%	16.55%	18.36%	13.61%	12.00%	23.53%	24.62%	28.21%	27.86%	25.20%	14.71%	25.45%	31.25%	25.00%	20.52%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1913	128	129	185	132	157	125	50	65	75	152	118	58	24	15	19	80	31	11	8	5	14	21	54	32	37	7	100	81					
		15.61%	15.31%	15.41%	14.12%	12.27%	15.81%	15.84%	13.44%	24.62%	16.34%	19.36%	18.04%	13.46%	18.46%	10.49%	13.67%	19.32%	21.09%	14.67%	11.76%	7.69%	17.95%	7.50%	10.98%	23.53%	13.26%	14.58%	20.16%	17.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	185	16	14	26	17	8	8	8	1	8	18	12	5	2	1	1	3	0	1	2	0	0	2	10	2	6	1	9	4					
		1.51%	1.91%	1.67%	1.98%	1.58%	0.81%	1.01%	2.15%	0.38%	1.74%	2.29%	1.83%	1.16%	1.54%	0.70%	0.72%	0.72%	0.00%	1.33%	2.94%	0.00%	0.00%	0.71%	2.03%	1.47%	2.15%	2.08%	1.81%	0.87%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1855	124	134	208	189	144	143	21	43	103	100	92	71	13	13	14	44	15	14	6	21	8	56	97	19	41	7	60	55					
		15.14%	14.83%	16.01%	15.88%	17.57%	14.50%	18.12%	5.65%	16.29%	22.44%	12.74%	14.07%	16.47%	10.00%	9.09%	10.07%	10.63%	10.20%	18.67%	8.82%	32.31%	10.26%	20.00%	19.72%	13.97%	14.70%	14.58%	12.10%	12.01%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	285	21	17	47	38	31	14	5	8	17	21	9	8	2	1	2	1	2	0	0	0	0	12	10	0	3	2	8	6					
		2.33%	2.51%	2.03%	3.59%	3.53%	3.12%	1.77%	1.34%	3.03%	3.70%	2.68%	1.38%	1.86%	1.54%	0.70%	1.44%	0.24%	1.36%	0.00%	0.00%	0.00%	0.00%	4.29%	2.03%	0.00%	1.08%	4.17%	1.61%	1.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4400	245	266	404	327	325	278	195	95	118	263	214	176	52	82	71	197	79	39	35	23	33	105	190	60	112	15	185	216					
		35.91%	29.31%	31.78%	30.84%	30.39%	32.73%	35.23%	52.42%	35.98%	25.71%	33.50%	32.72%	40.84%	40.00%	57.34%	51.08%	47.58%	53.74%	52.00%	51.47%	35.38%	42.31%	37.50%	38.62%	44.12%	40.14%	31.25%	37.30%	47.16%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	65	3	4	7	6	10	7	4	0	1	3	4	3	0	0	2	1	0	0	0	0	0	2	2	1	3	1	1	0					
		0.53%	0.36%	0.48%	0.53%	0.56%	1.01%	0.89%	1.08%	0.00%	0.22%	0.38%	0.61%	0.70%	0.00%	0.00%	1.44%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.41%	0.74%	1.08%	2.08%	0.20%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
