Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Соликамская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №4701	УИК №4702	УИК №4703	УИК №4704	УИК №4705	УИК №4706	УИК №4707	УИК №4708	УИК №4709	УИК №4710	УИК №4711	УИК №4712	УИК №4713	УИК №4714	УИК №4715	УИК №4716	УИК  4717					
1	"Число избирателей, внесенных в списки"	10337	602	501	270	465	610	115	1102	487	75	1063	484	1387	1245	260	657	728	286					
2	"Число бюллетеней, полученных участковыми комиссиями"	10080	583	511	255	452	593	110	1131	466	74	1038	436	1390	1139	235	686	726	255					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	315	0	129	27	0	28	0	31	0	0	63	7	0	0	0	0	30	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6625	423	245	186	251	451	83	649	312	39	648	329	920	877	183	396	407	226					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	630	51	35	17	92	0	18	64	32	19	66	27	61	33	13	43	50	9					
6	Число погашенных бюллетеней	2511	109	102	25	109	114	9	387	122	17	261	73	409	229	39	247	239	20					
7	Число бюллетеней в переносных ящиках для голосования	945	51	164	44	92	28	18	95	32	19	129	34	61	33	13	43	80	9					
8	Число бюллетеней в стационарных ящиках для голосования	6625	423	245	186	251	451	83	649	312	39	648	329	920	877	183	396	407	226					
9	Число недействительных бюллетеней	244	13	5	4	10	10	5	18	9	0	7	16	42	59	11	20	12	3					
10	Число действительных бюллетеней	7326	461	404	226	333	469	96	726	335	58	770	347	939	851	185	419	475	232					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	114	3	5	3	10	5	3	30	5	3	3	10	5	12	6	3	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	70	3	0	0	4	5	0	20	0	0	3	9	1	12	4	3	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	4	4	3	3	10	2	9	5	2	2	4	2	7	1	3	2	6					
14	Число погашенных открепительных удостоверений	44	0	5	3	6	0	3	10	5	3	0	1	4	0	2	0	2	0					
15	Число открепительных удостоверений выданных ТИК	58	1	1	1	2	4	3	9	7	1	3	4	2	8	3	6	2	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	144	7	5	5	5	19	1	10	8	3	18	13	17	15	2	7	5	4					
		1.90%	1.47%	1.22%	2.17%	1.45%	3.96%	0.99%	1.34%	2.32%	5.17%	2.31%	3.58%	1.73%	1.64%	1.02%	1.59%	1.02%	1.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	350	24	16	0	7	8	2	22	7	3	34	8	82	60	7	34	32	4					
		4.62%	5.06%	3.91%	0.0%	2.04%	1.67%	1.98%	2.95%	2.03%	5.17%	4.37%	2.20%	8.35%	6.59%	3.57%	7.74%	6.57%	1.70%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	246	24	11	5	28	9	6	19	9	2	19	19	35	17	5	5	19	14					
		3.24%	5.06%	2.68%	2.17%	8.16%	1.87%	5.94%	2.55%	2.61%	3.44%	2.44%	5.23%	3.56%	1.86%	2.55%	1.13%	3.90%	5.95%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	225	11	6	2	4	9	2	28	3	1	12	8	37	47	6	18	20	11					
		2.97%	2.32%	1.46%	0.86%	1.16%	1.87%	1.98%	3.76%	0.87%	1.72%	1.54%	2.20%	3.77%	5.16%	3.06%	4.10%	4.10%	4.68%					
22	"5. ""За Русь Святую"""	59	1	4	0	3	4	0	5	6	2	2	4	9	8	0	4	7	0					
		0.77%	0.21%	0.97%	0.0%	0.87%	0.83%	0.0%	0.67%	1.74%	3.44%	0.25%	1.10%	0.91%	0.87%	0.0%	0.91%	1.43%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	33	2	1	0	0	3	1	3	2	0	4	4	3	5	2	1	2	0					
		0.43%	0.42%	0.24%	0.0%	0.0%	0.62%	0.99%	0.40%	0.58%	0.0%	0.51%	1.10%	0.30%	0.54%	1.02%	0.22%	0.41%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	3	3	0	2	4	0	4	2	0	11	5	9	8	2	6	4	1					
		0.84%	0.63%	0.73%	0.0%	0.58%	0.83%	0.0%	0.53%	0.58%	0.0%	1.41%	1.37%	0.91%	0.87%	1.02%	1.36%	0.82%	0.42%					
