Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Кологривская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5483	71	752	156	205	98	256	137	241	73	195	249	293	858	738	927	234									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5153	76	750	157	205	101	250	135	240	75	194	250	290	800	700	700	230									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1906	28	234	69	52	53	98	56	109	31	70	113	117	296	226	306	48									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	334	2	6	17	43	9	7	12	11	1	20	12	9	19	20	86	60									
6	Число погашенных избирательных бюллетеней	2913	46	510	71	110	39	145	67	120	43	104	125	164	485	454	308	122									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	334	2	6	17	43	9	7	12	11	1	20	12	9	19	20	86	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1906	28	234	69	52	53	98	56	109	31	70	113	117	296	226	306	48									
9	Число недействительных избирательных бюллетеней	31	0	6	1	2	1	0	5	1	0	2	1	1	7	0	2	2									
10	Число действительных избирательных бюллетеней	2209	30	234	85	93	61	105	63	119	32	88	124	125	308	246	390	106									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	120	5	15	5	5	5	5	5	5	5	5	5	5	15	15	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	31	0	6	0	2	3	3	0	2	0	1	2	0	4	2	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	1	5	1	1	1	1	3	1	1	2	1	1	6	2	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	89	5	9	5	3	2	2	5	3	5	4	3	5	11	13	9	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	3	1	2	0	0	0	1	0	0	2	0	4	3	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	19	0	3	0	2	1	1	0	1	0	0	0	2	1	0	8	0									
		0.85%	0.00%	1.25%	0.00%	2.11%	1.61%	0.95%	0.00%	0.83%	0.00%	0.00%	0.00%	1.59%	0.32%	0.00%	2.04%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	112	2	13	2	3	3	6	5	8	1	3	6	11	15	9	20	5									
		5.00%	6.67%	5.42%	2.33%	3.16%	4.84%	5.71%	7.35%	6.67%	3.13%	3.33%	4.80%	8.73%	4.76%	3.66%	5.10%	4.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	53	1	10	0	4	2	2	1	1	0	1	4	2	4	7	11	3									
		2.37%	3.33%	4.17%	0.00%	4.21%	3.23%	1.90%	1.47%	0.83%	0.00%	1.11%	3.20%	1.59%	1.27%	2.85%	2.81%	2.78%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	899	9	94	32	37	14	41	35	47	9	39	63	42	115	110	165	47									
		40.13%	30.00%	39.17%	37.21%	38.95%	22.58%	39.05%	51.47%	39.17%	28.13%	43.33%	50.40%	33.33%	36.51%	44.72%	42.09%	43.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	2	1	0	0	0	1	1	0	0	2	0	0	2	1	4									
		0.63%	0.00%	0.83%	1.16%	0.00%	0.00%	0.00%	1.47%	0.83%	0.00%	0.00%	1.60%	0.00%	0.00%	0.81%	0.26%	3.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0									
		0.18%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.26%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	383	4	44	14	23	9	25	10	18	5	16	24	18	55	30	69	19									
		17.10%	13.33%	18.33%	16.28%	24.21%	14.52%	23.81%	14.71%	15.00%	15.63%	17.78%	19.20%	14.29%	17.46%	12.20%	17.60%	17.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	0	3	0	0	0	0	0	1	0	0	0	1	0	1	3	0									
		0.40%	0.00%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.79%	0.00%	0.41%	0.77%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	18	0	4	0	0	0	2	1	2	0	2	0	0	0	2	5	0									
		0.80%	0.00%	1.67%	0.00%	0.00%	0.00%	1.90%	1.47%	1.67%	0.00%	2.22%	0.00%	0.00%	0.00%	0.81%	1.28%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	0	4	0	0	2	1	0	0	1	0	0	0	7	1	6	2									
		1.07%	0.00%	1.67%	0.00%	0.00%	3.23%	0.95%	0.00%	0.00%	3.13%	0.00%	0.00%	0.00%	2.22%	0.41%	1.53%	1.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	630	13	51	36	23	27	27	10	35	16	20	24	49	105	77	92	25									
		28.13%	43.33%	21.25%	41.86%	24.21%	43.55%	25.71%	14.71%	29.17%	50.00%	22.22%	19.20%	38.89%	33.33%	31.30%	23.47%	23.15%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	39	0	6	0	1	2	0	0	3	0	6	1	0	6	6	7	1									
		1.74%	0.00%	2.50%	0.00%	1.05%	3.23%	0.00%	0.00%	2.50%	0.00%	6.67%	0.80%	0.00%	1.90%	2.44%	1.79%	0.93%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
