Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Саргатская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14623	1097	1150	1004	1486	150	142	930	1198	510	133	394	181	576	294	130	236	1135	770	141	398	37	59	288	59	25	51	560	135	73	440	58	83	51	479	82	88									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14800	1100	1100	1000	1400	150	110	1000	1100	600	150	430	170	650	280	120	220	1100	900	140	410	60	70	250	60	40	60	680	100	70	420	60	100	50	450	100	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5938	341	383	426	479	50	38	357	533	238	74	146	75	279	96	65	113	433	293	59	202	20	37	171	48	21	40	227	78	36	175	50	46	33	194	43	39									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	617	19	25	25	23	17	14	47	13	34	17	43	13	10	12	0	21	12	24	0	40	0	5	34	5	0	6	69	13	4	54	0	1	1	14	0	2									
6	Число погашенных избирательных бюллетеней	8245	740	692	549	898	83	58	596	554	328	59	241	82	361	172	55	86	655	583	81	168	40	28	45	7	19	14	384	9	30	191	10	53	16	242	57	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	617	19	25	25	23	17	14	47	13	34	17	43	13	10	12	0	21	12	24	0	40	0	5	34	5	0	6	69	13	4	54	0	1	1	14	0	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5938	341	383	426	479	50	38	357	533	238	74	146	75	279	96	65	113	433	293	59	202	20	37	171	48	21	40	227	78	36	175	50	46	33	194	43	39									
9	Число недействительных избирательных бюллетеней	197	15	18	6	18	1	2	15	12	7	3	5	1	5	3	0	5	23	6	0	8	0	5	6	2	0	1	10	1	1	4	0	2	1	9	1	1									
10	Число действительных избирательных бюллетеней	6358	345	390	445	484	66	50	389	534	265	88	184	87	284	105	65	129	422	311	59	234	20	37	199	51	21	45	286	90	39	225	50	45	33	199	42	40									
