Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Фаленская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №1233	УИК №1235	УИК №1236	УИК №1238	УИК №1239	УИК №1240	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1253	УИК №1254	УИК №1255	УИК №1256					
1	"Число избирателей, внесенных в список избирателей"	10281	350	611	93	578	582	252	235	277	231	315	144	279	316	723	238	166	1465	1151	662	1613					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10830	380	650	100	620	630	270	260	260	250	345	160	315	345	770	255	170	1500	1200	700	1650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4836	142	268	45	291	291	148	132	149	109	129	87	164	205	322	142	76	705	555	254	622					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1067	48	64	16	47	58	13	26	38	65	81	14	36	49	72	16	36	107	54	62	165					
6	Число погашенных избирательных бюллетеней	4927	190	318	39	282	281	109	102	73	76	135	59	115	91	376	97	58	688	591	384	863					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1067	48	64	16	47	58	13	26	38	65	81	14	36	49	72	16	36	107	54	62	165					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4836	142	268	45	291	291	148	132	149	109	129	87	164	205	322	142	76	705	555	254	622					
9	Число недействительных избирательных бюллетеней	48	3	3	0	0	5	3	4	3	2	3	0	0	2	1	2	1	6	4	3	3					
10	Число действительных избирательных бюллетеней	5855	187	329	61	338	344	158	154	184	172	207	101	200	252	393	156	111	806	605	313	784					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	465	25	30	15	20	30	15	20	20	15	20	15	20	20	30	15	15	40	40	20	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	283	9	22	1	7	22	12	20	12	15	16	15	20	20	6	15	3	27	13	16	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	90	1	5	1	6	7	4	4	2	2	2	3	2	3	5	6	3	15	6	5	8					
14	Число погашенных неиспользованных открепительных удостоверений	182	16	8	14	13	8	3	0	8	0	4	0	0	0	24	0	12	13	27	4	28					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
