Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Белохолуницкая																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16246	1297	736	1178	1621	399	1413	541	1538	721	414	440	398	252	176	313	304	173	99	253	638	1301	640	389	162	850									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16361	1300	737	1191	1626	399	1421	541	1548	718	417	440	400	262	184	312	308	172	100	254	645	1324	630	396	161	875									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6797	502	239	381	647	176	655	251	619	260	171	183	217	131	109	147	171	102	51	124	298	551	212	209	77	314									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	611	46	50	13	30	2	25	10	22	43	11	20	6	25	10	28	7	5	3	16	61	45	64	18	15	36									
6	Число погашенных избирательных бюллетеней	8953	752	448	797	949	221	741	280	907	415	235	237	177	106	65	137	130	65	46	114	286	728	354	169	69	525									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	611	46	50	13	30	2	25	10	22	43	11	20	6	25	10	28	7	5	3	16	61	45	64	18	15	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6796	502	239	381	647	176	655	251	619	260	171	183	217	131	109	147	171	102	51	124	298	550	212	209	77	314									
9	Число недействительных избирательных бюллетеней	178	8	8	7	11	7	4	7	24	7	5	8	4	2	2	4	4	3	2	5	17	22	5	1	4	7									
10	Число действительных избирательных бюллетеней	7229	540	281	387	666	171	676	254	617	296	177	195	219	154	117	171	174	104	52	135	342	573	271	226	88	343									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	535	26	25	30	40	10	25	20	40	20	20	20	20	10	10	10	15	20	10	15	30	35	25	14	10	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	118	5	3	6	7	5	3	0	8	1	2	1	2	10	10	10	6	2	8	0	6	5	2	4	0	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	5	2	2	7	2	4	3	4	4	0	1	1	2	2	2	2	3	1	1	1	3	1	2	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	417	21	22	24	33	5	22	20	32	19	18	19	18	0	0	0	9	18	2	15	24	30	23	10	10	23									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	0	1	0	1	0	1	4	1	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	88	6	2	8	7	2	8	2	8	6	3	5	0	3	0	2	0	0	0	2	4	8	4	4	1	3									
		1.19%	1.09%	0.69%	2.03%	1.03%	1.12%	1.18%	0.77%	1.25%	1.98%	1.65%	2.46%	0.00%	1.92%	0.00%	1.14%	0.00%	0.00%	0.00%	1.43%	1.11%	1.34%	1.45%	1.76%	1.09%	0.86%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	217	9	2	13	28	8	14	7	25	8	5	8	5	3	3	7	8	3	0	0	17	20	6	7	5	6									
		2.93%	1.64%	0.69%	3.30%	4.14%	4.49%	2.06%	2.68%	3.90%	2.64%	2.75%	3.94%	2.24%	1.92%	2.52%	4.00%	4.49%	2.80%	0.00%	0.00%	4.74%	3.36%	2.17%	3.08%	5.43%	1.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	155	12	2	5	23	1	5	5	15	10	3	7	4	0	4	5	5	3	1	1	12	15	4	4	1	8									
