Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																												
Дата голосования: 04.12.2011																																																																																												
																																																																																												
"Наименование Избирательной комиссии:    Уфа, Октябрьская"																																																																																												
																																																																																												
Сводная таблица результатов выборов																																																																																												
																																																																																												
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281					
1	"Число избирателей, внесенных в список избирателей"	180132	1096	2403	1184	2271	2099	2116	2144	2201	2121	2113	1610	1783	1684	1672	2520	2524	2321	2330	2425	2479	2341	2659	2535	2444	2198	2315	2520	1923	1333	1351	2077	1765	1386	2117	2993	2729	2267	2492	2501	2416	2520	2448	2037	2111	1977	2068	1914	2125	2598	2510	2405	2457	2382	2420	2308	2466	2107	2470	2279	2309	2526	2565	2249	1895	2246	1855	2203	2078	1796	2604	2130	2731	2554	2634	2584	2296	2187	2748	2790	1508	474	1191	241	401	277					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	171787	950	2150	1050	2200	2050	2050	2100	2100	2050	2050	1550	1350	1550	1600	2400	2350	2250	2250	2200	2400	2250	2550	2450	2350	2100	2150	2400	1900	1200	1300	1950	1750	1200	1950	2850	2600	2150	2350	2500	2400	2300	2350	1900	2050	1950	1950	1850	2050	2450	2450	2300	2300	2300	2200	2250	2300	2050	2350	2200	2250	2400	2400	2150	1850	2150	1800	2150	2050	1750	2550	2050	2600	2500	2550	2550	2250	2150	2650	2700	1350	450	950	241	402	344					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	119347	776	1850	875	1537	1817	1515	1621	1664	1319	1713	891	712	957	766	1214	1230	1696	1770	1732	1666	2233	2062	2157	2172	1187	1662	1851	1162	769	885	1028	899	812	1627	2301	1844	1353	1738	1434	1239	1146	1468	1232	1046	1002	958	1320	1368	1796	1915	1326	1576	1511	1650	1666	1582	1453	1255	1212	1328	1528	1831	1580	1274	1465	1375	1383	1549	1249	1967	1773	1970	1769	1813	1791	1073	1280	1934	2031	1238	338	823	183	337	247					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2847	50	25	19	26	23	33	40	27	55	30	43	284	25	19	20	30	41	20	55	20	10	36	55	42	67	38	42	21	27	2	92	23	53	29	29	22	46	27	116	39	40	25	27	31	23	11	19	26	34	26	19	19	14	12	37	17	27	15	31	52	55	23	19	13	27	12	14	16	7	11	12	25	15	22	27	6	27	7	18	6	20	108	57	64	30					
6	Число погашенных избирательных бюллетеней	49593	124	275	156	637	210	502	439	409	676	307	616	354	568	815	1166	1090	513	460	413	714	7	452	238	136	846	450	507	717	404	413	830	828	335	294	520	734	751	585	950	1122	1114	857	641	973	925	981	511	656	620	509	955	705	775	538	547	701	570	1080	957	870	817	546	551	563	658	413	753	485	494	572	265	605	716	715	732	1171	843	709	651	106	92	19	1	1	67					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2847	50	25	19	26	23	33	40	27	55	30	43	284	25	19	20	30	41	20	55	20	10	36	55	42	67	38	42	21	27	2	92	23	53	29	29	22	46	27	116	39	40	25	27	31	23	11	19	26	34	26	19	19	14	12	37	17	27	15	31	52	55	23	19	13	27	12	14	16	7	11	12	25	15	22	27	6	27	7	18	6	20	108	57	64	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	119221	776	1850	875	1537	1817	1515	1621	1664	1319	1713	891	712	957	766	1214	1230	1696	1770	1732	1666	2233	2062	2157	2172	1187	1662	1820	1075	769	883	1028	899	812	1627	2301	1844	1353	1738	1434	1239	1146	1468	1232	1046	1002	958	1320	1368	1796	1915	1326	1576	1511	1650	1666	1582	1453	1255	1212	1328	1528	1831	1580	1274	1465	1375	1383	1549	1249	1967	1773	1970	1769	1813	1791	1073	1274	1934	2031	1238	338	823	183	337	247					
9	Число недействительных избирательных бюллетеней	1206	2	17	7	17	6	23	19	39	16	9	5	0	0	22	22	25	25	13	27	13	24	22	17	10	19	29	14	16	12	12	20	17	10	18	17	25	14	11	15	1	22	24	4	20	17	17	16	2	7	59	12	18	6	3	21	3	12	7	0	28	13	9	6	0	1	3	22	19	6	5	12	8	25	18	16	13	19	29	14	2	5	12	6	10	5					
10	Число действительных избирательных бюллетеней	120862	824	1858	887	1546	1834	1525	1642	1652	1358	1734	929	996	982	763	1212	1235	1712	1777	1760	1673	2219	2076	2195	2204	1235	1671	1848	1080	784	873	1100	905	855	1638	2313	1841	1385	1754	1535	1277	1164	1469	1255	1057	1008	952	1323	1392	1823	1882	1333	1577	1519	1659	1682	1596	1468	1263	1243	1352	1570	1845	1593	1287	1491	1384	1375	1546	1250	1973	1773	1987	1759	1817	1802	1066	1282	1912	2035	1242	353	919	234	391	272					
