Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																									
Дата голосования: 02.12.2007																																																																																									
																																																																																									
"Наименование Избирательной комиссии:    Уфа, Октябрьская"																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276					
1	"Число избирателей, внесенных в списки избирателей"	176027	1385	2149	1562	1688	1853	1969	2343	2794	2400	1597	1100	3140	2399	2736	1653	2262	2707	2200	2457	2200	2734	2741	2374	2227	2110	2541	2087	1193	1342	2188	1048	1199	2547	2727	2498	2485	2440	2266	2276	2339	2643	2618	2042	2184	3153	2848	2635	2601	2121	2309	2871	1893	2221	1968	2457	2296	2070	2028	2116	3083	2138	2243	2618	2721	2476	2794	2396	2214	2313	2143	2464	2110	2302	2314	2277	2223	1495	455	850	249	649	470					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	162099	1400	1750	1350	1650	1900	1800	2350	2400	2250	1550	1050	3150	2050	2450	2150	1950	2600	2050	2450	2150	2350	2350	2250	2050	2050	2150	1880	1350	1350	1750	1250	1050	2350	2700	2350	2150	2150	2150	2150	2250	2250	2400	1850	2050	2650	2550	2550	2500	1850	1950	2450	1750	1950	1950	2150	2250	1750	1750	1900	2550	1800	2050	2250	2550	2450	2550	2150	1950	2000	1900	2050	1850	2250	2150	2300	2250	1500	400	750	250	649	470					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	143820	1143	1593	1131	1439	1758	1764	2310	2025	1961	1179	559	3053	1982	2304	1612	1864	2198	1728	2283	1867	2269	2238	1989	1781	1834	2003	1829	1165	1339	1394	1041	986	2131	2468	2122	1905	1617	1612	1630	1491	1746	2291	1529	1810	2561	2264	2186	2317	1755	1833	2337	1633	1716	1204	2009	2185	1695	1677	1762	2439	1707	1750	2133	2178	2191	2300	1933	1889	1969	1757	1968	1820	1579	1685	1903	1903	1429	362	587	191	570	470					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3390	24	102	41	34	35	28	33	31	33	55	186	87	45	22	41	65	25	50	35	18	40	78	180	114	117	82	39	28	3	30	7	9	34	0	19	30	57	73	57	64	51	41	207	43	27	37	29	26	10	8	19	6	8	21	82	11	49	28	41	35	36	13	27	20	19	30	9	11	27	23	24	18	6	14	9	9	15	20	98	53	79	0					
6	Число погашенных избирательных бюллетеней	14889	233	55	178	177	107	8	7	344	256	316	305	10	23	124	497	21	377	272	132	265	41	34	81	155	99	65	12	157	8	326	202	55	185	232	209	215	476	465	463	695	453	68	114	197	62	249	335	157	85	109	94	111	226	725	59	54	6	45	97	76	57	287	90	352	240	220	208	50	4	120	58	12	665	451	388	338	56	18	65	6	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3390	24	102	41	34	35	28	33	31	33	55	186	87	45	22	41	65	25	50	35	18	40	78	180	114	117	82	39	28	3	30	7	9	34	0	19	30	57	73	57	64	51	41	207	43	27	37	29	26	10	8	19	6	8	21	82	11	49	28	41	35	36	13	27	20	19	30	9	11	27	23	24	18	6	14	9	9	15	20	98	53	79	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	143819	1143	1593	1131	1439	1758	1764	2310	2025	1961	1179	559	3053	1982	2304	1612	1864	2198	1728	2283	1867	2269	2238	1989	1781	1834	2003	1829	1165	1339	1394	1041	986	2131	2468	2122	1905	1617	1612	1630	1491	1746	2291	1529	1810	2561	2264	2186	2317	1755	1833	2337	1633	1716	1204	2009	2185	1695	1677	1762	2439	1707	1749	2133	2178	2191	2300	1933	1889	1969	1757	1968	1820	1579	1685	1903	1903	1429	362	587	191	570	470					
9	Число недействительных избирательных бюллетеней	849	10	4	11	0	4	25	8	12	47	7	3	16	18	9	10	23	7	13	20	17	12	0	0	10	26	10	3	0	3	19	27	3	9	17	10	0	3	0	7	11	12	7	1	4	12	2	8	30	2	7	17	5	0	9	16	10	16	7	2	0	6	23	17	12	27	10	7	4	15	11	11	5	21	15	9	11	4	3	5	4	18	10					
10	Число действительных избирательных бюллетеней	146360	1157	1691	1161	1473	1789	1767	2335	2044	1947	1227	742	3124	2009	2317	1643	1906	2216	1765	2298	1868	2297	2316	2169	1885	1925	2075	1865	1193	1339	1405	1021	992	2156	2451	2131	1935	1671	1685	1680	1544	1785	2325	1735	1849	2576	2299	2207	2313	1763	1834	2339	1634	1724	1216	2075	2186	1728	1698	1801	2474	1737	1739	2143	2186	2183	2320	1935	1896	1981	1769	1981	1833	1564	1684	1903	1901	1440	379	680	240	631	460					
