Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Дзержинская, Свердловская"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	100628	1123	2353	2258	1741	1360	1514	1769	1161	1889	1581	2508	2186	1099	1333	1365	2565	2382	1937	2560	1729	892	2465	1882	1077	2244	1240	2106	1808	1332	2623	2238	2156	1550	2596	2100	2228	1596	2122	1959	989	2125	1988	2277	2270	1880	2185	1278	2107	1141	2070	2251	1478	2451	717	197	171	426									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	91500	1000	2100	2000	1600	1200	1400	1600	1100	1700	1400	2300	2000	1000	1200	1200	2300	2200	1800	2300	1600	800	2200	1700	1000	2000	1100	2000	1600	1200	2400	1800	2000	1400	2300	2000	2000	1400	2000	1800	900	2000	1800	2100	2100	1700	2000	1200	2000	1000	1900	2100	1300	2200	700	200	200	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	40448	447	919	927	656	498	574	743	377	613	772	1173	843	459	482	528	996	858	776	1028	631	204	956	728	481	993	582	864	803	540	1081	1310	854	655	1150	699	800	546	896	801	308	827	909	964	926	728	869	496	810	400	817	934	582	942	361	77	70	185									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	967	17	19	25	11	11	23	9	15	26	13	10	44	5	5	12	38	17	9	12	20	36	1	6	3	23	7	10	14	9	24	12	29	17	14	12	29	3	17	13	15	19	18	21	10	7	19	3	3	12	2	10	4	2	59	42	101	0									
6	Число погашенных избирательных бюллетеней	50085	536	1162	1048	933	691	803	848	708	1061	615	1117	1113	536	713	660	1266	1325	1015	1260	949	560	1243	966	516	984	511	1126	783	651	1295	478	1117	728	1136	1289	1171	851	1087	986	577	1154	873	1115	1164	965	1112	701	1187	588	1081	1156	714	1256	280	81	29	215									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	967	17	19	25	11	11	23	9	15	26	13	10	44	5	5	12	38	17	9	12	20	36	1	6	3	23	7	10	14	9	24	12	29	17	14	12	29	3	17	13	15	19	18	21	10	7	19	3	3	12	2	10	4	2	59	42	101	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	40383	447	919	925	656	487	574	738	377	613	772	1173	843	458	482	528	996	858	776	1023	631	203	956	728	481	993	582	864	803	540	1081	1310	854	655	1148	699	800	546	879	801	308	827	909	964	925	728	850	496	809	400	817	934	582	942	361	77	70	185									
9	Число недействительных избирательных бюллетеней	1254	9	31	37	24	7	17	18	16	21	52	35	11	15	12	14	20	20	36	34	18	5	16	19	6	29	18	34	20	17	35	25	52	36	50	21	28	16	21	24	12	24	21	36	31	23	20	9	20	18	21	26	24	27	4	10	4	5									
10	Число действительных избирательных бюллетеней	40096	455	907	913	643	491	580	729	376	618	733	1148	876	448	475	526	1014	855	749	1001	633	234	941	715	478	987	571	840	797	532	1070	1297	831	636	1112	690	801	533	875	790	311	822	906	949	904	712	849	490	792	394	798	918	562	917	416	109	167	180									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1217	20	20	20	20	20	20	20	20	20	20	25	20	20	20	20	20	30	20	45	20	20	20	20	20	20	20	20	30	20	32	30	30	21	27	20	20	20	30	20	20	20	20	20	30	22	40	20	20	20	20	20	20	25	20	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	858	8	16	12	11	9	14	16	18	9	12	25	15	9	14	13	9	23	18	38	11	6	18	15	13	17	7	20	20	9	30	18	22	8	25	20	14	9	26	15	13	13	14	17	27	19	36	11	12	5	11	20	19	20	9	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	819	12	16	13	4	21	9	9	6	6	7	7	12	13	9	2	8	18	7	43	5	5	3	8	3	13	5	10	12	9	13	181	5	12	8	4	8	3	9	4	5	7	12	12	11	5	7	8	0	5	6	3	3	6	4	2	8	173									
14	Число погашенных неиспользованных открепительных удостоверений	359	12	4	8	9	11	6	4	2	11	8	0	5	11	6	7	11	7	2	7	9	14	2	5	7	3	13	0	10	11	2	12	8	13	2	0	6	11	4	5	7	7	6	3	3	3	4	9	8	15	9	0	1	5	11	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	81	0	0	1	1	0	3	4	0	0	1	1	1	0	1	1	1	2	1	4	1	0	5	0	0	2	0	1	1	0	1	1	1	3	0	0	0	3	1	0	1	0	1	2	4	4	4	4	3	3	3	3	2	2	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1864	25	37	43	26	36	15	37	21	21	27	39	25	15	34	34	58	45	42	51	47	5	69	51	29	55	36	44	21	12	23	25	21	11	31	40	43	35	81	52	10	31	55	43	40	33	36	18	40	20	44	52	20	41	4	1	8	6									
		4.51%	5.39%	3.94%	4.53%	3.90%	7.23%	2.51%	4.95%	5.36%	3.29%	3.44%	3.30%	2.82%	3.24%	6.98%	6.30%	5.61%	5.14%	5.35%	4.93%	7.22%	2.09%	7.21%	6.95%	5.99%	5.41%	6.11%	5.03%	2.57%	2.19%	2.08%	1.89%	2.38%	1.64%	2.67%	5.63%	5.19%	6.38%	9.04%	6.39%	3.10%	3.66%	5.93%	4.37%	4.28%	4.49%	4.14%	3.61%	4.93%	4.85%	5.37%	5.51%	3.41%	4.34%	0.95%	0.84%	4.68%	3.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	929	16	25	21	19	10	6	11	10	16	21	20	20	8	11	7	22	17	11	23	17	2	20	14	11	23	7	20	16	10	32	18	18	20	22	17	28	9	17	28	6	20	17	29	31	16	23	9	25	9	13	29	14	28	2	3	8	4									
		2.25%	3.45%	2.67%	2.21%	2.85%	2.01%	1.01%	1.47%	2.55%	2.50%	2.68%	1.69%	2.25%	1.73%	2.26%	1.30%	2.13%	1.94%	1.40%	2.22%	2.61%	0.84%	2.09%	1.91%	2.27%	2.26%	1.19%	2.29%	1.96%	1.82%	2.90%	1.36%	2.04%	2.98%	1.89%	2.39%	3.38%	1.64%	1.90%	3.44%	1.86%	2.36%	1.83%	2.94%	3.32%	2.18%	2.65%	1.80%	3.08%	2.18%	1.59%	3.07%	2.39%	2.97%	0.48%	2.52%	4.68%	2.16%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	594	4	11	16	7	6	8	10	7	10	21	15	8	4	14	6	13	17	11	15	4	2	22	14	4	11	5	12	17	9	17	16	11	12	10	15	5	8	11	9	3	12	19	19	23	8	17	7	12	3	10	18	8	9	1	5	1	2									
		1.44%	0.86%	1.17%	1.68%	1.05%	1.20%	1.34%	1.34%	1.79%	1.56%	2.68%	1.27%	0.90%	0.86%	2.87%	1.11%	1.26%	1.94%	1.40%	1.45%	0.61%	0.84%	2.30%	1.91%	0.83%	1.08%	0.85%	1.37%	2.08%	1.64%	1.54%	1.21%	1.25%	1.79%	0.86%	2.11%	0.60%	1.46%	1.23%	1.11%	0.93%	1.42%	2.05%	1.93%	2.46%	1.09%	1.96%	1.40%	1.48%	0.73%	1.22%	1.91%	1.37%	0.95%	0.24%	4.20%	0.58%	1.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18643	197	408	368	278	238	304	299	144	299	391	595	456	193	186	222	447	349	402	438	261	94	394	373	238	410	273	390	386	273	525	738	424	327	565	309	370	240	341	335	136	391	351	411	390	286	390	235	348	189	361	392	250	420	362	48	83	120									
		45.09%	42.46%	43.50%	38.74%	41.68%	47.79%	50.92%	40.03%	36.73%	46.79%	49.81%	50.30%	51.41%	41.68%	38.19%	41.11%	43.23%	39.89%	51.21%	42.32%	40.09%	39.33%	41.17%	50.82%	49.17%	40.35%	46.35%	44.62%	47.25%	49.73%	47.51%	55.82%	48.02%	48.66%	48.62%	43.46%	44.63%	43.72%	38.06%	41.15%	42.11%	46.22%	37.86%	41.73%	41.71%	38.91%	44.88%	47.09%	42.86%	45.87%	44.08%	41.53%	42.66%	44.49%	86.19%	40.34%	48.54%	64.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	219	3	3	7	2	1	0	3	2	3	2	6	3	3	4	5	7	6	2	7	3	3	2	4	0	4	3	4	4	5	5	9	4	4	7	6	10	8	7	1	1	4	8	7	4	3	4	1	2	3	3	6	2	7	0	1	1	0									
		0.53%	0.65%	0.32%	0.74%	0.30%	0.20%	0.00%	0.40%	0.51%	0.47%	0.25%	0.51%	0.34%	0.65%	0.82%	0.93%	0.68%	0.69%	0.25%	0.68%	0.46%	1.26%	0.21%	0.54%	0.00%	0.39%	0.51%	0.46%	0.49%	0.91%	0.45%	0.68%	0.45%	0.60%	0.60%	0.84%	1.21%	1.46%	0.78%	0.12%	0.31%	0.47%	0.86%	0.71%	0.43%	0.41%	0.46%	0.20%	0.25%	0.73%	0.37%	0.64%	0.34%	0.74%	0.00%	0.84%	0.58%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	50	0	4	1	1	0	2	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	2	1	0	5	0	2	1	0	0	1	0	5	2	0	1	2	1	1	0	1	2	1	1	1	0	0	0	0	1	2	0	4	0	0	0	0									
		0.12%	0.00%	0.43%	0.11%	0.15%	0.00%	0.34%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.23%	0.13%	0.00%	0.00%	0.00%	0.21%	0.14%	0.00%	0.49%	0.00%	0.23%	0.12%	0.00%	0.00%	0.08%	0.00%	0.74%	0.17%	0.00%	0.12%	0.36%	0.11%	0.12%	0.00%	0.12%	0.22%	0.10%	0.11%	0.14%	0.00%	0.00%	0.00%	0.00%	0.12%	0.21%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6113	65	145	145	104	70	44	121	71	119	86	182	125	79	78	87	141	146	78	147	88	35	133	97	73	123	83	121	136	90	196	232	126	84	178	110	119	86	131	110	47	140	126	147	155	118	144	84	122	50	133	145	105	140	15	18	19	21									
		14.78%	14.01%	15.46%	15.26%	15.59%	14.06%	7.37%	16.20%	18.11%	18.62%	10.96%	15.38%	14.09%	17.06%	16.02%	16.11%	13.64%	16.69%	9.94%	14.20%	13.52%	14.64%	13.90%	13.22%	15.08%	12.11%	14.09%	13.84%	16.65%	16.39%	17.74%	17.55%	14.27%	12.50%	15.32%	15.47%	14.35%	15.66%	14.62%	13.51%	14.55%	16.55%	13.59%	14.92%	16.58%	16.05%	16.57%	16.83%	15.02%	12.14%	16.24%	15.36%	17.92%	14.83%	3.57%	15.13%	11.11%	11.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	323	2	14	8	8	5	2	20	5	5	9	6	7	1	2	11	6	8	7	8	5	0	8	9	0	7	5	7	3	3	6	5	5	5	9	4	7	5	10	5	6	6	10	4	6	5	1	1	9	4	11	13	1	2	2	0	0	0									
		0.78%	0.43%	1.49%	0.84%	1.20%	1.00%	0.34%	2.68%	1.28%	0.78%	1.15%	0.51%	0.79%	0.22%	0.41%	2.04%	0.58%	0.91%	0.89%	0.77%	0.77%	0.00%	0.84%	1.23%	0.00%	0.69%	0.85%	0.80%	0.37%	0.55%	0.54%	0.38%	0.57%	0.74%	0.77%	0.56%	0.84%	0.91%	1.12%	0.61%	1.86%	0.71%	1.08%	0.41%	0.64%	0.68%	0.12%	0.20%	1.11%	0.97%	1.34%	1.38%	0.17%	0.21%	0.48%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	376	2	14	16	6	2	0	6	1	4	3	6	5	5	0	5	11	11	8	25	3	1	17	10	14	15	7	14	7	0	5	8	2	4	6	8	9	9	14	5	3	4	10	3	11	4	4	5	6	7	6	9	2	9	3	0	1	1									
		0.91%	0.43%	1.49%	1.68%	0.90%	0.40%	0.00%	0.80%	0.26%	0.63%	0.38%	0.51%	0.56%	1.08%	0.00%	0.93%	1.06%	1.26%	1.02%	2.42%	0.46%	0.42%	1.78%	1.36%	2.89%	1.48%	1.19%	1.60%	0.86%	0.00%	0.45%	0.61%	0.23%	0.60%	0.52%	1.13%	1.09%	1.64%	1.56%	0.61%	0.93%	0.47%	1.08%	0.30%	1.18%	0.54%	0.46%	1.00%	0.74%	1.70%	0.73%	0.95%	0.34%	0.95%	0.71%	0.00%	0.58%	0.54%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	56	0	2	3	0	1	0	1	1	0	1	2	0	1	0	1	3	1	0	0	0	0	0	1	0	1	0	0	2	0	0	2	2	1	2	1	13	0	3	0	0	0	0	2	2	1	2	1	0	0	0	1	1	1	0	0	0	0									
		0.14%	0.00%	0.21%	0.32%	0.00%	0.20%	0.00%	0.13%	0.26%	0.00%	0.13%	0.17%	0.00%	0.22%	0.00%	0.19%	0.29%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.10%	0.00%	0.00%	0.24%	0.00%	0.00%	0.15%	0.23%	0.15%	0.17%	0.14%	1.57%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.20%	0.21%	0.14%	0.23%	0.20%	0.00%	0.00%	0.00%	0.11%	0.17%	0.11%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	701	13	15	8	8	2	8	18	2	11	8	10	9	3	9	7	7	16	4	22	3	1	22	11	14	21	12	21	5	1	9	13	10	4	10	7	153	10	17	21	9	15	15	7	10	7	10	14	18	4	8	12	7	11	2	1	3	3									
		1.70%	2.80%	1.60%	0.84%	1.20%	0.40%	1.34%	2.41%	0.51%	1.72%	1.02%	0.85%	1.01%	0.65%	1.85%	1.30%	0.68%	1.83%	0.51%	2.13%	0.46%	0.42%	2.30%	1.50%	2.89%	2.07%	2.04%	2.40%	0.61%	0.18%	0.81%	0.98%	1.13%	0.60%	0.86%	0.98%	18.46%	1.82%	1.90%	2.58%	2.79%	1.77%	1.62%	0.71%	1.07%	0.95%	1.15%	2.81%	2.22%	0.97%	0.98%	1.27%	1.19%	1.17%	0.48%	0.84%	1.75%	1.62%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7391	106	174	210	122	95	149	127	77	89	110	204	118	71	104	116	236	157	116	191	145	69	188	85	60	256	102	139	131	95	148	161	126	111	169	111	2	95	207	181	69	155	233	220	165	170	161	90	154	88	154	177	122	194	20	17	32	17									
		17.87%	22.84%	18.55%	22.11%	18.29%	19.08%	24.96%	17.00%	19.64%	13.93%	14.01%	17.24%	13.30%	15.33%	21.36%	21.48%	22.82%	17.94%	14.78%	18.45%	22.27%	28.87%	19.64%	11.58%	12.40%	25.20%	17.32%	15.90%	16.03%	17.30%	13.39%	12.18%	14.27%	16.52%	14.54%	15.61%	0.24%	17.30%	23.10%	22.24%	21.36%	18.32%	25.13%	22.34%	17.65%	23.13%	18.53%	18.04%	18.97%	21.36%	18.80%	18.75%	20.82%	20.55%	4.76%	14.29%	18.71%	9.19%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	144	2	5	6	2	3	2	1	1	1	3	3	2	2	1	0	2	2	0	5	1	2	0	5	4	3	0	3	1	1	3	3	1	0	3	0	41	1	1	2	1	1	6	1	3	1	2	0	5	0	1	1	1	2	0	0	0	1									
		0.35%	0.43%	0.53%	0.63%	0.30%	0.60%	0.34%	0.13%	0.26%	0.16%	0.38%	0.25%	0.23%	0.43%	0.21%	0.00%	0.19%	0.23%	0.00%	0.48%	0.15%	0.84%	0.00%	0.68%	0.83%	0.30%	0.00%	0.34%	0.12%	0.18%	0.27%	0.23%	0.11%	0.00%	0.26%	0.00%	4.95%	0.18%	0.11%	0.25%	0.31%	0.12%	0.65%	0.10%	0.32%	0.14%	0.23%	0.00%	0.62%	0.00%	0.12%	0.11%	0.17%	0.21%	0.00%	0.00%	0.00%	0.54%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2693	20	50	61	60	22	40	75	34	39	51	60	98	62	32	25	61	78	67	69	56	20	64	40	31	53	38	63	67	33	101	66	81	48	98	62	0	25	34	40	20	42	54	55	63	59	55	25	51	17	53	61	29	49	5	15	11	5									
		6.51%	4.31%	5.33%	6.42%	8.99%	4.42%	6.70%	10.04%	8.67%	6.10%	6.50%	5.07%	11.05%	13.39%	6.57%	4.63%	5.90%	8.91%	8.54%	6.67%	8.60%	8.37%	6.69%	5.45%	6.40%	5.22%	6.45%	7.21%	8.20%	6.01%	9.14%	4.99%	9.17%	7.14%	8.43%	8.72%	0.00%	4.55%	3.79%	4.91%	6.19%	4.96%	5.83%	5.58%	6.74%	8.03%	6.33%	5.01%	6.28%	4.13%	6.47%	6.46%	4.95%	5.19%	1.19%	12.61%	6.43%	2.70%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
