Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Выгоничская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15861	1672	1654	459	640	520	1483	1409	442	467	650	1221	138	133	100	137	175	473	309	641	382	403	237	574	259	399	96	290	498									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15100	1600	1600	450	630	540	1135	1130	450	480	660	1200	130	130	95	140	170	480	300	620	380	400	240	590	250	400	100	310	490									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9028	953	673	273	347	230	790	814	383	262	354	508	54	109	59	57	102	181	176	492	249	290	194	479	178	298	85	229	209									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	785	42	76	4	3	25	18	37	30	45	17	25	12	4	5	18	5	59	112	55	23	15	13	38	25	29	3	15	32									
6	Число погашенных избирательных бюллетеней	5287	605	851	173	280	285	327	279	37	173	289	667	64	17	31	65	63	240	12	73	108	95	33	73	47	73	12	66	249									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	785	42	76	4	3	25	18	37	30	45	17	25	12	4	5	18	5	59	112	55	23	15	13	38	25	29	3	15	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9028	953	673	273	347	230	790	814	383	262	354	508	54	109	59	57	102	181	176	492	249	290	194	479	178	298	85	229	209									
9	Число недействительных избирательных бюллетеней	226	15	74	5	10	8	32	19	15	4	10	9	0	2	0	0	0	4	0	1	2	0	1	0	1	6	0	8	0									
10	Число действительных избирательных бюллетеней	9587	980	675	272	340	247	776	832	398	303	361	524	66	111	64	75	107	236	288	546	270	305	206	517	202	321	88	236	241									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	287	13	14	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	57	4	7	0	2	3	3	9	3	3	0	5	0	0	0	4	0	3	1	2	2	3	1	0	0	0	0	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	150	25	2	2	1	0	45	39	3	1	2	2	1	2	6	2	3	3	0	1	1	0	1	2	3	2	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	230	9	7	10	8	7	7	1	7	7	10	5	10	10	10	6	10	7	9	8	8	7	9	10	10	10	10	9	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	118	9	8	4	3	1	17	25	3	6	11	7	1	2	0	1	0	2	2	6	0	2	0	2	2	0	0	2	2									
		1.20%	0.90%	1.07%	1.44%	0.86%	0.39%	2.10%	2.94%	0.73%	1.95%	2.96%	1.31%	1.52%	1.77%	0.00%	1.33%	0.00%	0.83%	0.69%	1.10%	0.00%	0.66%	0.00%	0.39%	0.99%	0.00%	0.00%	0.82%	0.83%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	189	19	14	9	6	7	27	15	11	4	8	15	0	0	2	3	5	6	1	10	4	1	8	3	1	1	1	0	8									
		1.93%	1.91%	1.87%	3.25%	1.71%	2.75%	3.34%	1.76%	2.66%	1.30%	2.16%	2.81%	0.00%	0.00%	3.13%	4.00%	4.67%	2.50%	0.35%	1.83%	1.47%	0.33%	3.86%	0.58%	0.49%	0.31%	1.14%	0.00%	3.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	132	19	8	4	2	4	22	14	4	5	5	8	2	0	0	3	0	4	1	4	6	0	4	7	1	2	0	1	2									
		1.35%	1.91%	1.07%	1.44%	0.57%	1.57%	2.72%	1.65%	0.97%	1.63%	1.35%	1.50%	3.03%	0.00%	0.00%	4.00%	0.00%	1.67%	0.35%	0.73%	2.21%	0.00%	1.93%	1.35%	0.49%	0.61%	0.00%	0.41%	0.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6756	605	467	165	203	147	438	525	319	240	252	338	53	71	42	55	78	144	272	441	203	251	163	450	161	238	82	198	155									
		68.85%	60.80%	62.35%	59.57%	58.00%	57.65%	54.21%	61.69%	77.24%	78.18%	67.92%	63.41%	80.30%	62.83%	65.63%	73.33%	72.90%	60.00%	94.44%	80.62%	74.63%	82.30%	78.74%	87.04%	79.31%	72.78%	93.18%	81.15%	64.32%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	38	6	0	0	1	0	9	11	0	0	1	2	0	1	0	0	0	1	0	2	2	0	0	1	0	0	0	0	1									
		0.39%	0.60%	0.00%	0.00%	0.29%	0.00%	1.11%	1.29%	0.00%	0.00%	0.27%	0.38%	0.00%	0.88%	0.00%	0.00%	0.00%	0.42%	0.00%	0.37%	0.74%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.41%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	0	1	1	0	0	2	2	0	1	0	3	0	12	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0									
		0.25%	0.00%	0.13%	0.36%	0.00%	0.00%	0.25%	0.24%	0.00%	0.33%	0.00%	0.56%	0.00%	10.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.37%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	885	135	84	31	33	29	108	86	26	15	33	55	4	0	11	6	9	20	4	26	21	17	15	13	25	31	1	13	34									
		9.02%	13.57%	11.21%	11.19%	9.43%	11.37%	13.37%	10.11%	6.30%	4.89%	8.89%	10.32%	6.06%	0.00%	17.19%	8.00%	8.41%	8.33%	1.39%	4.75%	7.72%	5.57%	7.25%	2.51%	12.32%	9.48%	1.14%	5.33%	14.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	2	2	3	3	0	6	6	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1									
		0.29%	0.20%	0.27%	1.08%	0.86%	0.00%	0.74%	0.71%	0.00%	0.00%	0.27%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	31	3	1	0	0	0	7	9	2	0	4	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1									
