Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
"Наименование Избирательной комиссии:    Волгоград, Кировская"																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	70413	2355	1716	2025	2328	2457	2198	2045	2640	2148	2230	2404	2414	2132	2002	2428	2467	2901	2074	2591	2631	2527	2498	2411	2023	2586	2095	1795	1389	2550	2522	455	1376									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	66746	2000	1700	1900	2300	2400	2000	2000	2500	2000	2200	2400	2400	2000	2000	2400	2400	2500	2000	2500	2500	2400	2400	2400	1900	2500	2000	1500	1300	2400	2400	446	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22734	698	713	807	789	876	711	714	891	842	748	804	833	656	883	763	877	852	819	822	619	712	669	811	576	773	627	585	424	635	686	72	447									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1126	57	9	8	16	11	19	57	6	18	23	9	14	14	20	11	44	109	39	10	27	104	85	25	23	32	38	11	11	97	19	99	61									
6	Число погашенных избирательных бюллетеней	42886	1245	978	1085	1495	1513	1270	1229	1603	1140	1429	1587	1553	1330	1097	1626	1479	1539	1142	1668	1854	1584	1646	1564	1301	1695	1335	904	865	1668	1695	275	492									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1125	57	9	8	16	11	19	57	6	18	23	9	14	14	20	11	44	108	39	10	27	104	85	25	23	32	38	11	11	97	19	99	61									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22734	698	713	807	789	876	711	714	891	842	748	804	833	656	883	763	877	852	819	822	619	712	669	811	576	773	627	585	424	635	686	72	447									
9	Число недействительных избирательных бюллетеней	552	18	15	22	25	18	38	22	44	29	20	19	19	5	13	26	26	20	19	16	12	13	5	13	12	16	16	15	4	6	19	0	7									
10	Число действительных избирательных бюллетеней	23307	737	707	793	780	869	692	749	853	831	751	794	828	665	890	748	895	940	839	816	634	803	749	823	587	789	649	581	431	726	686	171	501									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1030	32	31	31	37	31	31	31	31	37	31	37	31	32	32	32	32	38	38	32	32	32	32	32	32	32	32	32	32	32	32	20	31									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	730	31	18	22	34	24	27	18	29	33	25	33	28	24	19	14	13	33	33	21	25	27	18	18	14	26	20	13	19	25	23	1	22									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	546	4	11	31	12	35	17	19	10	14	13	18	6	11	64	6	13	4	26	13	15	10	11	3	6	9	12	66	13	17	17	4	36									
14	Число погашенных неиспользованных открепительных удостоверений	300	1	13	9	3	7	4	13	2	4	6	4	3	8	13	18	19	5	5	11	7	5	14	14	18	6	12	19	13	7	9	19	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	92	4	1	0	3	3	4	3	0	5	2	5	4	3	2	2	5	3	0	6	8	7	1	5	0	3	4	3	0	2	1	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	398	14	11	24	11	19	14	11	13	10	10	18	8	16	15	9	10	11	12	12	9	24	14	8	11	12	16	10	11	14	9	1	11									
		1.67%	1.85%	1.52%	2.94%	1.37%	2.14%	1.92%	1.43%	1.45%	1.16%	1.30%	2.21%	0.94%	2.39%	1.66%	1.16%	1.09%	1.15%	1.40%	1.44%	1.39%	2.94%	1.86%	0.96%	1.84%	1.49%	2.41%	1.68%	2.53%	1.91%	1.28%	0.58%	2.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	631	22	18	18	13	20	16	20	21	18	22	24	23	26	12	23	29	24	15	26	19	20	30	30	13	16	17	14	11	16	21	23	11									
		2.64%	2.91%	2.49%	2.21%	1.61%	2.25%	2.19%	2.59%	2.34%	2.09%	2.85%	2.95%	2.72%	3.88%	1.33%	2.97%	3.15%	2.50%	1.75%	3.13%	2.94%	2.45%	3.98%	3.59%	2.17%	1.99%	2.56%	2.35%	2.53%	2.19%	2.98%	13.45%	2.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	482	10	15	16	15	24	15	9	15	13	21	14	24	18	7	17	35	23	15	14	1	10	23	8	13	26	9	18	12	15	15	4	8									
		2.02%	1.32%	2.08%	1.96%	1.86%	2.71%	2.05%	1.17%	1.67%	1.51%	2.72%	1.72%	2.83%	2.69%	0.78%	2.20%	3.80%	2.40%	1.75%	1.68%	0.15%	1.23%	3.05%	0.96%	2.17%	3.23%	1.35%	3.02%	2.76%	2.05%	2.13%	2.34%	1.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10379	308	244	310	289	367	260	282	529	322	255	296	329	283	481	308	418	392	406	305	372	415	332	456	343	350	266	233	184	401	342	96	205									
		43.50%	40.79%	33.80%	38.04%	35.90%	41.38%	35.62%	36.58%	58.97%	37.44%	33.07%	36.41%	38.84%	42.24%	53.27%	39.79%	45.39%	40.83%	47.32%	36.66%	57.59%	50.86%	44.03%	54.55%	57.26%	43.48%	40.00%	39.09%	42.30%	54.78%	48.51%	56.14%	40.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	211	9	18	5	9	5	8	7	5	10	10	7	7	7	3	4	8	11	8	7	1	3	4	7	9	6	4	10	4	1	3	2	9									
		0.88%	1.19%	2.49%	0.61%	1.12%	0.56%	1.10%	0.91%	0.56%	1.16%	1.30%	0.86%	0.83%	1.04%	0.33%	0.52%	0.87%	1.15%	0.93%	0.84%	0.15%	0.37%	0.53%	0.84%	1.50%	0.75%	0.60%	1.68%	0.92%	0.14%	0.43%	1.17%	1.77%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	4	2	0	2	2	2	1	0	1	1	0	1	1	1	0	1	1	2	2	0	2	0	1	3	4	3	1	0	2	3	0	0									
		0.18%	0.53%	0.28%	0.00%	0.25%	0.23%	0.27%	0.13%	0.00%	0.12%	0.13%	0.00%	0.12%	0.15%	0.11%	0.00%	0.11%	0.10%	0.23%	0.24%	0.00%	0.25%	0.00%	0.12%	0.50%	0.50%	0.45%	0.17%	0.00%	0.27%	0.43%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3795	133	102	111	141	149	120	130	105	118	139	129	131	103	101	109	110	180	126	163	104	141	130	133	78	144	115	109	90	110	114	19	108									
		15.91%	17.62%	14.13%	13.62%	17.52%	16.80%	16.44%	16.86%	11.71%	13.72%	18.03%	15.87%	15.47%	15.37%	11.18%	14.08%	11.94%	18.75%	14.69%	19.59%	16.10%	17.28%	17.24%	15.91%	13.02%	17.89%	17.29%	18.29%	20.69%	15.03%	16.17%	11.11%	21.26%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	283	6	14	19	11	8	10	2	3	13	6	12	8	9	11	15	17	12	15	9	7	13	12	5	4	9	9	10	3	2	4	0	5									
		1.19%	0.79%	1.94%	2.33%	1.37%	0.90%	1.37%	0.26%	0.33%	1.51%	0.78%	1.48%	0.94%	1.34%	1.22%	1.94%	1.85%	1.25%	1.75%	1.08%	1.08%	1.59%	1.59%	0.60%	0.67%	1.12%	1.35%	1.68%	0.69%	0.27%	0.57%	0.00%	0.98%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	280	9	11	17	11	10	12	7	3	10	12	12	16	7	9	6	5	13	15	15	9	11	7	7	5	13	8	5	3	5	2	0	5									
		1.17%	1.19%	1.52%	2.09%	1.37%	1.13%	1.64%	0.91%	0.33%	1.16%	1.56%	1.48%	1.89%	1.04%	0.99%	0.78%	0.54%	1.35%	1.75%	1.80%	1.39%	1.35%	0.93%	0.84%	0.83%	1.61%	1.20%	0.84%	0.69%	0.68%	0.28%	0.00%	0.98%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	32	4	0	0	1	3	1	0	0	3	1	2	0	2	4	2	1	1	0	1	0	2	0	1	0	0	0	2	0	1	0	0	0									
		0.13%	0.53%	0.00%	0.00%	0.12%	0.34%	0.14%	0.00%	0.00%	0.35%	0.13%	0.25%	0.00%	0.30%	0.44%	0.26%	0.11%	0.10%	0.00%	0.12%	0.00%	0.25%	0.00%	0.12%	0.00%	0.00%	0.00%	0.34%	0.00%	0.14%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	632	12	28	22	23	20	31	22	17	34	16	23	40	20	11	20	17	18	23	22	10	17	24	19	24	18	21	18	9	6	19	5	23									
