Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Вурнарская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198					
1	"Число избирателей, внесенных в списки избирателей"	26590	1306	1698	1637	1465	1527	281	362	381	250	364	504	453	636	278	262	775	183	385	376	226	167	179	96	532	57	513	476	1039	229	1016	256	389	444	261	296	107	377	240	342	217	581	303	371	205	600	263	440	489	429	177	408	375	572	597	198					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26853	1241	1470	1440	1364	1435	294	362	409	260	524	522	474	655	289	271	807	179	371	413	195	168	152	106	792	59	557	501	1057	228	957	301	392	464	275	313	112	386	245	355	218	615	335	410	227	643	258	434	501	457	185	407	392	613	560	203					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17545	739	959	992	881	989	214	241	224	167	306	266	290	371	191	169	518	139	271	273	144	139	118	44	456	44	334	314	600	153	651	231	317	309	205	232	71	276	194	231	147	415	196	278	144	472	178	239	359	325	131	273	215	377	399	134					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2581	111	64	53	114	50	26	51	76	33	58	105	22	52	30	51	54	25	48	33	23	15	15	36	76	5	40	52	77	23	158	25	22	78	13	39	17	44	22	51	33	83	75	44	15	25	19	52	33	29	23	76	82	55	36	14					
6	Число погашенных избирательных бюллетеней	6727	391	447	395	369	396	54	70	109	60	160	151	162	232	68	51	235	15	52	107	28	14	19	26	260	10	183	135	380	52	148	45	53	77	57	42	24	66	29	73	38	117	64	88	68	146	61	143	109	103	31	58	95	181	125	55					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2581	111	64	53	114	50	26	51	76	33	58	105	22	52	30	51	54	25	48	33	23	15	15	36	76	5	40	52	77	23	158	25	22	78	13	39	17	44	22	51	33	83	75	44	15	25	19	52	33	29	23	76	82	55	36	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17545	739	959	992	881	989	214	241	224	167	306	266	290	371	191	169	518	139	271	273	144	139	118	44	456	44	334	314	600	153	651	231	317	309	205	232	71	276	194	231	147	415	196	278	144	472	178	239	359	325	131	273	215	377	399	134					
9	Число недействительных избирательных бюллетеней	378	14	13	17	12	9	7	0	2	1	9	6	7	13	2	6	9	3	7	7	2	2	5	0	11	0	9	14	13	2	16	4	16	14	3	2	9	7	0	2	0	5	6	4	6	20	5	6	6	6	3	5	6	10	9	6					
10	Число действительных избирательных бюллетеней	19748	836	1010	1028	983	1030	233	292	298	199	355	365	305	410	219	214	563	161	312	299	165	152	128	80	521	49	365	352	664	174	793	252	323	373	215	269	79	313	216	280	180	493	265	318	153	477	192	285	386	348	151	344	291	422	426	142					
