Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358					
1	"Число избирателей, внесенных в списки избирателей"	136460	2209	1895	1940	1052	2165	1997	2669	2501	2935	1422	1273	1892	1739	2143	1292	2455	2479	1635	1398	930	1430	2308	2728	2139	1627	1248	2324	2143	2266	2117	1764	2448	2104	1636	2502	2266	1946	1260	2339	2373	2633	2771	2437	2320	2367	2997	2849	2725	2906	2963	2742	2213	1829	1542	2578	2757	2143	1837	2259	368	2957	167	1427	360	256	590	1853	855	147	180	235	52	100	88	110	213	58	587					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	124153	2010	1710	1820	920	1920	1810	2500	2300	2700	1290	1100	1710	1590	1970	1160	2250	2140	1510	1300	810	1270	1700	2400	2010	1470	1080	2160	2000	2100	1970	1620	2140	1930	1320	2310	1950	1810	1090	1910	2220	2360	2550	2220	2140	2060	2790	2680	2480	2690	2800	2600	2090	1720	1430	2390	2510	1930	1640	2350	340	2530	159	1270	350	237	500	1730	797	144	192	217	70	110	95	114	250	58	580					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	70143	1050	959	888	439	1113	1037	1231	1217	1344	677	581	865	785	1086	582	1249	978	836	684	358	576	1421	1439	1185	872	693	1168	1183	1196	1128	976	1379	984	876	1416	1205	1064	687	1217	1214	1453	1488	1215	1205	1194	1588	1388	1500	1458	1455	1347	1051	969	753	1249	1446	995	911	1223	167	1753	99	767	236	152	344	938	529	99	170	217	46	82	70	100	46	56	546					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2033	22	11	13	41	14	21	32	11	13	9	25	27	18	15	15	13	36	9	9	2	5	27	46	31	39	30	67	24	21	21	13	27	53	150	26	46	31	23	27	47	77	24	44	38	27	53	26	33	21	29	18	23	5	7	18	53	7	13	34	0	3	2	21	8	4	23	41	40	4	10	0	6	18	14	10	167	2	0					
6	Число погашенных избирательных бюллетеней	51977	938	740	919	440	793	752	1237	1072	1343	604	494	818	787	869	563	988	1126	665	607	450	689	252	915	794	559	357	925	793	883	821	631	734	893	294	868	699	715	380	666	959	830	1038	961	897	839	1149	1266	947	1211	1316	1235	1016	746	670	1123	1011	928	716	1093	173	774	58	482	106	81	133	751	228	41	12	0	18	10	11	4	37	0	34					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2033	22	11	13	41	14	21	32	11	13	9	25	27	18	15	15	13	36	9	9	2	5	27	46	31	39	30	67	24	21	21	13	27	53	150	26	46	31	23	27	47	77	24	44	38	27	53	26	33	21	29	18	23	5	7	18	53	7	13	34	0	3	2	21	8	4	23	41	40	4	10	0	6	18	14	10	167	2	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70114	1050	959	888	439	1113	1037	1230	1217	1343	677	581	865	785	1074	582	1248	978	835	684	358	576	1419	1439	1184	872	693	1168	1183	1196	1128	974	1377	983	876	1414	1205	1064	687	1217	1214	1453	1488	1215	1205	1194	1588	1388	1500	1457	1454	1347	1051	969	753	1249	1445	995	911	1223	167	1753	99	767	236	152	344	938	529	99	170	217	46	82	70	100	46	56	546					
9	Число недействительных избирательных бюллетеней	969	11	19	13	5	18	11	19	23	19	8	5	9	11	6	9	14	18	13	6	4	7	31	17	28	14	7	19	14	22	15	14	11	13	11	11	8	18	9	10	23	19	21	18	17	9	12	18	14	17	15	15	13	18	7	12	16	9	11	9	2	36	0	7	2	2	8	8	9	1	18	10	0	0	0	2	2	0	49					
10	Число действительных избирательных бюллетеней	71178	1061	951	888	475	1109	1047	1243	1205	1337	678	601	883	792	1083	588	1247	996	831	687	356	574	1415	1468	1187	897	716	1216	1193	1195	1134	973	1393	1023	1015	1429	1243	1077	701	1234	1238	1511	1491	1241	1226	1212	1629	1396	1519	1461	1468	1350	1061	956	753	1255	1482	993	913	1248	165	1720	101	781	242	154	359	971	560	102	162	207	52	100	84	108	211	58	497					
