Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Няганьская городская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365					
1	"Число избирателей, внесенных в список"	42460	1832	1857	1816	1898	2486	449	1253	1243	1247	2707	2846	1164	1937	2057	2305	1552	3109	2669	3087	3193	481	1272					
2	Число полученных избирательных бюллетеней	39200	1600	1800	1700	1700	2200	400	1100	1200	1200	2500	2600	1200	1600	2000	2200	1500	2600	2600	2800	3000	500	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25856	972	1009	1043	1036	1274	266	718	563	744	1751	1869	835	1297	1427	1600	1092	2045	1507	1710	1923	347	828					
5	"Число избирательных бюллетеней, выданных вне помещения"	571	9	54	43	13	65	3	39	91	8	21	51	8	9	10	11	9	58	14	26	16	1	12					
6	Число погашенных избирательных бюллетеней	12773	619	737	614	651	861	131	343	546	448	728	680	357	294	563	589	399	497	1079	1064	1061	152	360					
7	Число избирательных бюллетеней в переносных ящиках	571	9	54	43	13	65	3	39	91	8	21	51	8	9	10	11	9	58	14	26	16	1	12					
8	Число бюллетеней в стационарных ящиках для голосования	25846	972	1009	1043	1036	1272	266	718	563	744	1749	1866	835	1297	1427	1599	1090	2045	1507	1710	1923	347	828					
9	Число недействительных избирательных бюллетеней	193	15	10	14	7	11	3	16	11	4	8	7	6	12	9	7	5	12	14	5	10	5	2					
10	Число действительных избирательных бюллетеней	26224	966	1053	1072	1042	1326	266	741	643	748	1762	1910	837	1294	1428	1603	1094	2091	1507	1731	1929	343	838					
11	Число полученных открепительных  удостоверений	419	20	18	15	10	15	10	10	10	19	30	36	20	20	20	27	20	30	20	20	25	10	14					
12	Число выданных открепительных удостоверений	306	8	11	10	9	11	3	6	6	16	24	32	12	17	19	24	7	12	20	20	22	7	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	202	5	4	11	5	4	11	5	2	8	7	18	3	22	8	11	10	26	12	13	13	2	2					
14	Число неиспользованных открепительных удостоверений	113	12	7	5	1	4	7	4	4	3	6	4	8	3	1	3	13	18	0	0	3	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	51	1	2	0	5	4	0	0	1	1	9	7	1	1	2	4	3	0	2	2	5	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	1149	42	34	40	47	42	7	27	21	33	77	102	35	52	80	67	42	126	64	77	94	7	33					
