Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
"Наименование Избирательной комиссии:    Иваново, Октябрьская"																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98					
1	"Число избирателей, внесенных в списки избирателей"	74745	1648	1930	1571	1477	1584	2228	2170	1842	2026	1902	1932	2144	1821	2063	1727	1550	1887	2215	1549	2355	2234	2411	2294	2408	2191	1442	1546	1787	1889	2894	1590	1659	1540	2346	2086	2002	2140	2079	586					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	73610	1360	1850	1550	1460	1470	2230	2180	1820	2000	1920	1890	2130	1800	2080	1700	1560	1860	2190	1520	2330	2220	2400	2300	2400	2180	1420	1520	1780	1860	2740	1580	1650	1540	2330	2050	1980	2100	2060	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38669	987	1036	819	849	805	1266	1171	1032	1132	981	1111	1159	946	1208	829	729	871	1188	788	1083	993	1196	1029	1024	885	667	710	963	996	1672	994	965	869	1242	1082	1020	979	807	586					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1288	39	25	21	20	122	41	39	33	46	44	27	29	26	23	63	32	38	36	17	53	35	38	32	42	46	23	25	45	20	17	16	12	20	33	32	26	22	30	0					
6	Число погашенных избирательных бюллетеней	33653	334	789	710	591	543	923	970	755	822	895	752	942	828	849	808	799	951	966	715	1194	1192	1166	1239	1334	1249	730	785	772	844	1051	570	673	651	1055	936	934	1099	1223	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1288	39	25	21	20	122	41	39	33	46	44	27	29	26	23	63	32	38	36	17	53	35	38	32	42	46	23	25	45	20	17	16	12	20	33	32	26	22	30	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38602	987	1036	819	849	803	1263	1169	1032	1132	978	1109	1157	946	1206	829	729	871	1188	788	1080	958	1196	1029	1024	885	666	710	963	996	1669	994	965	868	1238	1080	1018	979	807	586					
9	Число недействительных избирательных бюллетеней	424	11	19	10	10	10	16	15	15	15	10	9	9	13	20	5	10	6	16	7	7	4	12	8	11	23	6	6	9	16	14	6	14	12	11	5	1	8	13	12					
10	Число действительных избирательных бюллетеней	39466	1015	1042	830	859	915	1288	1193	1050	1163	1012	1127	1177	959	1209	887	751	903	1208	798	1126	989	1222	1053	1055	908	683	729	999	1000	1672	1004	963	876	1260	1107	1043	993	824	574					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	992	15	15	15	15	15	27	25	15	21	35	25	25	25	75	70	115	15	25	15	15	19	30	35	15	15	15	15	15	15	55	25	15	15	35	15	25	15	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	763	13	14	11	13	8	26	20	11	17	35	16	17	23	70	65	74	9	18	8	15	16	25	31	13	10	7	7	6	10	46	23	14	14	20	7	16	6	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	843	17	37	23	16	43	24	18	17	20	9	26	18	27	42	17	17	26	13	14	12	5	9	8	10	16	10	11	17	12	19	16	9	17	10	9	14	18	10	187					
14	Число погашенных неиспользованных открепительных удостоверений	229	2	1	4	2	7	1	5	4	4	0	9	8	2	5	5	41	6	7	7	0	3	5	4	2	5	8	8	9	5	9	2	1	1	15	8	9	9	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	1.Политическая партия «Аграрная партия России»	1562	27	48	32	41	28	54	40	38	47	51	61	42	44	52	39	58	35	40	29	43	27	39	23	29	24	36	46	49	30	77	48	47	24	42	50	42	36	30	14					
		3.92%	2.63%	4.52%	3.81%	4.72%	3.03%	4.14%	3.31%	3.57%	3.99%	4.99%	5.37%	3.54%	4.53%	4.23%	4.37%	7.62%	3.85%	3.27%	3.60%	3.80%	2.72%	3.16%	2.17%	2.72%	2.58%	5.22%	6.26%	4.86%	2.95%	4.57%	4.75%	4.81%	2.70%	3.30%	4.50%	4.02%	3.60%	3.58%	2.39%					
19	2.Всероссийская политическая партия «Гражданская Сила»	819	37	31	33	38	21	33	24	25	26	21	24	37	24	38	13	5	19	31	16	15	13	26	22	17	12	5	8	12	18	37	13	13	12	25	19	21	10	16	9					
		2.05%	3.61%	2.92%	3.93%	4.37%	2.27%	2.53%	1.99%	2.35%	2.21%	2.05%	2.11%	3.12%	2.47%	3.09%	1.46%	0.66%	2.09%	2.53%	1.99%	1.32%	1.31%	2.11%	2.07%	1.59%	1.29%	0.73%	1.09%	1.19%	1.77%	2.19%	1.29%	1.33%	1.35%	1.97%	1.71%	2.01%	0.99%	1.91%	1.54%					
20	3.Политическая партия «Демократическая партия России»	49	1	0	2	1	1	4	3	2	1	2	3	1	3	2	1	1	2	0	1	2	1	1	2	0	0	0	1	0	1	1	1	1	2	0	0	2	1	0	2					
		0.12%	0.10%	0.00%	0.24%	0.12%	0.11%	0.31%	0.25%	0.19%	0.08%	0.20%	0.26%	0.08%	0.31%	0.16%	0.11%	0.13%	0.22%	0.00%	0.12%	0.18%	0.10%	0.08%	0.19%	0.00%	0.00%	0.00%	0.14%	0.00%	0.10%	0.06%	0.10%	0.10%	0.23%	0.00%	0.00%	0.19%	0.10%	0.00%	0.34%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4074	100	139	107	101	129	177	164	130	147	120	143	127	86	171	83	49	78	120	60	82	63	96	114	82	75	55	50	97	93	169	126	116	117	129	106	102	77	72	22					
		10.21%	9.75%	13.10%	12.74%	11.62%	13.95%	13.57%	13.58%	12.21%	12.48%	11.74%	12.59%	10.71%	8.85%	13.91%	9.30%	6.44%	8.58%	9.80%	7.45%	7.24%	6.34%	7.78%	10.74%	7.69%	8.06%	7.98%	6.80%	9.62%	9.15%	10.02%	12.48%	11.87%	13.18%	10.15%	9.53%	9.77%	7.69%	8.60%	3.75%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	658	28	13	20	19	29	24	34	12	29	20	26	29	18	24	11	13	14	17	7	6	8	14	14	29	10	10	4	15	21	21	16	14	10	24	14	14	9	12	6					
