Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
"Наименование Избирательной комиссии:    Владивосток, Ленинская"																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1903	УИК №1904					
1	"Число избирателей, внесенных в список избирателей"	116230	719	1479	1893	1717	969	1068	981	1309	1926	1598	1048	1788	1894	1753	1743	2660	2760	2138	2215	2461	1211	1700	2779	1873	2086	2495	2608	2119	1641	2244	2217	2302	2523	2410	2249	2042	2676	2439	1124	2295	2689	2496	918	2278	2196	2135	2715	2618	1030	1481	2037	1235	1733	1356	1854	2277	1593	1923	1754	229	241	335	415	405	430	179	214	312					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	107050	650	1400	1800	1500	900	1300	1000	1000	1900	1500	1000	1800	1500	1500	1500	2500	2500	2000	2000	2000	1000	1500	2500	1800	2000	2400	2600	2000	1500	2000	2000	2000	2500	2000	2000	2000	2500	2400	1000	2000	2500	2500	900	2000	2000	2000	2500	2500	1000	1400	2000	1000	1700	1000	1800	2000	1500	1900	1500	200	200	300	350	350	350	150	200	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	48083	626	688	855	785	435	1066	607	524	1033	698	393	787	705	796	778	1117	1234	989	610	1056	575	802	1074	790	945	801	957	801	573	769	729	845	952	989	1035	888	1008	700	482	715	914	845	384	881	815	942	1085	973	425	607	689	671	493	623	923	859	588	672	558	158	174	243	266	266	275	106	187	249					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1113	2	16	43	11	6	0	0	7	12	6	15	20	6	13	3	4	6	11	9	9	10	15	234	14	18	23	17	20	9	12	26	25	13	61	19	23	87	37	14	11	16	13	11	17	0	8	18	13	9	12	17	11	5	10	13	24	16	10	3	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	57850	22	696	909	704	459	234	393	469	855	796	592	993	789	691	718	1379	1260	1000	1381	935	415	676	1192	995	1037	1576	1624	1179	918	1219	1245	1130	1535	950	946	1089	1405	1663	504	1274	1570	1642	505	1102	1185	1050	1397	1514	566	781	1294	318	1202	367	864	1117	896	1218	939	42	26	57	84	84	75	44	13	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1113	2	16	43	11	6	0	0	7	12	6	15	20	6	13	3	4	6	11	9	9	10	15	234	14	18	23	17	20	9	12	26	25	13	61	19	23	87	37	14	11	16	13	11	17	0	8	18	13	9	12	17	11	5	10	13	24	16	10	3	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47934	624	688	852	781	435	1066	607	522	1033	698	393	787	705	796	776	1115	1228	989	607	1051	573	802	1074	787	945	801	957	801	572	768	728	844	949	989	1035	886	921	700	482	715	912	845	384	881	806	941	1085	972	422	607	689	671	493	623	923	857	588	672	557	158	174	243	266	266	275	106	187	249					
9	Число недействительных избирательных бюллетеней	1058	23	15	51	8	2	97	5	8	24	16	9	21	16	10	12	14	24	22	18	16	7	17	27	16	19	16	21	12	20	22	10	19	14	13	19	12	19	9	12	13	15	22	10	25	18	18	23	13	14	5	20	23	12	6	16	18	9	10	6	2	0	6	7	5	6	4	17	0					
10	Число действительных избирательных бюллетеней	47989	603	689	844	784	439	969	602	521	1021	688	399	786	695	799	767	1105	1210	978	598	1044	576	800	1281	785	944	808	953	809	561	758	744	850	948	1037	1035	897	989	728	484	713	913	836	385	873	788	931	1080	972	417	614	686	659	486	627	920	863	595	672	554	156	174	237	259	261	269	102	170	249					
