Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Володарская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №522	УИК №523	УИК №524	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №2489	УИК №2491					
1	"Число избирателей, внесенных в список избирателей"	46792	1736	2176	1965	1091	1705	732	1662	2438	1273	1136	935	2216	2145	1972	1581	437	2990	1413	209	2315	2895	2307	2172	2543	1517	423	722	2086					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44800	1700	2100	1900	1000	1700	700	1600	2400	1200	1100	900	2200	2100	1900	1500	400	3000	1400	200	2300	2600	2200	1800	2400	1400	500	700	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22392	684	836	771	352	587	210	766	1083	637	515	226	931	862	781	493	127	1688	568	57	1321	1734	1634	1374	1614	773	418	191	1159					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1347	20	20	109	36	36	26	23	23	36	68	106	16	63	19	51	33	4	19	45	16	176	77	83	76	48	5	87	26					
6	Число погашенных избирательных бюллетеней	21061	996	1244	1020	612	1077	464	811	1294	527	517	568	1253	1175	1100	956	240	1308	813	98	963	690	489	343	710	579	77	422	715					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1344	20	20	109	36	36	26	23	23	36	68	106	16	63	19	51	33	4	19	45	16	176	77	80	76	48	5	87	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22388	684	836	771	352	587	210	766	1083	637	515	226	931	862	781	493	127	1686	568	57	1321	1734	1633	1373	1614	773	418	191	1159					
9	Число недействительных избирательных бюллетеней	356	9	16	13	1	11	6	8	18	10	15	0	16	15	5	9	4	22	14	3	17	33	24	21	28	14	0	0	24					
10	Число действительных избирательных бюллетеней	23376	695	840	867	387	612	230	781	1088	663	568	332	931	910	795	535	156	1668	573	99	1320	1877	1686	1432	1662	807	423	278	1161					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	665	10	10	20	10	20	10	20	10	20	10	20	20	30	30	20	10	60	20	10	40	30	30	60	70	30	5	10	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	422	5	6	14	3	13	9	13	10	19	7	9	15	22	19	14	4	48	5	1	27	24	13	40	62	2	0	3	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	287	15	7	6	11	12	18	3	10	2	11	9	0	11	5	5	5	15	3	7	16	14	23	47	20	3	0	3	6					
14	Число погашенных неиспользованных открепительных удостоверений	243	5	4	6	7	7	1	7	0	1	3	11	5	8	11	6	6	12	15	9	13	6	17	20	8	28	5	7	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2932	109	143	148	84	97	37	106	136	96	66	64	187	164	161	95	11	173	74	9	239	147	111	125	149	61	0	40	100					
		12.35%	15.48%	16.71%	16.82%	21.65%	15.57%	15.68%	13.43%	12.30%	14.26%	11.32%	19.28%	19.75%	17.73%	20.13%	17.46%	6.88%	10.24%	12.61%	8.82%	17.88%	7.70%	6.49%	8.60%	8.82%	7.43%	0.00%	14.39%	8.44%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4483	114	184	180	77	93	21	123	140	108	101	35	166	156	141	95	30	324	115	14	228	428	338	331	462	225	3	37	214					
		18.89%	16.19%	21.50%	20.45%	19.85%	14.93%	8.90%	15.59%	12.66%	16.05%	17.32%	10.54%	17.53%	16.86%	17.63%	17.46%	18.75%	19.17%	19.59%	13.73%	17.05%	22.41%	19.77%	22.78%	27.34%	27.41%	0.71%	13.31%	18.06%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	265	7	7	10	3	8	0	4	4	10	7	5	13	16	4	6	1	27	7	1	17	20	22	24	24	7	0	0	11					
		1.12%	0.99%	0.82%	1.14%	0.77%	1.28%	0.00%	0.51%	0.36%	1.49%	1.20%	1.51%	1.37%	1.73%	0.50%	1.10%	0.63%	1.60%	1.19%	0.98%	1.27%	1.05%	1.29%	1.65%	1.42%	0.85%	0.00%	0.00%	0.93%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5630	175	201	194	97	216	83	244	351	157	163	74	339	300	248	168	44	455	185	20	400	242	281	282	306	130	4	72	199					
		23.72%	24.86%	23.48%	22.05%	25.00%	34.67%	35.17%	30.93%	31.74%	23.33%	27.96%	22.29%	35.80%	32.43%	31.00%	30.88%	27.50%	26.92%	31.52%	19.61%	29.92%	12.67%	16.43%	19.41%	18.11%	15.83%	0.95%	25.90%	16.79%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	465	21	21	26	10	15	6	16	23	10	12	14	19	11	13	9	3	32	12	3	38	24	35	32	22	9	1	8	20					
		1.96%	2.98%	2.45%	2.95%	2.58%	2.41%	2.54%	2.03%	2.08%	1.49%	2.06%	4.22%	2.01%	1.19%	1.63%	1.65%	1.88%	1.89%	2.04%	2.94%	2.84%	1.26%	2.05%	2.20%	1.30%	1.10%	0.24%	2.88%	1.69%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9476	267	280	299	113	181	83	285	432	279	218	139	203	258	225	156	67	649	179	52	387	1003	889	628	691	374	415	120	604					
		39.93%	37.93%	32.71%	33.98%	29.12%	29.05%	35.17%	36.12%	39.06%	41.46%	37.39%	41.87%	21.44%	27.89%	28.13%	28.68%	41.88%	38.40%	30.49%	50.98%	28.95%	52.51%	51.99%	43.22%	40.89%	45.55%	98.11%	43.17%	50.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	125	2	4	10	3	2	0	3	2	3	1	1	4	5	3	6	0	8	1	0	11	13	10	10	8	1	0	1	13					
		0.53%	0.28%	0.47%	1.14%	0.77%	0.32%	0.00%	0.38%	0.18%	0.45%	0.17%	0.30%	0.42%	0.54%	0.38%	1.10%	0.00%	0.47%	0.17%	0.00%	0.82%	0.68%	0.58%	0.69%	0.47%	0.12%	0.00%	0.36%	1.10%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
