Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Ухтинская городская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364					
1	"Число избирателей, внесенных в списки"	95666	2837	676	1684	2339	1192	2047	2217	1906	1991	2142	2864	1354	1217	1547	794	385	1606	2187	2060	1542	256	2207	2079	3163	858	2017	2184	1718	1714	1600	2096	1851	1121	591	2651	858	1672	2056	2378	1835	1196	2906	1840	2341	2886	802	294	1596	1729	1444	134	2090	1071	2107	116	1747	1875					
2	"Число бюллетеней, полученных участковыми комиссиями"	95990	2840	665	1680	2250	2100	2050	2230	1900	2000	2100	2880	1300	1200	1540	850	390	1610	2200	2000	1530	230	2190	2040	3100	790	2000	2200	1730	1730	1580	2090	1860	1130	580	2660	790	1670	2060	2330	1750	1180	2840	1840	2350	2810	740	420	1550	1730	1540	138	2100	1078	2100	139	1730	1880					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54039	1588	230	697	1199	1177	1146	1212	1089	1140	1194	1583	696	661	938	517	288	830	1130	1020	774	106	1322	1151	1536	466	1152	1277	923	940	900	1201	1065	670	172	1572	557	914	1209	1333	972	683	1651	1040	1335	1533	430	231	923	1083	860	85	1242	573	1396	72	1112	1243					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1085	37	13	4	13	15	11	28	21	27	21	34	24	16	20	36	0	25	19	15	16	3	16	7	46	6	15	15	17	8	2	14	10	6	0	8	2	40	7	9	7	6	19	11	15	113	12	0	59	32	29	9	40	19	14	3	39	32					
6	Число погашенных бюллетеней	40866	1215	422	979	1038	908	893	990	790	833	885	1263	580	523	582	297	102	755	1051	965	740	121	852	882	1518	318	833	908	790	782	678	875	785	454	408	1080	231	716	844	988	771	491	1170	789	1000	1164	298	189	568	615	651	44	818	486	690	64	579	605					
7	Число бюллетеней в переносных ящиках для голосования	1085	37	13	4	13	15	11	28	21	27	21	34	24	16	20	36	0	25	19	15	16	3	16	7	46	6	15	15	17	8	2	14	10	6	0	8	2	40	7	9	7	6	19	11	15	113	12	0	59	32	29	9	40	19	14	3	39	32					
8	Число бюллетеней в стационарных ящиках для голосования	53980	1588	230	696	1186	1174	1146	1212	1089	1137	1194	1581	695	661	932	517	288	830	1130	1020	774	106	1322	1147	1536	466	1152	1277	923	940	896	1190	1065	667	172	1572	557	914	1209	1333	972	683	1647	1039	1335	1533	430	231	923	1083	860	85	1240	572	1396	72	1112	1243					
9	Число недействительных бюллетеней	558	7	8	12	2	5	11	9	11	25	8	13	6	4	8	13	8	16	25	5	8	2	12	11	11	0	4	5	9	7	9	1	4	5	1	8	5	13	11	15	15	6	10	6	10	19	4	2	16	13	14	0	36	14	20	5	15	16					
10	Число действительных бюллетеней	54507	1618	235	688	1197	1184	1146	1231	1099	1139	1207	1602	713	673	944	540	280	839	1124	1030	782	107	1326	1143	1571	472	1163	1287	931	941	889	1203	1071	668	171	1572	554	941	1205	1327	964	683	1656	1044	1340	1627	438	229	966	1102	875	94	1244	577	1390	70	1136	1259					
