Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Мари-Турекская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337					
1	"Число избирателей, внесенных в список"	17697	171	1638	284	1902	664	1002	418	840	585	206	1274	860	806	466	1116	274	565	669	312	604	437	952	207	284	441	720					
2	Число полученных избирательных бюллетеней	16970	175	1450	285	1700	590	930	450	820	570	215	1290	870	765	455	1080	265	530	660	345	600	440	845	205	285	440	710					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12658	140	1112	197	1384	456	730	249	619	396	190	867	469	502	356	964	151	429	418	174	426	411	663	169	274	298	614					
5	"Число избирательных бюллетеней, выданных вне помещения"	2709	15	70	34	46	78	80	131	196	152	16	207	343	194	62	57	107	95	191	100	155	5	158	36	10	87	84					
6	Число погашенных избирательных бюллетеней	1603	20	268	54	270	56	120	70	5	22	9	216	58	69	37	59	7	6	51	71	19	24	24	0	1	55	12					
7	Число избирательных бюллетеней в переносных ящиках	2709	15	70	34	46	78	80	131	196	152	16	207	343	194	62	57	107	95	191	100	155	5	158	36	10	87	84					
8	Число бюллетеней в стационарных ящиках для голосования	12657	140	1112	197	1384	456	730	249	619	396	190	867	468	502	356	964	151	429	418	174	426	411	663	169	274	298	614					
9	Число недействительных избирательных бюллетеней	156	2	11	0	14	3	9	2	17	5	0	8	5	10	3	18	2	24	0	0	2	4	8	0	1	2	6					
10	Число действительных избирательных бюллетеней	15210	153	1171	231	1416	531	801	378	798	543	206	1066	806	686	415	1003	256	500	609	274	579	412	813	205	283	383	692					
11	Число полученных открепительных  удостоверений	496	8	25	5	38	10	27	30	20	13	5	50	20	40	5	15	10	20	40	20	20	20	5	10	5	15	20					
12	Число выданных открепительных удостоверений	414	6	24	4	38	7	23	29	16	12	4	50	16	37	4	13	1	7	40	16	20	4	3	7	3	11	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	156	2	17	2	15	4	45	5	2	3	0	6	2	4	2	0	1	5	9	0	2	5	1	4	3	4	13					
14	Число неиспользованных открепительных удостоверений	82	2	1	1	0	3	4	1	4	1	1	0	4	3	1	2	9	13	0	4	0	16	2	3	2	4	1					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	282	2	34	4	47	10	30	1	8	4	2	23	12	15	12	20	4	9	8	3	7	5	3	4	7	5	3					
