Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Тарусская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658					
1	"Число избирателей, внесенных в списки"	12010	1943	1477	2208	2112	390	438	242	859	396	894	250	193	330	278					
2	"Число бюллетеней, полученных участковыми комиссиями"	11780	2000	1500	2000	2000	400	450	230	850	400	900	250	200	300	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5603	852	657	1059	984	194	200	133	355	240	387	150	70	148	174					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	868	75	28	43	25	74	66	30	226	51	106	29	31	45	39					
6	Число погашенных бюллетеней	5309	1073	815	898	991	132	184	67	269	109	407	71	99	107	87					
7	Число бюллетеней в переносных ящиках для голосования	868	75	28	43	25	74	66	30	226	51	106	29	31	45	39					
8	Число бюллетеней в стационарных ящиках для голосования	5601	852	657	1057	984	194	200	133	355	240	387	150	70	148	174					
9	Число недействительных бюллетеней	77	14	6	13	4	3	5	2	9	4	7	1	4	2	3					
10	Число действительных бюллетеней	6392	913	679	1087	1005	265	261	161	572	287	486	178	97	191	210					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	191	15	25	10	25	9	9	9	9	8	9	9	9	36	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	7	4	9	7	7	4	1	1	4	1	0	2	34	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	19	11	7	15	5	8	0	7	1	2	3	0	3	1					
14	Число погашенных открепительных удостоверений	110	8	21	1	18	2	5	8	8	4	8	9	7	2	9					
15	Число открепительных удостоверений выданных ТИК	9	2	2	2	2	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	83	11	4	11	10	5	8	5	9	4	8	1	0	5	2					
		1.28%	1.18%	0.58%	1.0%	0.99%	1.86%	3.00%	3.06%	1.54%	1.37%	1.62%	0.55%	0.0%	2.59%	0.93%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	152	28	19	49	26	8	0	1	8	4	5	2	0	2	0					
		2.34%	3.02%	2.77%	4.45%	2.57%	2.98%	0.0%	0.61%	1.37%	1.37%	1.01%	1.11%	0.0%	1.03%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	149	24	18	21	25	6	11	0	17	4	10	3	4	3	3					
