Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Гусь-Хрустальная																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518					
1	"Число избирателей, внесенных в список"	39102	362	579	627	931	301	460	894	807	208	461	690	732	369	162	630	281	311	380	684	487	569	458	415	546	388	691	128	184	385	743	194	633	160	1542	1746	1561	2541	438	1696	1764	2764	2840	1918	2090	1473	458	421					
2	Число полученных избирательных бюллетеней	36537	340	550	580	860	280	440	850	750	200	420	630	700	350	163	600	260	300	360	650	470	550	430	400	520	360	650	129	184	360	700	193	600	158	1450	1600	1450	2400	420	1550	1610	2550	2600	1800	1900	1400	420	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20217	230	221	409	379	47	197	373	421	152	288	355	327	222	68	312	150	119	256	455	280	314	141	166	240	206	357	46	83	146	282	78	372	93	1096	958	860	1038	231	806	1010	1900	1781	663	974	609	226	280					
5	"Число избирательных бюллетеней, выданных вне помещения"	4077	43	197	9	267	167	133	198	33	8	18	9	101	31	57	139	55	87	32	46	50	78	110	87	174	61	59	59	52	134	234	79	99	36	64	116	116	149	45	75	23	73	88	168	62	77	35	44					
6	Число погашенных избирательных бюллетеней	12243	67	132	162	214	66	110	279	296	40	114	266	272	97	38	149	55	94	72	149	140	158	179	147	106	93	234	24	49	80	184	36	129	29	290	526	474	1213	144	669	577	577	731	969	864	714	159	76					
7	Число избирательных бюллетеней в переносных ящиках	4077	43	197	9	267	167	133	198	33	8	18	9	101	31	57	139	55	87	32	46	50	78	110	87	174	61	59	59	52	134	234	79	99	36	64	116	116	149	45	75	23	73	88	168	62	77	35	44					
8	Число бюллетеней в стационарных ящиках для голосования	20204	230	221	409	379	47	197	373	421	152	288	355	327	222	68	312	150	119	256	455	280	314	141	166	240	206	355	46	83	146	281	78	372	93	1087	958	860	1037	231	806	1010	1900	1781	663	974	609	226	280					
9	Число недействительных избирательных бюллетеней	188	3	0	0	3	0	0	4	3	0	5	1	5	0	0	2	1	4	2	6	2	7	0	2	1	1	2	0	0	0	2	0	3	0	8	14	2	18	1	3	18	27	20	5	4	5	4	0					
10	Число действительных избирательных бюллетеней	24093	270	418	418	643	214	330	567	451	160	301	363	423	253	125	449	204	202	286	495	328	385	251	251	413	266	412	105	135	280	513	157	468	129	1143	1060	974	1168	275	878	1015	1946	1849	826	1032	681	257	324					
11	Число полученных открепительных  удостоверений	400	5	7	7	10	5	5	10	10	5	5	10	10	5	5	10	5	5	5	10	5	7	5	5	7	5	10	5	5	5	10	5	7	5	15	15	15	15	5	15	15	15	15	15	15	15	5	5					
12	Число выданных открепительных удостоверений	96	0	2	0	5	0	2	1	2	0	0	3	1	1	1	7	0	0	2	0	0	1	0	1	1	1	1	0	1	1	2	0	3	0	8	9	5	6	0	0	3	5	4	5	8	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	1	1	0	4	0	2	0	0	0	2	5	2	1	2	2	0	3	2	0	0	0	1	1	2	2	0	0	1	1	3	1	0	1	8	3	6	6	1	3	15	4	6	3	2	0	0	0					
