Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Буздякская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079					
1	"Число избирателей, внесенных в список"	22348	2383	2072	2628	360	342	193	121	460	254	203	285	604	259	65	737	167	258	263	364	423	162	595	311	105	370	513	225	165	118	172	573	228	133	131	484	43	415	106	305	74	858	334	254	573	151	98	238	106	211	375	417	317	150	549	48					
2	Число полученных избирательных бюллетеней	22431	2365	2050	2670	360	341	193	116	460	255	200	285	615	264	65	740	170	265	265	370	427	163	594	312	107	370	515	227	166	120	172	584	228	132	136	487	43	410	107	308	77	853	330	257	580	152	98	245	107	212	378	423	310	149	553	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21303	2287	1995	2579	350	339	181	103	421	241	195	285	589	252	65	722	160	251	233	349	338	139	594	294	93	332	498	223	165	118	164	532	215	132	131	438	43	362	89	290	74	810	310	247	573	151	98	230	106	195	351	402	299	149	491	30					
5	"Число избирательных бюллетеней, выданных вне помещения"	903	77	55	28	10	2	11	13	35	13	5	0	13	7	0	13	6	5	26	13	82	23	0	15	12	38	13	2	0	0	8	41	12	0	0	45	0	40	17	13	0	42	20	7	0	0	0	8	0	14	21	15	11	0	54	18					
6	Число погашенных избирательных бюллетеней	225	1	0	63	0	0	1	0	4	1	0	0	13	5	0	5	4	9	6	8	7	1	0	3	2	0	4	2	1	2	0	11	1	0	5	4	0	8	1	5	3	1	0	3	7	1	0	7	1	3	6	6	0	0	8	2					
7	Число избирательных бюллетеней в переносных ящиках	903	77	55	28	10	2	11	13	35	13	5	0	13	7	0	13	6	5	26	13	82	23	0	15	12	38	13	2	0	0	8	41	12	0	0	45	0	40	17	13	0	42	20	7	0	0	0	8	0	14	21	15	11	0	54	18					
8	Число бюллетеней в стационарных ящиках для голосования	21303	2287	1995	2579	350	339	181	103	421	241	195	285	589	252	65	722	160	251	233	349	338	139	594	294	93	332	498	223	165	118	164	532	215	132	131	438	43	362	89	290	74	810	310	247	573	151	98	230	106	195	351	402	299	149	491	30					
9	Число недействительных избирательных бюллетеней	26	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	1	1	0	0	0	0	1	0	0	4	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	22180	2363	2050	2604	360	341	191	116	456	254	200	285	602	259	65	735	166	256	258	361	420	157	594	309	105	370	510	224	165	118	172	573	226	132	131	479	43	402	100	302	74	852	330	254	573	151	98	238	106	209	372	417	310	149	545	48					
