Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Северская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК  4101	УИК  4102	УИК  4103	УИК  4104	УИК  4105	УИК  4106	УИК  4107	УИК  4108	УИК  4109	УИК  4110	УИК  4111	УИК  4112	УИК  4113	УИК  4114	УИК  4115	УИК  4116	УИК  4117	УИК  4118	УИК  4119	УИК  4120	УИК  4121	УИК  4122	УИК  4123	УИК  4124	УИК  4125	УИК  4126	УИК  4127	УИК  4128	УИК  4129	УИК  4130	УИК  4131	УИК  4132	УИК  4133	УИК  4134	УИК  4135	УИК  4136	УИК  4137	УИК  4138	УИК  4139	УИК  4140	УИК  4141	УИК  4142	УИК  4143	УИК  4144	УИК  4145	УИК  4146	УИК  4147	УИК  4148	УИК  4149	УИК  4150	УИК  4151	УИК  4152	УИК  4153	УИК  4154	УИК  4155	УИК  4156					
1	"Число избирателей, внесенных в списки"	84521	1327	2214	1567	1805	2122	1993	457	2103	1953	2554	398	990	679	2652	2634	1518	1862	2564	2313	458	1603	2300	1429	1889	642	558	558	180	280	1281	264	2219	1630	167	2575	1927	1908	1942	2776	2417	2246	2642	209	2510	2176	613	135	1191	1743	1858	1934	570	1676	1785	271	254					
2	"Число бюллетеней, полученных участковыми комиссиями"	84628	1220	2220	1580	1790	2200	2050	500	2100	2050	2550	410	980	670	2700	2600	1520	1930	2520	2280	450	1620	2300	1430	1890	620	540	550	173	280	1300	260	2210	1540	180	2540	1910	1930	1930	2810	2420	2240	2640	200	2520	2140	600	135	1150	1800	1900	1900	600	1700	1800	280	270					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37915	663	885	668	705	1153	898	222	807	817	1309	241	515	390	1043	1013	702	830	966	886	184	708	920	562	826	259	233	241	101	150	665	148	927	697	108	1261	754	785	935	1243	1197	980	1121	74	1348	1022	327	76	411	844	932	888	188	892	879	166	150					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2971	40	24	40	63	18	20	20	83	81	82	17	30	40	131	35	43	63	44	53	38	32	44	172	60	8	19	27	20	22	85	29	75	40	0	52	106	80	82	45	19	90	107	47	202	67	41	15	127	40	49	32	28	67	27	23	27					
6	Число погашенных бюллетеней	43742	517	1311	872	1022	1029	1132	258	1210	1152	1159	152	435	240	1526	1552	775	1037	1510	1341	228	880	1336	696	1004	353	288	282	52	108	550	83	1208	803	72	1227	1050	1065	913	1522	1204	1170	1412	79	970	1051	232	44	612	916	919	980	384	741	894	91	93					
7	Число бюллетеней в переносных ящиках для голосования	2970	40	24	40	63	18	20	20	83	81	82	17	30	40	131	35	42	63	44	53	38	32	44	172	60	8	19	27	20	22	85	29	75	40	0	52	106	80	82	45	19	90	107	47	202	67	41	15	127	40	49	32	28	67	27	23	27					
8	Число бюллетеней в стационарных ящиках для голосования	37856	661	884	668	704	1152	898	222	806	817	1305	241	515	390	1032	1031	702	830	966	886	184	708	920	560	826	259	233	241	101	150	665	148	920	697	108	1261	754	785	935	1198	1188	980	1129	74	1348	1022	327	76	411	843	932	888	188	892	879	166	150					
9	Число недействительных бюллетеней	670	8	18	18	14	17	16	7	7	7	22	4	15	10	9	20	24	21	25	9	2	9	22	22	20	7	7	3	2	3	19	1	25	14	2	19	7	8	13	21	7	13	13	1	26	20	1	1	3	13	15	17	3	24	6	5	5					
10	Число действительных бюллетеней	40156	693	890	690	753	1153	902	235	882	891	1365	254	530	420	1154	1046	720	872	985	930	220	731	942	710	866	260	245	265	119	169	731	176	970	723	106	1294	853	857	1004	1222	1200	1057	1223	120	1524	1069	367	90	535	870	966	903	213	935	900	184	172					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	697	10	22	15	15	20	10	5	20	20	25	5	10	5	30	20	10	15	20	20	5	10	10	10	15	5	5	5	5	5	10	5	10	15	5	30	15	15	15	20	20	20	20	5	20	20	5	5	5	10	10	10	5	10	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	174	2	11	3	2	3	4	1	3	9	5	1	3	1	2	6	2	1	2	3	2	2	2	1	8	4	0	2	2	1	10	0	2	1	1	5	3	6	4	4	5	5	7	1	7	3	1	0	0	6	4	3	0	2	3	2	1					
