Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Малосердобинская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740					
1	"Число избирателей, внесенных в список избирателей"	8424	612	559	742	706	761	594	438	419	63	311	393	415	645	84	263	53	239	362	93	270	67	335					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8634	626	571	769	723	758	608	449	430	64	319	406	415	668	89	297	55	245	369	95	272	69	337					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4910	253	248	354	378	350	315	234	235	46	183	224	250	446	64	217	53	239	253	69	179	66	254					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	704	86	55	102	63	73	43	29	51	6	32	47	17	27	13	4	0	0	14	5	16	0	21					
6	Число погашенных избирательных бюллетеней	3020	287	268	313	282	335	250	186	144	12	104	135	148	195	12	76	2	6	102	21	77	3	62					
7	Число избирательных бюллетеней в переносных ящиках для голосования	704	86	55	102	63	73	43	29	51	6	32	47	17	27	13	4	0	0	14	5	16	0	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4910	253	248	354	378	350	315	234	235	46	183	224	250	446	64	217	53	239	253	69	179	66	254					
9	Число недействительных избирательных бюллетеней	101	4	8	3	5	4	3	3	9	0	0	4	2	17	0	18	0	8	1	0	6	2	4					
10	Число действительных избирательных бюллетеней	5513	335	295	453	436	419	355	260	277	52	215	267	265	456	77	203	53	231	266	74	189	64	271					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	119	8	5	20	7	7	15	5	5	2	4	5	5	6	2	3	2	3	4	2	3	2	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	71	7	5	19	6	3	5	2	1	0	4	3	2	4	2	2	0	2	1	0	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	23	2	0	0	2	2	4	0	1	1	0	2	2	2	1	0	0	1	2	0	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	48	1	0	1	1	4	10	3	4	2	0	2	3	2	0	1	2	1	3	2	2	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
