Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    Каширская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765					
1	"Число избирателей, внесенных в список избирателей"	59940	2489	1390	1687	868	2723	975	2103	1391	1570	1744	539	2632	1050	2145	1222	1100	2655	1845	1605	1613	1629	2428	2486	782	2240	639	940	1203	1136	1932	865	1148	457	1333	388	583	857	1010	402	1293	868	325	350	1300					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45750	1900	1000	1200	600	2100	700	1600	1000	1200	1300	400	2000	800	1600	900	800	2000	1400	1200	1200	1200	1800	1800	600	1700	500	700	900	800	1500	700	900	400	1100	300	500	700	800	300	1000	700	300	350	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23906	1015	457	540	238	811	337	879	571	590	683	142	882	341	896	529	518	1132	857	737	658	729	926	809	199	810	260	295	641	610	677	278	496	237	611	167	188	346	320	127	585	427	133	350	872					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1388	24	44	56	14	86	22	44	14	25	21	27	22	19	24	14	23	48	25	27	73	24	27	42	14	21	23	70	52	26	24	14	57	7	17	23	38	40	64	45	35	35	35	0	3					
6	Число погашенных избирательных бюллетеней	20455	861	499	604	348	1203	341	677	415	585	596	231	1096	440	680	357	259	820	518	436	469	447	847	949	387	869	217	335	207	164	799	407	347	156	472	110	274	314	416	128	380	238	132	0	425					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1388	24	44	56	14	86	22	44	14	25	21	27	22	19	24	14	23	48	25	27	73	24	27	42	14	21	23	70	52	26	24	14	57	7	17	23	38	40	64	45	35	35	35	0	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23906	1015	457	540	238	811	337	879	571	590	683	142	882	341	896	529	518	1132	857	737	658	729	926	809	199	810	260	295	641	610	677	278	496	237	611	167	188	346	320	127	585	427	133	350	872					
9	Число недействительных избирательных бюллетеней	802	22	20	10	11	27	12	29	13	26	15	9	29	11	27	22	8	37	15	14	13	42	36	42	6	30	40	5	26	35	26	11	23	5	18	2	5	15	11	0	13	8	7	10	16					
10	Число действительных избирательных бюллетеней	24492	1017	481	586	241	870	347	894	572	589	689	160	875	349	893	521	533	1143	867	750	718	711	917	809	207	801	243	360	667	601	675	281	530	239	610	188	221	371	373	172	607	454	161	340	859					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1247	63	29	45	15	55	20	30	30	31	30	15	30	20	35	20	20	42	30	30	30	25	40	30	20	35	20	20	25	26	51	20	30	20	35	20	20	20	20	20	30	30	20	0	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1065	63	29	45	8	50	17	30	20	31	24	4	23	12	35	18	16	41	30	23	24	19	40	19	15	31	13	13	21	26	51	20	30	10	34	20	10	18	17	5	20	30	10	0	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	773	23	47	41	25	21	11	10	13	8	4	31	14	3	14	5	4	6	16	6	3	13	14	21	10	17	15	12	23	17	8	13	13	18	16	21	5	13	10	5	9	7	7	165	16					
14	Число погашенных неиспользованных открепительных удостоверений	182	0	0	0	7	5	3	0	10	0	6	11	7	8	0	2	4	1	0	7	6	6	0	11	5	4	7	7	4	0	0	0	0	10	1	0	10	2	3	15	10	0	10	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	2	3	0	0	0	2	1	0	0	3	2	6	1	5	1	1	4	1	0	1	1	0	3	1	0	0	1	2	1	4	0	0	0	3	0	0	0	0	2	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
