Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Каширская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740					
1	"Число избирателей, внесенных в списки избирателей"	60764	2435	1362	1431	894	2501	1017	2111	1378	1563	1710	525	2665	1113	1913	1248	1396	2663	1865	1631	1667	1685	2484	2399	772	2196	779	779	1151	1554	1713	1022	431	423	1988	1097	713	894	961	321	1332	865	294	378	1445					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	52250	2200	1200	1200	800	2200	900	1900	1200	1400	1500	400	2300	900	1700	1100	1200	2400	1600	1400	1500	1500	2200	2000	600	1900	700	600	1000	1000	1500	900	350	350	1300	900	600	800	800	300	1200	800	250	400	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27606	1212	560	611	302	967	383	1064	660	690	762	154	1045	524	884	617	724	1344	988	882	831	822	1060	959	269	927	311	254	563	626	727	425	200	213	863	509	250	323	372	113	595	612	136	378	895					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1863	51	37	19	15	104	25	38	20	25	12	33	23	17	47	25	24	31	21	25	62	39	61	107	56	42	61	60	54	49	51	87	51	12	50	70	32	63	65	56	66	26	50	0	1					
6	Число погашенных избирательных бюллетеней	22781	937	603	570	483	1129	492	798	520	685	726	213	1232	359	769	458	452	1025	591	493	607	639	1079	934	275	931	328	286	383	325	722	388	99	125	387	321	318	414	363	131	539	162	64	22	404					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1863	51	37	19	15	104	25	38	20	25	12	33	23	17	47	25	24	31	21	25	62	39	61	107	56	42	61	60	54	49	51	87	51	12	50	70	32	63	65	56	66	26	50	0	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27606	1212	560	611	302	967	383	1064	660	690	762	154	1045	524	884	617	724	1344	988	882	831	822	1060	959	269	927	311	254	563	626	727	425	200	213	863	509	250	323	372	113	595	612	136	378	895					
9	Число недействительных избирательных бюллетеней	379	14	7	7	3	10	3	14	12	8	9	2	13	5	11	6	11	21	12	9	10	14	13	17	3	13	3	2	16	11	12	4	3	0	5	7	0	7	7	0	5	4	1	34	11					
10	Число действительных избирательных бюллетеней	29090	1249	590	623	314	1061	405	1088	668	707	765	185	1055	536	920	636	737	1354	997	898	883	847	1108	1049	322	956	369	312	601	664	766	508	248	225	908	572	282	379	430	169	656	634	185	344	885					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1536	59	30	30	20	70	30	30	40	30	50	20	25	30	30	30	30	50	50	40	40	40	50	50	20	50	30	30	30	30	40	30	20	20	75	35	20	20	25	20	57	30	20	0	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1234	59	22	21	17	70	21	30	19	30	38	8	25	16	29	23	18	44	32	28	25	34	35	43	16	45	13	12	26	30	38	22	8	4	68	35	9	17	25	12	57	30	20	0	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	641	25	13	14	4	25	10	13	7	4	3	31	25	45	20	2	1	10	6	9	11	12	11	15	9	15	3	8	6	22	6	2	10	7	11	0	3	9	3	0	3	7	3	186	12					
14	Число погашенных неиспользованных открепительных удостоверений	302	0	8	9	3	0	9	0	21	0	12	12	0	14	1	7	12	6	18	12	15	6	15	7	4	5	17	18	4	0	2	8	12	16	7	0	11	3	0	8	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	2	2	3	1	0	3	2	0	0	1	0	1	0	1	2	0	4	1	1	1	1	0	1	2	2	1	0	1	1	10	1	0	0	22	1	2	0	0	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	951	46	16	11	16	39	9	28	11	19	14	2	32	26	27	21	17	41	23	37	26	23	49	24	11	17	6	8	20	27	27	17	11	7	40	24	22	31	17	5	43	34	3	5	19					
		3.23%	3.64%	2.68%	1.75%	5.05%	3.64%	2.21%	2.54%	1.62%	2.66%	1.81%	1.07%	2.99%	4.81%	2.90%	3.27%	2.27%	2.98%	2.28%	4.08%	2.91%	2.67%	4.37%	2.25%	3.38%	1.75%	1.61%	2.55%	3.24%	4.00%	3.47%	3.32%	4.38%	3.11%	4.38%	4.15%	7.80%	8.03%	3.89%	2.96%	6.51%	5.33%	1.61%	1.32%	2.12%					
19	2.Всероссийская политическая партия «Гражданская Сила»	327	9	6	9	9	22	2	6	13	12	17	3	18	2	6	6	10	16	11	11	23	12	10	10	1	11	3	5	6	5	5	3	6	1	3	3	1	2	6	1	4	3	0	0	15					
		1.11%	0.71%	1.01%	1.43%	2.84%	2.05%	0.49%	0.54%	1.91%	1.68%	2.20%	1.60%	1.69%	0.37%	0.64%	0.93%	1.34%	1.16%	1.09%	1.21%	2.58%	1.39%	0.89%	0.94%	0.31%	1.14%	0.81%	1.59%	0.97%	0.74%	0.64%	0.59%	2.39%	0.44%	0.33%	0.52%	0.35%	0.52%	1.37%	0.59%	0.61%	0.47%	0.00%	0.00%	1.67%					
20	3.Политическая партия «Демократическая партия России»	48	5	3	2	0	1	1	1	0	0	1	0	2	0	1	2	1	2	0	3	2	1	0	1	2	1	0	0	0	2	0	1	1	1	1	3	0	1	1	0	1	0	2	1	1					
		0.16%	0.40%	0.50%	0.32%	0.00%	0.09%	0.25%	0.09%	0.00%	0.00%	0.13%	0.00%	0.19%	0.00%	0.11%	0.31%	0.13%	0.15%	0.00%	0.33%	0.22%	0.12%	0.00%	0.09%	0.62%	0.10%	0.00%	0.00%	0.00%	0.30%	0.00%	0.20%	0.40%	0.44%	0.11%	0.52%	0.00%	0.26%	0.23%	0.00%	0.15%	0.00%	1.08%	0.26%	0.11%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4120	203	86	87	58	177	61	154	105	107	137	19	129	52	125	78	95	220	127	109	145	136	185	158	62	129	77	48	80	83	83	55	53	71	124	80	63	57	56	11	80	77	23	2	53					
		13.98%	16.07%	14.41%	13.81%	18.30%	16.53%	14.95%	13.97%	15.44%	14.97%	17.70%	10.16%	12.08%	9.61%	13.43%	12.15%	12.70%	16.00%	12.59%	12.02%	16.24%	15.80%	16.50%	14.82%	19.08%	13.31%	20.70%	15.29%	12.97%	12.30%	10.67%	10.74%	21.12%	31.56%	13.58%	13.82%	22.34%	14.77%	12.81%	6.51%	12.10%	12.07%	12.37%	0.53%	5.92%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	309	7	9	8	14	8	5	4	9	12	11	1	9	5	4	9	4	14	11	7	2	4	10	7	3	15	3	0	19	4	6	28	1	2	17	6	1	1	0	2	17	1	5	1	3					
		1.05%	0.55%	1.51%	1.27%	4.42%	0.75%	1.23%	0.36%	1.32%	1.68%	1.42%	0.53%	0.84%	0.92%	0.43%	1.40%	0.53%	1.02%	1.09%	0.77%	0.22%	0.46%	0.89%	0.66%	0.92%	1.55%	0.81%	0.00%	3.08%	0.59%	0.77%	5.47%	0.40%	0.89%	1.86%	1.04%	0.35%	0.26%	0.00%	1.18%	2.57%	0.16%	2.69%	0.26%	0.33%					
23	6.Политическая партия «Партия социальной справедливости»	52	2	1	1	0	3	0	3	1	2	0	1	0	0	3	5	2	1	1	1	2	1	4	3	0	1	0	0	0	2	0	1	1	1	0	1	0	1	5	0	1	0	0	0	1					
		0.18%	0.16%	0.17%	0.16%	0.00%	0.28%	0.00%	0.27%	0.15%	0.28%	0.00%	0.53%	0.00%	0.00%	0.32%	0.78%	0.27%	0.07%	0.10%	0.11%	0.22%	0.12%	0.36%	0.28%	0.00%	0.10%	0.00%	0.00%	0.00%	0.30%	0.00%	0.20%	0.40%	0.44%	0.00%	0.17%	0.00%	0.26%	1.14%	0.00%	0.15%	0.00%	0.00%	0.00%	0.11%					
24	7.Политическая партия «Либерально-демократическая партия России»	2541	138	44	57	23	99	34	84	62	56	62	17	97	54	84	61	76	116	72	68	51	61	87	77	27	82	39	24	65	31	38	41	18	20	57	57	23	34	35	20	114	41	26	73	96					
		8.62%	10.93%	7.37%	9.05%	7.26%	9.24%	8.33%	7.62%	9.12%	7.83%	8.01%	9.09%	9.08%	9.98%	9.02%	9.50%	10.16%	8.44%	7.14%	7.50%	5.71%	7.08%	7.76%	7.22%	8.31%	8.46%	10.48%	7.64%	10.53%	4.59%	4.88%	8.01%	7.17%	8.89%	6.24%	9.84%	8.16%	8.81%	8.01%	11.83%	17.25%	6.43%	13.98%	19.31%	10.71%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2702	116	49	51	21	94	52	135	74	101	72	16	112	48	85	61	94	136	124	109	113	99	125	108	28	112	20	19	54	41	56	30	13	14	49	32	11	28	28	10	50	37	13	5	57					
		9.17%	9.18%	8.21%	8.10%	6.62%	8.78%	12.75%	12.25%	10.88%	14.13%	9.30%	8.56%	10.49%	8.87%	9.13%	9.50%	12.57%	9.89%	12.29%	12.02%	12.65%	11.50%	11.15%	10.13%	8.62%	11.56%	5.38%	6.05%	8.75%	6.07%	7.20%	5.86%	5.18%	6.22%	5.37%	5.53%	3.90%	7.25%	6.41%	5.92%	7.56%	5.80%	6.99%	1.32%	6.36%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	281	2	13	9	4	14	3	10	8	6	10	0	19	9	4	6	6	16	9	12	8	13	9	13	3	13	1	5	3	6	3	4	1	4	6	5	3	4	2	1	3	1	1	0	9					
		0.95%	0.16%	2.18%	1.43%	1.26%	1.31%	0.74%	0.91%	1.18%	0.84%	1.29%	0.00%	1.78%	1.66%	0.43%	0.93%	0.80%	1.16%	0.89%	1.32%	0.90%	1.51%	0.80%	1.22%	0.92%	1.34%	0.27%	1.59%	0.49%	0.89%	0.39%	0.78%	0.40%	1.78%	0.66%	0.86%	1.06%	1.04%	0.46%	0.59%	0.45%	0.16%	0.54%	0.00%	1.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	17405	702	352	380	165	585	232	644	370	387	432	125	624	334	562	379	424	772	598	537	501	480	615	634	182	562	216	199	347	455	545	325	142	103	606	359	154	219	275	119	337	437	111	253	625					
		59.06%	55.58%	58.96%	60.32%	52.05%	54.62%	56.86%	58.44%	54.41%	54.13%	55.81%	66.84%	58.43%	61.74%	60.37%	59.03%	56.68%	56.15%	59.27%	59.21%	56.10%	55.75%	54.86%	59.47%	56.00%	57.99%	58.06%	63.38%	56.24%	67.41%	70.05%	63.48%	56.57%	45.78%	66.37%	62.00%	54.61%	56.74%	62.93%	70.41%	50.98%	68.50%	59.68%	66.93%	69.75%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	354	19	11	8	4	19	6	19	15	5	9	1	13	6	19	8	8	20	21	4	10	17	14	14	3	13	4	4	7	8	3	3	1	1	5	2	4	1	5	0	6	3	1	4	6					
		1.20%	1.50%	1.84%	1.27%	1.26%	1.77%	1.47%	1.72%	2.21%	0.70%	1.16%	0.53%	1.22%	1.11%	2.04%	1.25%	1.07%	1.45%	2.08%	0.44%	1.12%	1.97%	1.25%	1.31%	0.92%	1.34%	1.08%	1.27%	1.13%	1.19%	0.39%	0.59%	0.40%	0.44%	0.55%	0.35%	1.42%	0.26%	1.14%	0.00%	0.91%	0.47%	0.54%	1.06%	0.67%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
