Выборы Президента Российской Федерации																																																																						
																																																																						
"Наименование Избирательной комиссии:    Нижний Новгород, Ленинская"																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548					
1	"Число избирателей, внесенных в список"	128040	1770	2186	2696	839	2670	1386	2439	2508	2401	2347	2296	1890	2287	2237	2431	2477	2255	2751	1584	1100	1954	2684	2318	1824	1824	1569	1454	1713	2259	2401	1408	1670	1195	1854	1723	1714	1802	2232	2821	1793	2507	2638	2449	2001	1774	1485	1550	1781	2173	1846	2395	2026	2360	1988	2374	1790	1812	2221	2770	2414	1196	1632	2096					
2	Число полученных избирательных бюллетеней	124600	1700	2100	2600	800	2700	1300	2400	2400	2400	2300	2300	1800	2200	2200	2400	2400	2200	2700	1500	1050	1900	2600	2300	1800	1800	1500	1400	1600	2200	2300	1300	1600	1150	1800	1700	1600	1800	2200	2800	1700	2500	2600	2400	2000	1700	1400	1500	1900	2100	1800	2400	2000	2300	1900	2300	1700	1800	2200	2700	2400	1100	1500	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	59971	838	1151	1182	358	1069	657	1200	1208	1164	1181	1190	883	1017	1055	1207	1139	1043	1394	598	446	804	1203	1137	856	724	858	658	821	1207	1134	613	824	500	745	833	569	866	931	1325	739	928	1296	1326	986	795	816	653	923	1080	857	1202	1040	1191	1007	1204	878	919	1042	1245	1210	513	615	918					
5	"Число избирательных бюллетеней, выданных вне помещения"	2918	46	26	37	11	41	41	46	59	48	25	56	35	50	52	46	95	36	35	31	27	36	37	56	42	24	18	29	52	42	67	228	38	29	48	50	33	29	20	34	53	35	19	23	25	45	22	17	22	48	117	43	39	32	30	27	29	6	52	27	28	19	159	246					
6	Число погашенных избирательных бюллетеней	61711	816	923	1381	431	1590	602	1154	1133	1188	1094	1054	882	1133	1093	1147	1166	1121	1271	871	577	1060	1360	1107	902	1052	624	713	727	951	1099	459	738	621	1007	817	998	905	1249	1441	908	1537	1285	1051	989	860	562	830	955	972	826	1155	921	1077	863	1069	793	875	1106	1428	1162	568	726	736					
7	Число избирательных бюллетеней в переносных ящиках	2918	46	26	37	11	41	41	46	59	48	25	56	35	50	52	46	95	36	35	31	27	36	37	56	42	24	18	29	52	42	67	228	38	29	48	50	33	29	20	34	53	35	19	23	25	45	22	17	22	48	117	43	39	32	30	27	29	6	52	27	28	19	159	246					
8	Число бюллетеней в стационарных ящиках для голосования	59923	837	1151	1182	358	1068	657	1200	1208	1164	1181	1187	883	1014	1046	1207	1139	1043	1393	595	446	804	1202	1137	856	724	858	658	820	1207	1133	613	824	500	745	833	569	866	931	1325	739	928	1295	1321	986	795	816	653	923	1080	854	1200	1038	1191	1005	1201	877	917	1042	1245	1210	513	614	916					
9	Число недействительных избирательных бюллетеней	328	6	7	9	5	10	10	9	0	17	0	6	7	7	3	7	3	10	6	2	4	6	7	9	3	4	7	3	3	2	5	10	3	4	4	5	0	3	3	4	1	7	10	8	3	4	2	3	2	8	4	5	1	7	5	8	5	3	2	7	3	1	7	9					
10	Число действительных избирательных бюллетеней	62513	877	1170	1210	364	1099	688	1237	1267	1195	1206	1237	911	1057	1095	1246	1231	1069	1422	624	469	834	1232	1184	895	744	869	684	869	1247	1195	831	859	525	789	878	602	892	948	1355	791	956	1304	1336	1008	836	836	667	943	1120	967	1238	1076	1216	1030	1220	901	920	1092	1265	1235	531	766	1153					
11	Число полученных открепительных  удостоверений	983	20	10	13	10	30	10	10	20	20	20	20	10	20	20	10	20	10	15	10	10	15	20	10	10	10	20	10	10	20	10	10	10	10	20	10	10	20	20	20	10	20	20	10	20	20	10	10	30	10	20	20	20	20	10	20	20	20	15	15	20	10	20	20					
12	Число выданных открепительных удостоверений	615	12	8	10	0	17	3	10	15	16	11	9	5	11	12	7	14	7	13	3	0	7	10	7	7	2	9	4	6	15	6	4	9	3	11	10	2	11	15	17	10	10	13	8	15	16	8	3	9	8	15	15	14	10	9	11	14	15	15	10	20	4	14	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	587	4	8	11	4	12	12	7	13	2	12	7	5	12	9	8	11	7	9	4	7	11	3	16	2	7	6	4	9	22	6	13	14	6	9	11	13	6	9	13	7	2	13	9	19	6	4	1	17	17	26	12	8	6	19	6	6	10	11	6	10	9	9	10					
