Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Верхнеуральская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543					
1	"Число избирателей, внесенных в списки избирателей"	29137	1450	1632	1207	1595	1576	2341	2169	1915	335	69	106	1180	523	349	234	175	631	153	560	268	1049	257	81	188	209	1275	169	227	111	139	106	263	484	113	175	1194	182	190	740	152	125	105	203	119	432	127	61	974	152	304	150	216	251	146					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28820	1400	1500	1100	1500	1500	2100	2000	1700	370	70	110	1100	360	380	260	170	700	170	580	300	1100	310	90	210	210	1300	210	270	130	140	130	290	510	160	210	1200	190	200	840	180	150	130	250	130	440	130	80	940	170	320	160	290	240	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18983	837	853	621	922	814	1652	1575	1348	251	63	104	605	341	229	158	141	391	90	305	167	564	200	81	154	189	852	161	185	99	124	106	233	313	110	167	705	123	117	531	108	91	92	152	88	297	99	60	614	117	217	100	199	178	90					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1438	39	87	46	34	252	48	13	63	0	0	0	114	4	22	10	6	61	14	88	23	87	6	0	0	1	43	0	17	6	7	0	8	42	0	0	62	10	25	30	15	23	0	15	5	25	0	0	33	7	10	4	17	5	11					
6	Число погашенных избирательных бюллетеней	8399	524	560	433	544	434	400	412	289	119	7	6	381	15	129	92	23	248	66	187	110	449	104	9	56	20	405	49	68	25	9	24	49	155	50	43	433	57	58	279	57	36	38	83	37	118	31	20	293	46	93	56	74	57	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1438	39	87	46	34	252	48	13	63	0	0	0	114	4	22	10	6	61	14	88	23	87	6	0	0	1	43	0	17	6	7	0	8	42	0	0	62	10	25	30	15	23	0	15	5	25	0	0	33	7	10	4	17	5	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18982	836	853	621	922	814	1652	1575	1348	251	63	104	605	341	229	158	141	391	90	305	167	564	200	81	154	189	852	161	185	99	124	106	233	313	110	167	705	123	117	531	108	91	92	152	88	297	99	60	614	117	217	100	199	178	90					
9	Число недействительных избирательных бюллетеней	246	10	4	10	11	14	25	21	20	0	0	0	17	8	4	1	0	0	1	1	3	3	0	1	4	3	11	2	4	2	1	4	4	4	2	0	10	3	0	9	1	1	0	2	1	4	0	2	7	0	5	0	1	4	1					
10	Число действительных избирательных бюллетеней	20174	865	936	657	945	1052	1675	1567	1391	251	63	104	702	337	247	167	147	452	103	392	187	648	206	80	150	187	884	159	198	103	130	102	237	351	108	167	757	130	142	552	122	113	92	165	92	318	99	58	640	124	222	104	215	179	100					
