Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Верхнеуральская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543					
1	"Число избирателей, внесенных в список избирателей"	29503	1482	1618	1206	1659	1554	2221	2014	1957	355	71	102	1186	379	368	230	165	697	130	624	257	1111	270	92	206	221	1237	195	230	123	135	117	281	481	139	200	1236	177	206	808	154	115	114	233	100	473	114	64	1016	158	309	156	317	263	177					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29440	1500	1600	1200	1700	1500	2000	1900	1900	380	80	110	1000	320	380	270	170	750	160	640	290	1000	310	100	210	230	1400	200	250	130	140	120	290	500	150	210	1200	190	210	850	170	130	110	250	120	490	120	80	1000	160	350	160	330	260	170					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17073	746	711	570	831	729	1457	1342	1197	221	50	65	643	270	191	146	123	372	98	260	132	596	227	61	128	203	748	135	169	109	103	116	212	289	111	172	551	98	109	543	118	83	76	135	86	268	87	60	545	104	199	88	158	148	84					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1407	44	40	32	22	258	53	27	99	14	12	11	33	6	22	13	4	93	7	72	21	43	13	4	9	3	52	6	10	0	4	0	0	42	0	0	50	17	27	39	20	17	25	12	8	14	0	0	40	4	13	6	33	1	12					
6	Число погашенных избирательных бюллетеней	10960	710	849	598	847	513	490	531	604	145	18	34	324	44	167	111	43	285	55	308	137	361	70	35	73	24	600	59	71	21	33	4	78	169	39	38	599	75	74	268	32	30	9	103	26	208	33	20	415	52	138	66	139	111	74					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1407	44	40	32	22	258	53	27	99	14	12	11	33	6	22	13	4	93	7	72	21	43	13	4	9	3	52	6	10	0	4	0	0	42	0	0	50	17	27	39	20	17	25	12	8	14	0	0	40	4	13	6	33	1	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17072	745	711	570	831	729	1457	1342	1197	221	50	65	643	270	191	146	123	372	98	260	132	596	227	61	128	203	748	135	169	109	103	116	212	289	111	172	551	98	109	543	118	83	76	135	86	268	87	60	545	104	199	88	158	148	84					
9	Число недействительных избирательных бюллетеней	302	17	7	8	11	6	39	24	33	1	0	0	16	6	2	2	2	5	2	5	2	17	2	0	1	2	12	1	3	0	3	0	3	6	2	0	11	2	1	11	0	0	3	4	1	3	1	2	7	2	3	0	3	7	1					
10	Число действительных избирательных бюллетеней	18177	772	744	594	842	981	1471	1345	1263	234	62	76	660	270	211	157	125	460	103	327	151	622	238	65	136	204	788	140	176	109	104	116	209	325	109	172	590	113	135	571	138	100	98	143	93	279	86	58	578	106	209	94	188	142	95					
