Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
"Наименование Избирательной комиссии:    Набережные Челны, Автозаводская"																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203					
1	"Число избирателей, внесенных в списки избирателей"	130145	2224	2865	2922	2052	2014	2912	2920	2865	2890	2573	2515	2593	2498	2642	2946	2749	2639	2563	2658	2364	2304	2386	3006	2694	2920	2939	2323	2087	2623	935	2235	2172	1115	2890	2563	2622	1981	2395	2944	1775	1696	2857	1685	1628	2249	2200	2802	2405	2433	2368	2436	3212	2861					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	115000	2000	2500	2500	1700	1700	2600	2550	2500	2500	2300	2250	2250	2250	2250	2600	2400	2200	2500	2400	2000	2000	2100	2650	2500	2500	2500	2000	2500	2500	900	2000	1700	1000	2500	2300	2300	1700	2000	2600	1600	1500	2500	1500	1400	2000	2000	2500	2200	2200	2100	2100	2700	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	93856	1607	1998	2037	1466	1419	2029	1999	2009	2025	1769	1655	1806	1811	1883	2033	1812	1927	2065	1987	1766	1697	1838	2185	2139	2203	2090	1639	2060	2050	774	1662	1667	792	1918	1973	1853	1432	1673	2065	1345	1314	1988	1160	1122	1573	1526	1957	1703	1765	1704	1707	2148	2031					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1360	37	17	20	20	18	32	30	40	32	15	27	30	36	40	29	41	42	23	15	16	8	14	12	22	23	20	31	27	37	1	28	15	16	48	23	87	29	37	18	27	15	33	13	17	11	14	47	16	29	23	17	19	23					
6	Число погашенных избирательных бюллетеней	19784	356	485	443	214	263	539	521	451	443	516	568	414	403	327	538	547	231	412	398	218	295	248	453	339	274	390	330	413	413	125	310	18	192	534	304	360	239	290	517	228	171	479	327	261	416	460	496	481	406	373	376	533	446					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1360	37	17	20	20	18	32	30	40	32	15	27	30	36	40	29	41	42	23	15	16	8	14	12	22	23	20	31	27	37	1	28	15	16	48	23	87	29	37	18	27	15	33	13	17	11	14	47	16	29	23	17	19	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	93840	1607	1998	2037	1466	1419	2029	1999	2009	2025	1769	1655	1806	1811	1883	2033	1807	1927	2065	1987	1766	1697	1838	2185	2139	2203	2088	1634	2060	2050	774	1662	1667	792	1918	1973	1853	1432	1673	2065	1345	1313	1988	1160	1122	1573	1526	1957	1700	1765	1704	1707	2148	2031					
9	Число недействительных избирательных бюллетеней	802	18	27	21	12	20	0	16	6	28	3	18	11	12	12	20	4	23	6	0	30	17	10	29	32	32	23	15	0	0	10	30	16	8	12	23	3	0	20	31	18	9	11	16	7	14	23	20	22	11	21	19	6	7					
10	Число действительных избирательных бюллетеней	94398	1626	1988	2036	1474	1417	2061	2013	2043	2029	1781	1664	1825	1835	1911	2042	1844	1946	2082	2002	1752	1688	1842	2168	2129	2194	2085	1650	2087	2087	765	1660	1666	800	1954	1973	1937	1461	1690	2052	1354	1319	2010	1157	1132	1570	1517	1984	1694	1783	1706	1705	2161	2047					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1407	25	30	30	18	18	30	30	30	30	25	25	25	28	25	30	28	25	28	25	25	22	23	31	40	47	29	20	30	30	30	20	30	10	40	27	28	20	28	32	15	17	30	16	17	21	33	30	25	26	25	25	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1028	18	15	29	15	12	30	30	18	13	18	20	25	13	19	10	16	19	24	18	18	14	16	15	33	37	26	7	30	30	21	8	22	9	27	23	16	17	23	20	14	16	18	14	9	13	23	25	25	22	15	8	26	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	364	0	4	10	6	9	11	12	17	9	4	5	14	8	6	8	5	11	9	5	3	3	3	5	8	10	9	14	2	4	1	8	5	5	8	3	12	4	12	8	6	5	5	3	2	3	5	8	7	13	5	6	12	4					
14	Число погашенных неиспользованных открепительных удостоверений	379	7	15	1	3	6	0	0	12	17	7	5	0	15	6	20	12	6	4	7	7	8	7	16	7	10	3	13	0	0	9	12	8	1	13	4	12	3	5	12	1	1	12	2	8	8	10	5	0	4	10	17	4	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	0	1	1	0	0	2	1	3	0	0	2	0	2	2	4	0	0	0	0	1	1	1	0	2	1	1	2	2	1	0	0	0	0	4	0	1	3	1	0	1	0	3	0	0	2	0	0	0	0	1	2	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	1.Политическая партия «Аграрная партия России»	1302	33	22	29	38	28	35	36	44	4	30	31	8	20	29	33	19	16	13	43	26	31	28	36	41	13	35	9	12	37	8	40	23	11	11	46	32	5	24	61	10	20	7	17	13	11	18	25	32	24	20	15	29	21					
		1.37%	2.01%	1.09%	1.41%	2.56%	1.95%	1.70%	1.77%	2.15%	0.19%	1.68%	1.84%	0.44%	1.08%	1.51%	1.60%	1.03%	0.81%	0.62%	2.15%	1.46%	1.82%	1.51%	1.64%	1.90%	0.58%	1.66%	0.54%	0.57%	1.77%	1.03%	2.37%	1.37%	1.36%	0.56%	2.30%	1.65%	0.34%	1.40%	2.93%	0.73%	1.51%	0.35%	1.45%	1.14%	0.69%	1.17%	1.25%	1.86%	1.34%	1.16%	0.87%	1.34%	1.02%					
19	2.Всероссийская политическая партия «Гражданская Сила»	732	17	20	12	20	25	24	12	15	11	18	12	10	17	14	19	11	8	12	14	15	14	23	27	12	9	23	11	20	11	6	20	14	6	12	21	10	8	12	17	10	16	6	5	9	5	5	10	9	11	11	17	24	12					
		0.77%	1.03%	0.99%	0.58%	1.35%	1.74%	1.16%	0.59%	0.73%	0.53%	1.01%	0.71%	0.54%	0.92%	0.73%	0.92%	0.60%	0.41%	0.57%	0.70%	0.84%	0.82%	1.24%	1.23%	0.56%	0.40%	1.09%	0.66%	0.96%	0.53%	0.77%	1.18%	0.83%	0.74%	0.61%	1.05%	0.52%	0.55%	0.70%	0.82%	0.73%	1.20%	0.30%	0.43%	0.79%	0.32%	0.32%	0.50%	0.52%	0.61%	0.64%	0.99%	1.11%	0.58%					
20	3.Политическая партия «Демократическая партия России»	155	6	3	1	3	3	3	3	5	14	4	1	0	1	1	2	0	3	1	2	4	1	6	2	6	2	3	2	3	6	2	3	2	1	3	3	3	2	3	1	4	2	2	3	5	2	3	4	1	4	2	3	4	2					
		0.16%	0.36%	0.15%	0.05%	0.20%	0.21%	0.15%	0.15%	0.24%	0.68%	0.22%	0.06%	0.00%	0.05%	0.05%	0.10%	0.00%	0.15%	0.05%	0.10%	0.22%	0.06%	0.32%	0.09%	0.28%	0.09%	0.14%	0.12%	0.14%	0.29%	0.26%	0.18%	0.12%	0.12%	0.15%	0.15%	0.15%	0.14%	0.18%	0.05%	0.29%	0.15%	0.10%	0.26%	0.44%	0.13%	0.19%	0.20%	0.06%	0.22%	0.12%	0.17%	0.18%	0.10%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12723	245	309	326	214	191	267	255	221	359	275	215	190	252	306	305	248	302	194	213	257	152	255	318	224	253	331	161	320	266	127	221	191	101	251	238	197	170	117	308	190	178	282	184	166	245	230	266	249	285	247	268	288	300					
		13.36%	14.90%	15.33%	15.85%	14.40%	13.29%	12.95%	12.57%	10.79%	17.45%	15.41%	12.78%	10.35%	13.64%	15.91%	14.79%	13.42%	15.34%	9.29%	10.64%	14.42%	8.91%	13.77%	14.47%	10.37%	11.37%	15.70%	9.67%	15.33%	12.75%	16.39%	13.08%	11.36%	12.50%	12.77%	11.92%	10.15%	11.64%	6.84%	14.79%	13.85%	13.40%	13.95%	15.69%	14.57%	15.47%	14.94%	13.27%	14.51%	15.89%	14.30%	15.55%	13.29%	14.61%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	608	15	27	14	7	14	5	12	14	14	10	12	5	14	16	16	5	9	2	10	9	16	13	13	18	17	19	9	10	25	2	16	7	8	6	24	14	10	7	11	6	10	24	3	5	8	5	5	13	11	11	7	16	9					
