Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
"Наименование Избирательной комиссии:    Набережные Челны, Автозаводская"																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190					
1	"Число избирателей, внесенных в список избирателей"	115499	2494	1842	1515	1634	2140	1634	1590	1857	1563	2493	2191	1997	2089	2056	2427	1906	2526	2062	2487	1812	2435	2363	2405	2286	2051	1601	1983	2210	2344	2433	2614	2487	2405	2612	2351	1682	2479	2520	2140	2311	2058	2020	1943	2065	885	1963	1931	982	2038	2379	2282	2309	2398	1848	2371					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	107000	2300	1700	1400	1500	2000	1500	1500	1700	1400	2200	2000	1900	2000	1900	2300	1800	2300	2000	2300	1700	2300	2300	2300	2200	1900	1400	1900	2100	2200	2300	2300	2300	2300	2300	2200	1600	2300	2300	2000	2200	1900	1800	1800	1900	800	1800	1800	900	1900	2100	2100	2100	2100	1600	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	89425	1780	1395	1224	1301	1835	1377	1213	1418	1291	1882	1740	1657	1598	1737	2042	1417	1768	1685	2047	1387	1827	1926	1778	1698	1584	1257	1568	1778	1668	1907	1956	2105	1970	2012	1757	1417	1902	1922	1646	1717	1395	1423	1421	1603	674	1526	1519	726	1532	1709	1820	1810	1823	1484	1771					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1839	30	23	25	16	13	12	22	61	25	38	37	50	72	24	30	42	29	28	30	13	41	49	29	82	30	25	25	35	35	26	23	53	34	26	52	34	31	20	24	22	35	23	29	29	5	29	27	12	48	28	48	46	20	20	124					
6	Число погашенных избирательных бюллетеней	15736	490	282	151	183	152	111	265	221	84	280	223	193	330	139	228	341	503	287	223	300	432	325	493	420	286	118	307	287	497	367	321	142	296	262	391	149	367	358	330	461	470	354	350	268	121	245	254	162	320	363	232	244	257	96	405					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1839	30	23	25	16	13	12	22	61	25	38	37	50	72	24	30	42	29	28	30	13	41	49	29	82	30	25	25	35	35	26	23	53	34	26	52	34	31	20	24	22	35	23	29	29	5	29	27	12	48	28	48	46	20	20	124					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	89376	1780	1395	1224	1301	1835	1377	1213	1418	1291	1882	1740	1657	1564	1737	2042	1417	1768	1685	2047	1387	1827	1926	1778	1698	1584	1257	1568	1778	1668	1907	1956	2105	1970	2012	1757	1417	1902	1922	1646	1717	1383	1422	1421	1603	674	1526	1519	726	1532	1709	1820	1810	1823	1484	1769					
9	Число недействительных избирательных бюллетеней	942	14	32	10	49	23	0	7	2	9	10	73	17	0	15	20	9	31	9	27	0	29	9	5	4	7	28	5	5	5	2	37	25	27	8	18	8	5	19	13	23	55	21	3	20	12	23	25	29	15	2	21	12	9	39	17					
10	Число действительных избирательных бюллетеней	90273	1796	1386	1239	1268	1825	1389	1228	1477	1307	1910	1704	1690	1636	1746	2052	1450	1766	1704	2050	1400	1839	1966	1802	1776	1607	1254	1588	1808	1698	1931	1942	2133	1977	2030	1791	1443	1928	1923	1657	1716	1363	1424	1447	1612	667	1532	1521	709	1565	1735	1847	1844	1834	1465	1876					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1081	19	19	19	19	19	19	19	19	19	19	19	19	19	19	24	19	24	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	29	19	19	19	19	19	19	19	19	19	19	19	35	19	19	19	19	19					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	786	19	9	13	19	10	11	15	9	16	10	16	15	13	11	23	13	20	15	10	10	15	16	19	16	13	16	12	15	12	16	17	8	14	19	19	6	16	27	19	15	12	16	18	12	10	14	14	5	17	24	9	18	11	11	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	381	4	8	15	2	9	3	0	2	6	8	4	7	4	5	2	4	5	6	12	0	10	13	7	0	2	2	12	6	7	5	4	4	5	5	8	2	0	8	7	14	4	8	18	15	8	9	15	10	21	3	10	8	3	6	16					
14	Число погашенных неиспользованных открепительных удостоверений	295	0	10	6	0	9	8	4	10	3	9	3	4	6	8	1	6	4	4	9	9	4	3	0	3	6	3	7	4	7	3	2	11	5	0	0	13	3	2	0	4	7	3	1	7	9	5	5	14	2	11	10	1	8	8	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	0	0	1	0	0	2	0	0	1	1	1	0	0	1	3	2	2	0	0	0	0	0	3	0	0	1	2	0	2	3	1	2	1	2	1	1	2	0	0	3	0	1	3	1	0	0	0	0	1	0	0	1	2	2	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7591	170	132	85	106	75	95	133	175	85	175	210	135	209	116	231	118	53	126	106	76	201	94	149	129	71	134	161	211	211	221	72	201	140	224	135	143	121	126	116	44	182	123	206	181	73	84	235	48	199	166	161	119	83	107	109					
		8.32%	9.39%	9.31%	6.81%	8.05%	4.06%	6.84%	10.77%	11.83%	6.46%	9.11%	11.82%	7.91%	12.78%	6.59%	11.15%	8.09%	2.95%	7.36%	5.10%	5.43%	10.76%	4.76%	8.25%	7.25%	4.40%	10.45%	10.11%	11.64%	12.39%	11.43%	3.64%	9.31%	6.99%	10.99%	7.46%	9.86%	6.26%	6.49%	6.95%	2.53%	12.83%	8.51%	14.21%	11.09%	10.75%	5.40%	15.20%	6.50%	12.59%	9.56%	8.62%	6.41%	4.50%	7.11%	5.76%					
