Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Бузулукская городская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №453	УИК №454	УИК №1849					
1	"Число избирателей, внесенных в списки избирателей"	65547	1790	2240	248	1165	2720	2745	2717	1240	2212	1467	1553	2150	2216	1673	1528	2522	2681	1769	1332	2163	2509	2609	2756	2272	2203	2191	2694	2192	2568	2473	309	1822	273	545					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	63519	1800	2200	270	1000	2700	2700	2700	1200	2200	1400	1500	2000	2200	1500	1500	2500	2700	1500	1300	2000	2500	2500	2700	2300	2000	2200	2700	2000	2500	2400	300	1800	249	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	29799	661	1153	248	483	1145	1066	1284	468	1021	709	667	918	1146	729	599	1099	1195	767	461	885	1074	1161	1116	1157	1041	1027	1401	1127	1315	1227	157	853	127	312					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1556	37	26	0	27	66	73	56	30	64	37	25	33	61	46	25	71	31	81	38	29	67	103	69	32	49	34	20	10	84	36	26	45	122	3					
6	Число погашенных избирательных бюллетеней	32164	1102	1021	22	490	1489	1561	1360	702	1115	654	808	1049	993	725	876	1330	1474	652	801	1086	1359	1236	1515	1111	910	1139	1279	863	1101	1137	117	902	0	185					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1556	37	26	0	27	66	73	56	30	64	37	25	33	61	46	25	71	31	81	38	29	67	103	69	32	49	34	20	10	84	36	26	45	122	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29795	661	1153	248	483	1145	1066	1284	468	1021	709	667	918	1146	729	599	1098	1195	767	461	885	1072	1161	1116	1157	1041	1026	1401	1127	1315	1227	157	853	127	312					
9	Число недействительных избирательных бюллетеней	224	3	5	7	3	4	9	10	1	7	6	7	14	4	2	8	7	4	0	4	3	6	36	15	14	11	6	5	4	5	2	1	6	4	1					
10	Число действительных избирательных бюллетеней	31127	695	1174	241	507	1207	1130	1330	497	1078	740	685	937	1203	773	616	1162	1222	848	495	911	1133	1228	1170	1175	1079	1054	1416	1133	1394	1261	182	892	245	314					
