Выборы Президента Российской Федерации																																																																																																															
																																																																																																															
Наименование Избирательной комиссии:    Люберецкая																																																																																																															
																																																																																																															
Итоги голосования 																																																																																																															
																																																																																																															
		Сумма	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380					
1	"Число избирателей, внесенных в список"	198328	2187	1994	1886	1894	2618	1103	1930	1400	1168	1081	1673	962	1889	1954	1990	1847	2378	2356	2300	2331	2394	2344	2064	2460	2415	2719	2642	2737	1499	1955	2079	2179	2063	1643	1816	2023	2287	2211	2203	2195	2085	2149	1391	1754	2815	2371	2544	2489	2517	2580	2397	2443	2088	2517	2460	250	2661	2829	2763	2340	2550	2831	2382	1798	1674	1903	1822	740	452	1868	1881	1987	741	943	990	1550	1795	2876	1849	2083	1405	1924	820	788	680	639	492	293	2357	1353	2120	1487	1151	1384	2553	2846	1870	2131	2604	1789	1856	2375	1879	505					
2	Число полученных избирательных бюллетеней	190890	2000	1800	1900	1800	2500	1000	1900	1400	1000	1000	1600	1000	1800	1900	1900	1900	2300	2300	2300	2300	2400	2100	2100	2400	2400	2600	2500	2600	1400	1900	2100	2200	2000	1500	1700	2000	2000	2200	2200	2100	1900	2100	1300	1600	2500	2400	2500	2500	2500	2600	2500	2400	2000	2500	2400	240	2500	2700	2700	2500	2500	2600	2400	1800	2000	1900	1700	700	400	1800	1800	2000	700	900	900	1500	1700	2700	1700	1900	1300	1800	700	700	600	600	400	250	2300	1300	2000	1400	1100	1300	2400	2700	1600	2000	2500	1700	1700	2400	1800	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	101716	1109	1136	1006	917	1371	559	925	670	595	593	865	569	985	982	982	909	1241	1225	1207	1228	1291	1495	1097	1362	1454	1579	1392	1485	764	938	962	1182	973	821	871	1037	952	1121	1069	1146	1155	1209	705	929	1434	1165	1217	1282	1204	1280	1227	1158	1055	1261	1223	96	1381	1591	1576	1184	1304	1508	1122	864	815	931	937	256	193	932	942	1031	251	347	434	770	913	1462	969	1049	649	932	344	310	293	278	185	172	1193	657	1018	679	610	670	1321	1526	1066	1265	1376	967	992	1472	1043	271					
5	"Число избирательных бюллетеней, выданных вне помещения"	4085	31	29	24	16	13	25	17	45	33	21	33	12	21	39	53	43	40	40	31	23	29	10	22	30	14	3	10	3	18	44	72	42	57	14	40	35	350	33	56	26	15	21	26	22	40	21	27	41	37	52	33	57	63	11	39	55	16	45	33	26	25	31	108	59	49	50	45	10	66	9	13	6	15	64	28	38	20	31	39	13	22	18	48	62	22	34	64	13	37	76	74	113	33	24	20	36	215	29	72	20	55	22	30	50					
6	Число погашенных избирательных бюллетеней	85089	860	635	870	867	1116	416	958	685	372	386	702	419	794	879	865	948	1019	1035	1062	1049	1080	595	981	1008	932	1018	1098	1112	618	918	1066	976	970	665	789	928	698	1046	1075	928	730	870	569	649	1026	1214	1256	1177	1259	1268	1240	1185	882	1228	1138	89	1103	1064	1091	1290	1171	1061	1170	877	1136	919	718	434	141	859	845	963	434	489	438	692	767	1207	692	838	629	850	308	328	285	288	151	65	1070	567	908	608	457	606	1059	1138	319	706	1052	713	653	906	727	79					
7	Число избирательных бюллетеней в переносных ящиках	4085	31	29	24	16	13	25	17	45	33	21	33	12	21	39	53	43	40	40	31	23	29	10	22	30	14	3	10	3	18	44	72	42	57	14	40	35	350	33	56	26	15	21	26	22	40	21	27	41	37	52	33	57	63	11	39	55	16	45	33	26	25	31	108	59	49	50	45	10	66	9	13	6	15	64	28	38	20	31	39	13	22	18	48	62	22	34	64	13	37	76	74	113	33	24	20	36	215	29	72	20	55	22	30	50					
8	Число бюллетеней в стационарных ящиках для голосования	101530	1109	1136	1006	917	1371	558	923	670	595	593	865	569	985	982	982	909	1241	1225	1207	1228	1291	1495	1097	1362	1453	1576	1392	1485	762	935	962	1182	973	821	871	1037	952	1121	1069	1145	1155	1209	705	928	1433	1165	1217	1282	1204	1279	1212	1158	1055	1261	1223	96	1379	1570	1576	1184	1304	1508	1122	864	815	931	937	256	192	932	942	1017	251	347	434	729	912	1459	969	1049	649	931	344	310	293	278	184	172	1175	648	995	679	610	670	1321	1506	1066	1265	1376	967	992	1472	1043	271					
9	Число недействительных избирательных бюллетеней	807	11	4	7	6	14	10	14	2	2	5	5	16	5	8	7	8	5	10	21	9	16	6	9	14	3	8	6	8	3	10	0	10	5	3	6	10	9	9	0	6	11	10	3	7	8	14	14	8	10	8	11	8	5	14	6	0	7	8	10	10	6	19	18	8	14	15	13	7	0	14	6	7	3	3	6	2	12	8	5	9	6	6	6	4	0	2	0	1	7	0	9	6	7	4	4	11	10	6	10	2	14	14	13	8					
10	Число действительных избирательных бюллетеней	104808	1129	1161	1023	927	1370	573	926	713	626	609	893	565	1001	1013	1028	944	1276	1255	1217	1242	1304	1499	1110	1378	1464	1571	1396	1480	777	969	1034	1214	1025	832	905	1062	1293	1145	1125	1165	1159	1220	728	943	1465	1172	1230	1315	1231	1323	1234	1207	1113	1258	1256	151	1388	1607	1599	1200	1323	1520	1212	915	850	966	969	259	258	927	949	1016	263	408	456	765	920	1482	1003	1053	665	943	386	368	315	310	248	184	1205	724	1060	786	636	690	1337	1531	1271	1288	1438	985	1033	1480	1060	313					
11	Число полученных открепительных  удостоверений	3005	30	25	25	25	40	20	25	20	20	20	25	20	25	35	25	25	50	50	40	30	30	70	50	60	50	30	30	30	25	25	30	30	30	25	25	30	30	30	40	30	30	30	20	25	50	30	30	30	30	40	50	30	30	30	40	5	50	50	40	40	40	30	50	25	30	25	25	10	5	25	25	30	10	10	10	25	25	45	25	30	20	25	10	10	10	10	5	5	30	20	30	20	20	30	50	40	25	30	30	35	35	30	25	5					
12	Число выданных открепительных удостоверений	2051	15	17	20	16	32	13	23	13	7	10	20	8	18	25	22	10	32	30	23	26	26	63	44	44	32	26	26	23	11	17	19	24	20	18	16	20	11	22	20	27	22	25	16	17	41	26	23	10	20	30	36	24	28	26	26	1	42	42	29	31	35	24	30	8	12	11	9	3	1	14	15	7	2	9	6	14	19	44	11	16	10	15	6	5	2	2	1	1	24	8	28	8	10	25	33	31	14	22	13	26	28	28	15	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1328	17	11	11	10	11	7	5	2	61	10	13	12	9	13	28	13	10	17	17	16	6	14	4	13	22	8	12	8	4	11	12	11	3	13	10	12	18	18	10	8	9	10	24	16	6	15	9	8	5	16	11	16	15	14	8	4	7	25	4	20	12	13	9	7	4	5	5	2	15	7	7	6	4	4	24	18	14	12	8	11	4	6	34	13	13	20	24	14	26	42	30	25	3	4	14	15	19	22	14	20	7	7	5	8					
