Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Лазовская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1580	УИК №1581	УИК №6601	УИК №6602	УИК №6603	УИК №6604	УИК №6606	УИК №6607	УИК №6608	УИК №6609	УИК №6610	УИК №6611	УИК №6612									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11912	691	743	737	610	785	714	665	733	452	63	546	198	632	359	400	689	659	148	298	303	106	292	465	184	5	5	90	74	54	58	28	28	18	18	25	25	12									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12259	718	764	778	628	809	740	703	762	454	64	554	214	542	381	418	692	684	150	302	320	116	296	477	191	15	53	92	74	54	58	28	30	18	18	25	25	12									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6087	312	306	293	211	247	292	298	241	275	48	246	143	360	189	223	381	360	94	150	219	71	208	339	141	5	5	90	74	54	58	28	28	18	18	25	25	12									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	212	10	7	7	3	6	7	4	22	10	3	18	0	8	15	5	33	21	6	15	3	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	5960	396	451	478	414	556	441	401	499	169	13	290	71	174	177	190	278	303	50	137	98	43	83	136	50	10	48	2	0	0	0	0	2	0	0	0	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	212	10	7	7	3	6	7	4	22	10	3	18	0	8	15	5	33	21	6	15	3	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6086	312	306	293	211	247	292	298	241	275	48	246	142	360	189	223	381	360	94	150	219	71	208	339	141	5	5	90	74	54	58	28	28	18	18	25	25	12									
9	Число недействительных избирательных бюллетеней	279	22	18	20	14	20	23	14	27	15	1	10	0	19	8	4	9	15	0	8	10	1	1	11	0	0	0	0	0	0	3	0	6	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	6019	300	295	280	200	233	276	288	236	270	50	254	142	349	196	224	405	366	100	157	212	72	212	330	141	5	5	90	74	54	55	28	22	18	18	25	25	12									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	25	29	26	24	28	25	24	26	18	4	15	4	21	10	14	24	23	5	8	11	4	10	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	70	0	1	0	0	0	2	0	0	0	0	5	0	15	10	4	1	15	1	1	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	8	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	330	25	28	26	24	28	23	24	26	18	4	10	4	6	0	10	23	8	4	7	0	4	6	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	3	0	0	0	0	0	0	0	0	0	0	1	3	4	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	6	0	3	4	2	5	6	2	4	0	1	0	8	1	1	1	3	0	4	1	1	2	0	0	0	0	2	0	0	0	0	2	1	0	6	0	0									
		1.05%	1.86%	0.00%	1.00%	1.87%	0.79%	1.67%	1.99%	0.76%	1.40%	0.00%	0.38%	0.00%	2.17%	0.49%	0.44%	0.24%	0.79%	0.00%	2.42%	0.45%	1.37%	0.94%	0.00%	0.00%	0.00%	0.00%	2.22%	0.00%	0.00%	0.00%	0.00%	7.14%	5.56%	0.00%	24.00%	0.00%	0.00%									
