Выборы Президента Российской Федерации																																																																				
																																																																				
"Наименование Избирательной комиссии:    Сочи, Адлерская"																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341	УИК №4342	УИК №4343	УИК №4344	УИК №4345	УИК №4346	УИК №4347	УИК №4348	УИК №4349	УИК №4350	УИК №4351	УИК №4352	УИК №4353	УИК №4354	УИК №4355	УИК №4356	УИК №4357	УИК №4358	УИК №4359	УИК №4360	УИК №4361					
1	"Число избирателей, внесенных в список"	72064	179	256	109	1517	1977	436	1539	2717	1496	1622	2196	1714	555	1882	615	934	1785	828	1584	1108	1876	1108	1399	2303	1610	705	1040	1085	1829	635	1872	1507	1945	1257	2274	1938	2375	620	282	1035	375	638	525	1090	595	1693	1580	1533	1896	642	419	288	557	1484	277	430	271	993	881	1209	944					
2	Число полученных избирательных бюллетеней	69627	187	280	110	1550	1850	450	1600	2600	1450	1600	2050	1620	520	1800	570	850	2000	800	1500	1050	1750	950	1350	2300	1550	720	1000	1000	1750	600	1750	1500	1900	1200	2250	1900	2350	550	250	1000	350	600	550	1050	560	1600	1500	1400	1850	700	450	260	550	1400	260	370	250	1000	900	1100	870					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	41417	119	176	86	922	1013	269	948	1408	790	885	1277	956	299	1056	365	463	1106	414	927	683	1134	665	875	1440	1015	412	682	555	1052	375	969	913	1098	1048	1208	1233	1473	276	160	572	183	306	276	544	352	1031	879	772	933	351	184	155	230	792	191	257	211	646	457	986	364					
5	"Число избирательных бюллетеней, выданных вне помещения"	1895	0	0	0	75	35	40	30	38	32	10	18	80	9	29	4	25	28	22	23	20	14	24	14	30	27	13	15	40	56	7	19	41	33	32	15	23	28	3	4	35	12	51	32	84	4	15	40	20	60	46	91	41	65	40	13	6	20	12	59	28	165					
6	Число погашенных избирательных бюллетеней	26315	68	104	24	553	802	141	622	1154	628	705	755	584	212	715	201	362	866	364	550	347	602	261	461	830	508	295	303	405	642	218	762	546	769	120	1027	644	849	271	86	393	155	243	242	422	204	554	581	608	857	303	175	64	255	568	56	107	19	342	384	86	341					
7	Число избирательных бюллетеней в переносных ящиках	1895	0	0	0	75	35	40	30	38	32	10	18	80	9	29	4	25	28	22	23	20	14	24	14	30	27	13	15	40	56	7	19	41	33	32	15	23	28	3	4	35	12	51	32	84	4	15	40	20	60	46	91	41	65	40	13	6	20	12	59	28	165					
8	Число бюллетеней в стационарных ящиках для голосования	41408	119	176	86	921	1013	269	948	1408	790	885	1277	956	299	1056	365	463	1106	413	927	682	1134	665	873	1440	1015	412	682	555	1052	375	969	913	1098	1048	1208	1233	1473	276	160	572	183	306	276	544	352	1031	878	772	933	350	184	155	230	792	190	257	211	646	456	986	364					
9	Число недействительных избирательных бюллетеней	318	0	0	1	8	7	4	6	9	10	8	9	13	4	17	1	3	8	4	2	2	8	1	6	8	10	0	7	4	10	6	5	12	8	11	5	13	14	4	0	6	2	1	3	5	5	4	12	7	5	4	0	0	0	6	0	0	0	0	1	5	4					
10	Число действительных избирательных бюллетеней	42985	119	176	85	988	1041	305	972	1437	812	887	1286	1023	304	1068	368	485	1126	431	948	700	1140	688	881	1462	1032	425	690	591	1098	376	983	942	1123	1069	1218	1243	1487	275	164	601	193	356	305	623	351	1042	906	785	988	392	275	196	295	826	203	263	231	658	514	1009	525					
11	Число полученных открепительных  удостоверений	1240	10	10	10	30	30	15	20	20	20	25	30	30	15	20	20	20	30	15	30	15	25	20	15	25	25	15	15	15	30	15	30	25	25	25	30	25	30	15	15	15	15	15	15	25	15	30	25	25	25	15	15	15	15	25	15	15	15	25	15	15	15					
12	Число выданных открепительных удостоверений	410	0	0	0	28	2	3	6	8	4	13	16	9	0	19	1	0	10	4	9	4	10	7	8	11	9	4	7	7	11	4	11	7	12	2	30	10	10	1	1	7	1	0	2	13	9	12	4	5	3	9	1	1	1	3	0	1	1	20	15	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	525	4	3	3	6	2	1	0	5	7	7	3	12	1	5	19	1	12	15	14	1	12	88	1	11	6	4	3	15	11	51	15	9	7	6	9	6	7	9	1	6	17	1	4	1	5	5	8	4	4	1	7	8	7	20	13	8	4	4	3	3	0					
14	Число неиспользованных открепительных удостоверений	830	10	10	10	2	28	12	14	12	16	12	14	21	15	1	19	20	20	11	21	11	15	13	7	14	16	11	8	8	19	11	19	18	13	23	0	15	20	14	14	8	14	15	13	12	6	18	21	20	22	6	14	14	14	22	15	14	14	5	0	12	14					
15	"Число открепительных удостоверений, выданных в ТИК"	25	0	1	0	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	1	1	1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	1175	2	1	0	16	9	2	6	43	8	35	31	30	6	26	10	16	37	11	46	33	38	33	27	69	41	14	29	12	30	15	36	28	15	21	33	39	59	10	8	11	7	2	11	16	12	25	24	22	19	12	6	3	11	31	5	5	3	5	9	4	7					
		2.71%	1.68%	0.57%	0.00%	1.61%	0.86%	0.65%	0.61%	2.97%	0.97%	3.91%	2.39%	2.90%	1.95%	2.40%	2.71%	3.28%	3.26%	2.53%	4.84%	4.70%	3.31%	4.79%	3.04%	4.69%	3.93%	3.29%	4.16%	2.02%	2.71%	3.93%	3.64%	2.94%	1.33%	1.94%	2.70%	3.11%	3.93%	3.58%	4.88%	1.81%	3.59%	0.56%	3.57%	2.55%	3.37%	2.39%	2.61%	2.78%	1.91%	3.03%	2.18%	1.53%	3.73%	3.73%	2.46%	1.90%	1.30%	0.76%	1.75%	0.39%	1.32%					
19	. Малышкин Олег Александрович	396	4	1	1	12	0	1	6	10	6	6	20	10	7	12	8	5	16	4	13	6	11	4	8	10	9	3	3	4	6	4	9	9	12	2	13	8	20	2	2	3	3	4	0	4	1	10	17	10	8	3	2	12	3	11	1	3	1	3	3	2	5					
		0.91%	3.36%	0.57%	1.16%	1.20%	0.00%	0.32%	0.61%	0.69%	0.73%	0.67%	1.54%	0.97%	2.27%	1.11%	2.17%	1.02%	1.41%	0.92%	1.37%	0.85%	0.96%	0.58%	0.90%	0.68%	0.86%	0.71%	0.43%	0.67%	0.54%	1.05%	0.91%	0.94%	1.06%	0.19%	1.06%	0.64%	1.33%	0.72%	1.22%	0.49%	1.54%	1.12%	0.00%	0.64%	0.28%	0.96%	1.85%	1.26%	0.81%	0.76%	0.73%	6.12%	1.02%	1.32%	0.49%	1.14%	0.43%	0.46%	0.58%	0.20%	0.95%					
20	. Миронов Сергей Михайлович	170	2	1	0	3	6	0	6	5	12	6	4	5	0	3	2	1	7	2	5	2	6	2	9	3	4	2	3	0	5	0	5	3	3	3	2	5	0	4	1	2	1	0	4	4	0	3	4	1	2	1	2	0	2	4	1	0	0	1	0	6	0					
		0.39%	1.68%	0.57%	0.00%	0.30%	0.57%	0.00%	0.61%	0.35%	1.46%	0.67%	0.31%	0.48%	0.00%	0.28%	0.54%	0.20%	0.62%	0.46%	0.53%	0.28%	0.52%	0.29%	1.01%	0.20%	0.38%	0.47%	0.43%	0.00%	0.45%	0.00%	0.51%	0.31%	0.27%	0.28%	0.16%	0.40%	0.00%	1.43%	0.61%	0.33%	0.51%	0.00%	1.30%	0.64%	0.00%	0.29%	0.44%	0.13%	0.20%	0.25%	0.73%	0.00%	0.68%	0.48%	0.49%	0.00%	0.00%	0.15%	0.00%	0.59%	0.00%					
21	. Путин Владимир Владимирович	34288	93	152	67	825	879	270	860	1141	638	689	1021	833	256	860	270	378	833	349	692	503	844	481	676	1098	741	310	500	488	901	280	760	757	937	903	989	945	1120	223	134	474	144	310	238	506	292	878	723	637	818	348	219	149	219	625	163	225	194	604	447	911	468					
		79.18%	78.15%	86.36%	77.91%	82.83%	83.87%	87.38%	87.93%	78.91%	77.62%	76.98%	78.84%	80.41%	83.12%	79.26%	73.17%	77.46%	73.46%	80.23%	72.84%	71.65%	73.52%	69.81%	76.21%	74.69%	71.11%	72.94%	71.74%	82.02%	81.32%	73.30%	76.92%	79.35%	82.85%	83.61%	80.87%	75.24%	74.62%	79.93%	81.71%	78.09%	73.85%	86.83%	77.27%	80.57%	82.02%	83.94%	78.76%	80.43%	82.38%	87.88%	79.64%	76.02%	74.24%	75.12%	80.30%	85.55%	83.98%	91.79%	86.80%	89.84%	88.47%					
22	. Хакамада Ирина Муцуовна	1687	2	3	2	31	37	1	13	52	39	47	47	21	10	42	27	28	62	25	43	37	56	42	44	71	59	21	37	25	50	15	46	32	27	50	58	48	69	17	4	51	13	5	9	12	10	31	29	21	25	6	7	7	9	34	11	8	5	15	9	20	10					
		3.90%	1.68%	1.70%	2.33%	3.11%	3.53%	0.32%	1.33%	3.60%	4.74%	5.25%	3.63%	2.03%	3.25%	3.87%	7.32%	5.74%	5.47%	5.75%	4.53%	5.27%	4.88%	6.10%	4.96%	4.83%	5.66%	4.94%	5.31%	4.20%	4.51%	3.93%	4.66%	3.35%	2.39%	4.63%	4.74%	3.82%	4.60%	6.09%	2.44%	8.40%	6.67%	1.40%	2.92%	1.91%	2.81%	2.96%	3.16%	2.65%	2.52%	1.52%	2.55%	3.57%	3.05%	4.09%	5.42%	3.04%	2.16%	2.28%	1.75%	1.97%	1.89%					
