Выборы Президента Российской Федерации																																																																														
																																																																														
Наименование Избирательной комиссии:    Щекинская																																																																														
																																																																														
Итоги голосования 																																																																														
																																																																														
		Сумма	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК  1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087					
1	"Число избирателей, внесенных в список"	91918	2752	2820	2310	2773	2963	2765	2833	2832	2772	75	386	1202	2636	1474	808	2494	2345	2281	1820	1763	1506	748	2557	1260	1899	1042	259	2630	2585	2145	1472	398	465	827	717	2047	2227	2383	49	2384	469	927	280	316	1226	650	821	652	1061	330	136	798	375	1556	642	170	1588	2147	234	446	321	343	184	220	342	316	620	319	1496	792	437					
2	Число полученных избирательных бюллетеней	89833	2700	2800	2300	2700	2900	2700	2800	2800	2700	100	370	1100	2600	1400	800	2400	2300	2200	1800	1700	1500	730	2500	1200	1900	1000	250	2600	2500	2100	1400	390	470	830	730	2000	2200	2300	63	2300	470	940	280	300	1200	660	800	650	1000	300	120	800	370	1500	650	170	1600	2100	230	440	300	320	180	200	320	300	600	300	1400	800	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42026	1249	1345	1093	1284	1190	1237	1368	1299	1084	71	160	581	1148	618	380	1227	1019	1060	861	766	748	372	1098	637	842	399	153	1384	1286	1017	748	196	124	371	351	918	1113	1065	36	967	301	277	78	99	564	292	353	169	442	137	47	377	162	648	364	61	750	962	126	249	131	181	88	132	226	136	230	43	776	559	201					
5	"Число избирательных бюллетеней, выданных вне помещения"	4834	44	23	38	35	18	82	29	33	65	0	7	21	53	34	10	35	36	33	46	38	44	12	119	13	44	23	88	41	47	43	37	67	133	191	56	161	36	48	13	38	5	188	95	110	216	83	70	163	149	58	33	115	84	152	54	62	196	152	46	107	94	51	39	27	15	67	131	127	141	51	19					
6	Число погашенных избирательных бюллетеней	42973	1407	1432	1169	1381	1692	1381	1403	1468	1551	29	203	498	1399	748	410	1138	1245	1107	893	896	708	346	1283	550	1014	578	9	1175	1167	1040	615	127	213	268	323	921	1051	1187	14	1295	164	475	107	91	420	285	377	318	409	105	40	308	124	700	232	47	654	986	58	84	75	88	53	41	79	97	239	130	483	190	180					
7	Число избирательных бюллетеней в переносных ящиках	4834	44	23	38	35	18	82	29	33	65	0	7	21	53	34	10	35	36	33	46	38	44	12	119	13	44	23	88	41	47	43	37	67	133	191	56	161	36	48	13	38	5	188	95	110	216	83	70	163	149	58	33	115	84	152	54	62	196	152	46	107	94	51	39	27	15	67	131	127	141	51	19					
8	Число бюллетеней в стационарных ящиках для голосования	42009	1249	1345	1093	1284	1190	1237	1368	1299	1084	71	160	581	1145	618	380	1226	1019	1050	861	766	748	372	1098	637	842	399	153	1384	1285	1017	748	196	124	371	351	918	1113	1065	36	967	301	277	78	99	564	292	352	169	442	137	47	377	162	648	363	61	750	962	126	249	131	181	88	132	226	136	230	43	776	559	201					
9	Число недействительных избирательных бюллетеней	310	4	17	9	7	2	13	11	9	8	0	2	3	8	7	2	5	7	3	11	2	0	2	6	8	7	4	1	5	5	3	5	5	7	1	4	4	12	13	0	11	0	0	1	5	1	4	4	0	5	2	0	1	0	7	4	2	5	0	1	1	1	7	0	0	0	5	3	0	15	2	1					
10	Число действительных избирательных бюллетеней	46533	1289	1351	1122	1312	1206	1306	1386	1323	1141	71	165	599	1190	645	388	1256	1048	1080	896	802	792	382	1211	642	879	418	240	1420	1327	1057	780	258	250	561	403	1075	1137	1100	49	994	306	465	172	204	779	371	418	332	586	193	80	491	246	793	413	121	941	1114	171	355	224	225	127	159	241	198	358	170	902	608	219					
11	Число полученных открепительных  удостоверений	917	20	30	30	20	25	30	20	30	20	0	5	10	30	10	10	30	30	25	15	25	15	10	15	20	15	10	5	20	20	20	10	5	5	5	8	15	21	20	0	20	10	10	5	5	15	8	10	5	10	5	5	20	5	10	10	5	15	20	5	5	5	5	5	5	5	5	5	5	10	5	5					
12	Число выданных открепительных удостоверений	553	10	24	20	13	22	21	13	30	15	0	3	6	13	2	7	18	15	16	11	9	11	4	10	9	15	2	2	8	10	10	8	0	0	0	5	10	21	20	0	17	8	5	0	3	8	6	3	0	6	2	1	16	2	2	9	5	9	20	3	2	1	0	0	0	1	0	5	0	5	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	484	4	5	5	9	7	8	5	10	13	71	3	5	15	3	2	12	13	10	10	1	3	3	7	2	3	0	1	6	7	10	18	1	1	0	1	3	6	3	49	1	4	6	5	7	14	4	3	3	8	7	1	8	2	17	6	1	5	11	6	5	3	1	1	1	4	5	4	0	4	1	1					
14	Число неиспользованных открепительных удостоверений	364	10	6	10	7	3	9	7	0	5	0	2	4	17	8	3	12	15	9	4	16	4	6	5	11	0	8	3	12	10	10	2	5	5	5	3	5	0	0	0	3	2	5	5	2	7	2	7	5	4	3	4	4	3	8	1	0	6	0	2	3	4	5	5	5	4	5	0	5	5	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	22	1	0	1	0	0	0	4	0	1	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																														
18	. Глазьев Сергей Юрьевич	2234	75	111	46	63	66	67	73	59	55	5	5	37	53	43	35	58	60	56	37	42	47	13	61	34	34	19	6	87	77	71	51	5	13	6	7	44	60	49	2	49	13	19	9	6	31	15	20	24	15	4	1	15	7	23	12	3	30	36	2	10	4	12	9	2	9	4	8	0	82	23	5					
		4.77%	5.80%	8.11%	4.07%	4.78%	5.46%	5.08%	5.23%	4.43%	4.79%	7.04%	2.99%	6.15%	4.42%	6.60%	8.97%	4.60%	5.69%	5.17%	4.08%	5.22%	5.93%	3.39%	5.01%	5.23%	3.84%	4.50%	2.49%	6.11%	5.78%	6.70%	6.50%	1.90%	5.06%	1.07%	1.72%	4.08%	5.22%	4.40%	4.08%	4.88%	4.25%	4.09%	5.20%	2.87%	3.97%	4.00%	4.74%	7.23%	2.54%	2.05%	1.25%	3.05%	2.85%	2.88%	2.88%	2.44%	3.17%	3.23%	1.16%	2.81%	1.78%	5.17%	7.09%	1.26%	3.73%	1.97%	2.22%	0.00%	8.94%	3.77%	2.27%					
19	. Малышкин Олег Александрович	974	23	28	17	24	31	20	17	35	31	2	4	11	22	20	13	36	27	12	15	8	16	8	29	14	16	13	3	26	24	32	13	2	3	9	8	25	19	37	1	26	15	8	0	1	15	6	11	4	9	7	0	7	6	15	6	7	42	26	3	6	1	0	7	1	3	5	11	3	20	7	2					
		2.08%	1.78%	2.05%	1.50%	1.82%	2.57%	1.52%	1.22%	2.63%	2.70%	2.82%	2.40%	1.83%	1.84%	3.07%	3.33%	2.85%	2.56%	1.11%	1.65%	1.00%	2.02%	2.08%	2.38%	2.15%	1.81%	3.08%	1.24%	1.82%	1.80%	3.02%	1.66%	0.76%	1.17%	1.60%	1.97%	2.32%	1.65%	3.32%	2.04%	2.59%	4.90%	1.72%	0.00%	0.48%	1.92%	1.60%	2.61%	1.20%	1.52%	3.59%	0.00%	1.42%	2.44%	1.88%	1.44%	5.69%	4.44%	2.33%	1.74%	1.69%	0.44%	0.00%	5.51%	0.63%	1.24%	2.46%	3.05%	1.76%	2.18%	1.15%	0.91%					
20	. Миронов Сергей Михайлович	346	8	19	6	4	13	7	12	14	4	1	1	6	13	6	2	18	10	10	7	2	7	1	14	3	3	0	6	8	7	11	4	4	2	5	3	7	7	5	0	5	1	0	1	2	6	4	2	1	1	2	0	3	0	9	1	0	13	4	0	2	0	3	3	1	2	2	4	2	8	3	1					
		0.74%	0.62%	1.39%	0.53%	0.30%	1.08%	0.53%	0.86%	1.05%	0.35%	1.41%	0.60%	1.00%	1.09%	0.92%	0.51%	1.43%	0.95%	0.92%	0.77%	0.25%	0.88%	0.26%	1.15%	0.46%	0.34%	0.00%	2.49%	0.56%	0.53%	1.04%	0.51%	1.52%	0.78%	0.89%	0.74%	0.65%	0.61%	0.45%	0.00%	0.50%	0.33%	0.00%	0.58%	0.96%	0.77%	1.07%	0.47%	0.30%	0.17%	1.03%	0.00%	0.61%	0.00%	1.12%	0.24%	0.00%	1.37%	0.36%	0.00%	0.56%	0.00%	1.29%	2.36%	0.63%	0.83%	0.99%	1.11%	1.18%	0.87%	0.49%	0.45%					
21	. Путин Владимир Владимирович	30141	795	787	730	842	753	834	950	924	750	47	124	422	775	369	217	778	645	691	544	517	489	247	716	379	543	275	172	925	841	634	495	213	155	453	286	735	592	631	32	553	201	298	132	156	485	252	268	226	388	143	71	367	188	507	306	88	655	831	137	257	152	166	88	127	180	136	205	124	571	449	127					
		64.34%	61.48%	57.53%	64.54%	63.84%	62.33%	63.23%	68.00%	69.37%	65.27%	66.20%	74.25%	70.10%	64.69%	56.60%	55.64%	61.70%	61.14%	63.80%	59.98%	64.30%	61.74%	64.32%	58.83%	58.31%	61.29%	65.17%	71.37%	64.91%	63.14%	59.81%	63.06%	80.99%	60.31%	80.60%	70.27%	68.12%	51.52%	56.69%	65.31%	55.02%	65.69%	64.09%	76.30%	74.64%	62.18%	67.20%	63.51%	68.07%	65.65%	73.33%	88.75%	74.59%	76.42%	63.38%	73.38%	71.54%	69.24%	74.60%	79.65%	72.19%	67.56%	71.55%	69.29%	79.87%	74.69%	67.00%	56.79%	72.94%	62.27%	73.61%	57.73%					
22	. Хакамада Ирина Муцуовна	1379	49	38	36	49	31	66	42	37	39	4	2	13	37	12	8	38	38	37	28	25	31	17	25	19	23	12	5	53	43	48	29	7	8	11	9	17	33	34	2	29	3	33	0	0	21	10	18	2	22	7	0	11	1	30	15	1	26	26	6	2	4	0	1	3	6	4	8	4	20	5	6					
