Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Уржумская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19460	965	972	1456	1092	1217	1279	217	455	151	83	569	397	100	219	543	145	100	930	209	450	906	210	355	170	155	184	95	475	95	415	358	343	323	230	750	148	351	352	200	181	280	115	692	202	326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16340	780	770	1200	860	900	1000	190	400	140	70	450	340	80	190	440	120	80	800	180	390	800	180	350	160	150	180	90	430	90	360	330	290	270	190	690	140	330	290	180	150	220	100	570	160	260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9189	528	357	575	516	554	654	51	200	79	41	181	134	64	90	230	78	66	377	112	214	502	118	182	87	105	49	60	263	56	243	149	185	117	149	390	64	196	167	128	120	150	65	356	93	94									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1555	51	43	21	24	25	52	22	50	15	13	84	82	2	32	53	17	11	89	14	55	28	10	30	23	13	52	2	40	10	46	41	68	56	15	72	32	33	58	12	5	23	7	36	18	70									
6	Число погашенных избирательных бюллетеней	5596	201	370	604	320	321	294	117	150	46	16	185	124	14	68	157	25	3	334	54	121	270	52	138	50	32	79	28	127	24	71	140	37	97	26	228	44	101	65	40	25	47	28	178	49	96									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1555	51	43	21	24	25	52	22	50	15	13	84	82	2	32	53	17	11	89	14	55	28	10	30	23	13	52	2	40	10	46	41	68	56	15	72	32	33	58	12	5	23	7	36	18	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9137	477	357	575	516	554	654	51	200	79	41	181	134	64	90	230	78	66	377	112	214	502	118	182	87	105	49	60	263	56	243	149	185	117	149	390	64	196	167	128	120	150	65	356	93	93									
9	Число недействительных избирательных бюллетеней	203	4	12	17	12	6	15	4	6	1	0	3	4	0	3	6	1	1	3	0	4	14	1	8	5	2	0	1	5	0	3	6	1	4	4	5	1	3	4	4	7	3	1	13	4	2									
10	Число действительных избирательных бюллетеней	10489	524	388	579	528	573	691	69	244	93	54	262	212	66	119	277	94	76	463	126	265	516	127	204	105	116	101	61	298	66	286	184	252	169	160	457	95	226	221	136	118	170	71	379	107	161									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	713	20	20	20	20	20	20	10	25	10	10	15	15	10	10	15	10	10	25	15	15	45	20	15	10	10	10	10	30	16	15	15	15	15	15	20	10	15	15	11	15	16	10	20	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	623	7	2	10	20	20	4	3	25	10	10	15	15	10	10	15	10	10	25	15	15	45	20	15	10	10	10	5	30	16	15	15	15	15	15	7	10	15	10	11	15	16	10	20	7	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	95	5	8	11	5	5	3	2	1	3	1	2	2	1	1	3	2	1	0	1	0	0	2	2	2	0	0	0	2	0	3	4	1	0	0	5	2	0	1	2	1	2	2	6	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	90	13	18	10	0	0	16	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	13	0	0	5	0	0	0	0	0	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	3	6	5	4	2	5	1	2	0	0	0	1	0	3	2	0	0	1	2	0	0	0	1	0	0	0	0	5	0	1	0	3	3	1	1	0	2	0	2	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	102	3	4	5	7	4	7	1	2	0	1	1	1	0	1	6	0	0	4	0	2	2	0	7	0	2	1	0	8	1	1	2	2	4	0	5	1	5	1	2	0	2	2	1	3	1									
		0.95%	0.57%	1.00%	0.84%	1.30%	0.69%	0.99%	1.37%	0.80%	0.00%	1.85%	0.38%	0.46%	0.00%	0.82%	2.12%	0.00%	0.00%	0.86%	0.00%	0.74%	0.38%	0.00%	3.30%	0.00%	1.69%	0.99%	0.00%	2.64%	1.52%	0.35%	1.05%	0.79%	2.31%	0.00%	1.08%	1.04%	2.18%	0.44%	1.43%	0.00%	1.16%	2.78%	0.26%	2.70%	0.61%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	323	15	11	19	13	11	12	4	7	5	0	6	6	0	3	15	4	0	18	1	9	18	0	6	8	5	4	3	8	5	6	9	6	10	3	14	5	9	7	4	5	5	1	12	1	10									
		3.02%	2.84%	2.75%	3.19%	2.41%	1.90%	1.70%	5.48%	2.80%	5.32%	0.00%	2.26%	2.78%	0.00%	2.46%	5.30%	4.21%	0.00%	3.86%	0.79%	3.35%	3.40%	0.00%	2.83%	7.27%	4.24%	3.96%	4.84%	2.64%	7.58%	2.08%	4.74%	2.37%	5.78%	1.83%	3.03%	5.21%	3.93%	3.11%	2.86%	4.00%	2.89%	1.39%	3.06%	0.90%	6.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	258	12	6	14	8	13	17	1	8	1	0	12	1	2	3	7	4	1	24	6	5	8	2	8	2	11	0	0	5	0	8	6	2	6	7	8	2	3	6	5	3	6	3	7	2	3									
		2.41%	2.27%	1.50%	2.35%	1.48%	2.25%	2.41%	1.37%	3.20%	1.06%	0.00%	4.53%	0.46%	3.03%	2.46%	2.47%	4.21%	1.30%	5.15%	4.76%	1.86%	1.51%	1.56%	3.77%	1.82%	9.32%	0.00%	0.00%	1.65%	0.00%	2.77%	3.16%	0.79%	3.47%	4.27%	1.73%	2.08%	1.31%	2.67%	3.57%	2.40%	3.47%	4.17%	1.79%	1.80%	1.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4782	243	145	233	238	221	269	22	100	46	33	139	104	29	48	112	53	44	220	80	118	260	72	73	53	42	57	25	135	27	156	55	161	79	104	194	46	105	120	47	69	74	36	175	54	66									
		44.73%	46.02%	36.25%	39.09%	44.07%	38.17%	38.10%	30.14%	40.00%	48.94%	61.11%	52.45%	48.15%	43.94%	39.34%	39.58%	55.79%	57.14%	47.21%	63.49%	43.87%	49.06%	56.25%	34.43%	48.18%	35.59%	56.44%	40.32%	44.55%	40.91%	53.98%	28.95%	63.64%	45.66%	63.41%	41.99%	47.92%	45.85%	53.33%	33.57%	55.20%	42.77%	50.00%	44.64%	48.65%	40.49%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	1	3	2	1	3	1	0	2	1	0	0	0	1	3	2	0	0	2	0	1	2	0	0	0	0	0	1	0	0	1	2	1	1	1	2	0	3	1	0	0	0	1	0	0	3									
		0.39%	0.19%	0.75%	0.34%	0.19%	0.52%	0.14%	0.00%	0.80%	1.06%	0.00%	0.00%	0.00%	1.52%	2.46%	0.71%	0.00%	0.00%	0.43%	0.00%	0.37%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	0.35%	1.05%	0.40%	0.58%	0.61%	0.43%	0.00%	1.31%	0.44%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	1.84%									
24	"6. Политическая партия ""Гражданская Платформа"""	27	0	3	1	0	0	2	0	2	0	0	0	0	0	2	1	0	0	1	0	1	1	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	3	1	2	0	0	2	0	0	0									
		0.25%	0.00%	0.75%	0.17%	0.00%	0.00%	0.28%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	0.35%	0.00%	0.00%	0.21%	0.00%	0.37%	0.19%	0.00%	0.94%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.58%	0.00%	0.00%	0.00%	1.31%	0.44%	1.43%	0.00%	0.00%	2.78%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2666	143	107	138	140	186	188	27	60	26	13	52	57	18	51	64	15	12	122	18	57	135	24	52	13	29	16	15	62	12	54	64	48	24	27	133	29	52	57	49	24	53	15	118	24	43									
		24.93%	27.08%	26.75%	23.15%	25.93%	32.12%	26.63%	36.99%	24.00%	27.66%	24.07%	19.62%	26.39%	27.27%	41.80%	22.61%	15.79%	15.58%	26.18%	14.29%	21.19%	25.47%	18.75%	24.53%	11.82%	24.58%	15.84%	24.19%	20.46%	18.18%	18.69%	33.68%	18.97%	13.87%	16.46%	28.79%	30.21%	22.71%	25.33%	35.00%	19.20%	30.64%	20.83%	30.10%	21.62%	26.38%									
