Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Карталинская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694					
1	"Число избирателей, внесенных в список"	37715	816	816	829	747	958	870	1263	1006	1689	505	1098	1226	1263	1149	1607	1296	1666	1675	1535	1190	544	352	1016	161	166	455	179	122	203	763	402	257	930	124	115	744	159	105	618	211	189	932	557	259	955	358	139	180	1061	651	267	229	720	177	211					
2	Число полученных избирательных бюллетеней	37970	790	840	805	810	980	880	1290	980	1690	520	1110	1225	1250	1160	1580	1275	1670	1680	1550	1230	535	355	1025	165	157	455	190	110	220	760	400	260	960	127	117	750	165	105	630	210	195	935	526	265	980	365	145	185	1050	675	270	230	740	183	215					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23288	475	512	495	464	527	464	714	604	884	233	637	736	750	656	817	757	941	968	801	686	370	212	795	104	122	329	137	107	145	480	271	178	568	101	89	496	122	78	463	197	153	655	417	178	670	222	124	147	671	381	189	134	574	146	142					
5	"Число избирательных бюллетеней, выданных вне помещения"	2791	77	41	54	51	59	43	115	97	138	59	44	70	57	65	151	35	53	100	83	76	37	71	29	16	6	24	14	0	19	103	32	11	60	0	2	41	14	12	75	0	29	44	61	48	53	32	0	6	171	160	27	52	28	14	32					
6	Число погашенных избирательных бюллетеней	11891	238	287	256	295	394	373	461	279	668	228	429	419	443	439	612	483	676	612	666	468	128	72	201	45	29	102	39	3	56	177	97	71	332	26	26	213	29	15	92	13	13	236	48	39	257	111	21	32	208	134	54	44	138	23	41					
7	Число избирательных бюллетеней в переносных ящиках	2791	77	41	54	51	59	43	115	97	138	59	44	70	57	65	151	35	53	100	83	76	37	71	29	16	6	24	14	0	19	103	32	11	60	0	2	41	14	12	75	0	29	44	61	48	53	32	0	6	171	160	27	52	28	14	32					
8	Число бюллетеней в стационарных ящиках для голосования	23286	475	512	495	464	527	464	714	604	884	233	637	736	750	655	817	757	941	968	801	686	370	212	795	104	122	329	137	107	145	480	271	178	568	101	89	496	122	78	463	197	153	654	417	178	670	222	124	147	671	381	189	134	574	146	142					
9	Число недействительных избирательных бюллетеней	268	7	5	2	3	4	6	7	0	7	3	3	11	9	3	9	6	6	18	6	1	6	5	6	3	3	9	6	1	1	14	1	5	0	0	2	19	2	5	10	0	0	13	0	1	4	3	1	1	12	4	5	0	7	1	2					
10	Число действительных избирательных бюллетеней	25809	545	548	547	512	582	501	822	701	1015	289	678	795	798	717	959	786	988	1050	878	761	401	278	818	117	125	344	145	106	163	569	302	184	628	101	89	518	134	85	528	197	182	685	478	225	719	251	123	152	830	537	211	186	595	159	172					
11	Число полученных открепительных  удостоверений	311	5	8	7	4	4	7	8	4	6	4	6	6	8	14	8	11	12	13	6	10	13	3	5	3	2	9	7	2	2	14	2	2	15	2	2	5	3	2	4	3	4	5	5	3	6	5	2	2	6	4	4	4	6	2	2					
12	Число выданных открепительных удостоверений	230	5	7	6	2	4	6	7	4	3	2	3	5	7	9	7	11	10	13	6	10	13	3	5	0	2	5	7	0	2	7	1	2	13	0	0	1	0	1	4	2	2	5	2	0	5	2	2	0	6	1	2	2	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	195	2	4	0	0	6	1	4	2	6	4	4	7	7	3	3	5	10	5	4	1	1	1	2	0	1	0	1	2	3	5	0	2	2	0	0	1	1	1	7	2	2	7	24	7	5	1	0	0	10	14	4	4	3	3	1					
14	Число неиспользованных открепительных удостоверений	81	0	1	1	2	0	1	1	0	3	2	3	1	1	5	1	0	2	0	0	0	0	0	0	3	0	4	0	2	0	7	1	0	2	2	2	4	3	1	0	1	2	0	3	3	1	3	0	2	0	3	2	2	0	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	709	17	10	15	24	25	15	20	9	21	6	23	24	26	32	33	29	37	34	36	23	10	1	20	0	2	9	6	2	5	15	7	1	14	5	0	17	1	0	8	3	1	27	15	5	20	1	1	3	26	7	5	1	10	1	1					
		2.72%	3.08%	1.81%	2.73%	4.66%	4.27%	2.96%	2.41%	1.28%	2.05%	2.05%	3.38%	2.98%	3.22%	4.44%	3.41%	3.66%	3.72%	3.18%	4.07%	3.02%	2.46%	0.35%	2.43%	0.00%	1.56%	2.55%	3.97%	1.87%	3.05%	2.57%	2.31%	0.53%	2.23%	4.95%	0.00%	3.17%	0.74%	0.00%	1.49%	1.52%	0.55%	3.87%	3.14%	2.21%	2.77%	0.39%	0.81%	1.96%	3.09%	1.29%	2.31%	0.54%	1.66%	0.62%	0.57%					
19	. Малышкин Олег Александрович	978	18	21	26	40	27	31	26	31	54	24	17	30	29	11	38	21	46	31	48	42	19	6	24	6	12	5	8	4	9	10	8	4	25	7	1	25	4	3	17	8	3	15	17	5	18	17	6	0	23	16	3	10	15	6	8					
		3.75%	3.26%	3.80%	4.74%	7.77%	4.61%	6.11%	3.14%	4.42%	5.28%	8.22%	2.50%	3.72%	3.59%	1.53%	3.93%	2.65%	4.63%	2.90%	5.43%	5.51%	4.67%	2.12%	2.91%	5.00%	9.38%	1.42%	5.30%	3.74%	5.49%	1.72%	2.64%	2.12%	3.98%	6.93%	1.10%	4.66%	2.94%	3.33%	3.16%	4.06%	1.65%	2.15%	3.56%	2.21%	2.49%	6.69%	4.84%	0.00%	2.73%	2.96%	1.39%	5.38%	2.49%	3.75%	4.60%					
20	. Миронов Сергей Михайлович	168	10	3	1	8	4	0	11	4	8	2	2	5	5	4	2	6	6	6	7	9	1	1	3	1	3	1	0	0	1	0	1	3	3	5	0	4	2	0	8	0	0	4	0	3	7	3	1	0	2	2	0	0	5	1	0					
		0.64%	1.81%	0.54%	0.18%	1.55%	0.68%	0.00%	1.33%	0.57%	0.78%	0.68%	0.29%	0.62%	0.62%	0.56%	0.21%	0.76%	0.60%	0.56%	0.79%	1.18%	0.25%	0.35%	0.36%	0.83%	2.34%	0.28%	0.00%	0.00%	0.61%	0.00%	0.33%	1.59%	0.48%	4.95%	0.00%	0.74%	1.47%	0.00%	1.49%	0.00%	0.00%	0.57%	0.00%	1.33%	0.97%	1.18%	0.81%	0.00%	0.24%	0.37%	0.00%	0.00%	0.83%	0.62%	0.00%					
21	. Путин Владимир Владимирович	19338	407	407	416	346	446	380	614	583	789	212	529	585	584	505	716	555	688	734	634	528	313	220	608	98	86	218	104	87	122	453	262	162	467	70	81	359	102	50	415	127	137	495	373	191	533	160	74	110	708	471	175	139	455	122	133					
		74.16%	73.73%	73.60%	75.77%	67.18%	76.11%	74.95%	74.07%	83.17%	77.20%	72.60%	77.68%	72.58%	72.37%	70.14%	73.97%	70.08%	69.22%	68.73%	71.72%	69.29%	76.90%	77.74%	73.79%	81.67%	67.19%	61.76%	68.87%	81.31%	74.39%	77.70%	86.47%	85.71%	74.36%	69.31%	89.01%	66.85%	75.00%	55.56%	77.14%	64.47%	75.27%	70.92%	78.03%	84.51%	73.72%	62.99%	59.68%	71.90%	84.09%	87.06%	81.02%	74.73%	75.58%	76.25%	76.44%					
22	. Хакамада Ирина Муцуовна	403	5	6	6	8	6	8	14	7	25	6	8	12	16	14	13	27	12	21	14	15	10	1	15	0	0	6	0	0	6	11	1	1	6	1	0	3	0	0	13	2	5	19	5	1	7	2	0	1	21	7	2	0	11	2	1					
		1.55%	0.91%	1.08%	1.09%	1.55%	1.02%	1.58%	1.69%	1.00%	2.45%	2.05%	1.17%	1.49%	1.98%	1.94%	1.34%	3.41%	1.21%	1.97%	1.58%	1.97%	2.46%	0.35%	1.82%	0.00%	0.00%	1.70%	0.00%	0.00%	3.66%	1.89%	0.33%	0.53%	0.96%	0.99%	0.00%	0.56%	0.00%	0.00%	2.42%	1.02%	2.75%	2.72%	1.05%	0.44%	0.97%	0.79%	0.00%	0.65%	2.49%	1.29%	0.93%	0.00%	1.83%	1.25%	0.57%					
23	. Харитонов Николай Михайлович	3615	78	87	68	70	64	51	111	47	91	32	85	120	111	120	125	133	173	182	111	128	42	47	133	10	20	100	25	13	19	62	19	12	100	13	7	105	24	30	52	53	36	108	58	16	125	64	40	32	40	24	25	33	93	19	29					
		13.86%	14.13%	15.73%	12.39%	13.59%	10.92%	10.06%	13.39%	6.70%	8.90%	10.96%	12.48%	14.89%	13.75%	16.67%	12.91%	16.79%	17.40%	17.04%	12.56%	16.80%	10.32%	16.61%	16.14%	8.33%	15.62%	28.33%	16.56%	12.15%	11.59%	10.63%	6.27%	6.35%	15.92%	12.87%	7.69%	19.55%	17.65%	33.33%	9.67%	26.90%	19.78%	15.47%	12.13%	7.08%	17.29%	25.20%	32.26%	20.92%	4.75%	4.44%	11.57%	17.74%	15.45%	11.88%	16.67%					
																																																														
24	Против всех	598	10	14	15	16	10	16	26	20	27	7	14	19	27	31	32	15	26	42	28	16	6	2	15	2	2	5	2	0	1	18	4	1	13	0	0	5	1	2	15	4	0	17	10	4	9	4	1	6	10	10	1	3	6	8	0					
		2.29%	1.81%	2.53%	2.73%	3.11%	1.71%	3.16%	3.14%	2.85%	2.64%	2.40%	2.06%	2.36%	3.35%	4.31%	3.31%	1.89%	2.62%	3.93%	3.17%	2.10%	1.47%	0.71%	1.82%	1.67%	1.56%	1.42%	1.32%	0.00%	0.61%	3.09%	1.32%	0.53%	2.07%	0.00%	0.00%	0.93%	0.74%	2.22%	2.79%	2.03%	0.00%	2.44%	2.09%	1.77%	1.24%	1.57%	0.81%	3.92%	1.19%	1.85%	0.46%	1.61%	1.00%	5.00%	0.00%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
