Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Актанышская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №2831									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23142	1391	2136	1390	761	666	700	194	308	416	337	316	90	99	300	215	199	692	277	182	338	104	893	271	1213	203	377	125	683	717	583	721	131	710	692	633	423	217	520	221	348	217	365	121	286	338	191	832									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23267	1397	2160	1405	769	673	700	194	310	417	336	320	89	98	302	217	197	692	278	183	342	105	895	271	1218	203	378	126	681	724	586	726	132	719	702	634	427	215	521	222	351	217	367	122	285	337	191	833									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21931	1352	2086	1373	742	655	655	180	290	393	330	295	82	83	284	187	194	678	242	175	292	95	850	256	1119	200	327	113	626	621	540	653	130	686	618	616	393	198	499	214	336	209	349	120	261	332	175	827									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	963	25	19	12	12	1	32	12	14	19	6	19	4	15	14	21	3	12	33	6	33	9	41	13	76	3	45	12	55	94	39	61	0	20	42	9	26	13	12	7	11	8	12	0	20	5	16	2									
6	Число погашенных избирательных бюллетеней	373	20	55	20	15	17	13	2	6	5	0	6	3	0	4	9	0	2	3	2	17	1	4	2	23	0	6	1	0	9	7	12	2	13	42	9	8	4	10	1	4	0	6	2	4	0	0	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	963	25	19	12	12	1	32	12	14	19	6	19	4	15	14	21	3	12	33	6	33	9	41	13	76	3	45	12	55	94	39	61	0	20	42	9	26	13	12	7	11	8	12	0	20	5	16	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21931	1352	2086	1373	742	655	655	180	290	393	330	295	82	83	284	187	194	678	242	175	292	95	850	256	1119	200	327	113	626	621	540	653	130	686	618	616	393	198	499	214	336	209	349	120	261	332	175	827									
9	Число недействительных избирательных бюллетеней	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	22883	1377	2105	1383	754	656	687	192	304	412	336	314	86	98	298	208	197	690	275	181	325	104	891	269	1195	203	372	125	681	715	579	714	130	706	653	623	419	211	511	221	347	217	361	120	281	337	191	829									
