Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Алуштинская городская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41458	375	682	1229	2028	1820	1626	2171	1825	1865	1803	1407	1886	1707	1557	1812	1576	1286	1730	221	191	684	440	1965	112	994	752	171	651	708	1036	1070	194	1074	1102	1390	160	158									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30925	275	525	825	1525	1375	1250	1600	1375	1325	1225	1025	1400	1275	1175	1375	1150	950	1200	175	150	525	375	1450	100	750	575	150	500	525	800	800	150	800	775	1050	125	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20059	254	371	660	940	919	746	1000	829	942	799	688	915	755	793	638	744	633	963	147	111	344	223	900	67	460	337	143	222	404	515	566	98	591	640	539	53	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	754	2	18	8	26	25	22	31	9	42	25	29	18	23	61	13	16	32	18	13	7	19	11	13	3	11	4	6	11	6	22	28	11	23	46	48	6	48									
6	Число погашенных избирательных бюллетеней	10112	19	136	157	559	431	482	569	537	341	401	308	467	497	321	724	390	285	219	15	32	162	141	537	30	279	234	1	267	115	263	206	41	186	89	463	66	142									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	754	2	18	8	26	25	22	31	9	42	25	29	18	23	61	13	16	32	18	13	7	19	11	13	3	11	4	6	11	6	22	28	11	23	46	48	6	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19997	254	371	660	940	919	746	1000	829	942	799	688	915	755	731	638	744	633	963	147	111	344	223	900	67	460	337	143	222	404	515	566	98	591	640	539	53	110									
9	Число недействительных избирательных бюллетеней	506	7	8	10	26	24	16	17	15	22	16	10	17	17	13	22	15	13	26	2	9	11	6	21	2	14	27	2	14	14	24	10	2	12	16	21	0	5									
10	Число действительных избирательных бюллетеней	20245	249	381	658	940	920	752	1014	823	962	808	707	916	761	779	629	745	652	955	158	109	352	228	892	68	457	314	147	219	396	513	584	107	602	670	566	59	153									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	805	4	11	21	40	35	32	41	36	35	32	26	36	33	31	36	30	25	31	4	4	13	8	37	3	19	15	4	13	14	20	40	5	20	20	27	4	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	280	2	5	12	15	24	16	14	23	8	10	4	7	16	14	18	5	2	3	1	3	5	1	14	0	1	1	0	0	1	13	22	3	8	6	3	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1418	150	127	126	31	22	6	38	17	105	168	74	31	28	11	9	53	27	149	64	3	3	8	7	2	0	4	3	0	2	6	32	5	37	51	17	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	525	2	6	9	25	11	16	27	13	27	22	22	29	17	17	18	25	23	28	3	1	8	7	23	3	18	14	4	13	13	7	18	2	12	14	24	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	0	0	2	2	2	2	5	1	1	0	0	2	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	340	4	7	10	11	25	11	19	7	20	29	18	25	10	11	9	5	7	14	0	1	0	0	12	1	3	5	2	8	9	5	12	1	6	18	4	6	5									
