Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Саратов, Октябрьская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	91547	2073	1357	1858	2239	2577	2130	135	149	2093	1326	2241	586	1900	1855	1383	2003	1630	1711	1654	2336	2510	2356	2437	2214	2201	2370	2098	1721	1741	2012	1424	2032	1875	1385	1024	2269	2298	2418	2550	128	325	189	840	669	618	945	1775	2204	2591	2733	2372	1797	890	1300									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86800	2000	1250	1500	2000	2500	2000	135	160	2000	1250	2000	550	1500	1700	1250	2000	1500	1500	1500	2370	2500	2200	2300	2000	2000	2100	2000	1700	1700	2000	1350	2000	1850	1250	1000	2000	2200	2430	2500	135	330	190	850	800	650	1000	1800	2100	2500	2500	2300	1800	800	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	55436	1110	800	1144	1412	1657	1273	11	149	1295	777	1455	452	1266	1087	895	1288	976	1073	1066	1517	1601	1495	1579	1417	1393	1588	1333	1053	1013	1239	819	1230	1171	802	580	1063	872	1537	1135	128	149	135	756	657	618	744	1553	893	1153	1753	955	1123	521	675									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3570	275	43	57	34	104	111	124	0	41	43	34	37	8	61	6	22	52	22	6	23	10	20	4	7	33	12	32	86	106	36	91	76	211	172	4	5	36	35	68	0	176	54	77	12	0	187	186	17	123	129	141	45	102	174									
6	Число погашенных избирательных бюллетеней	27794	615	407	299	554	739	616	0	11	664	430	511	61	226	552	349	690	472	405	428	830	889	685	717	576	574	500	635	561	581	725	440	694	468	276	416	932	1292	858	1297	7	5	1	17	131	32	69	61	1190	1224	618	1204	632	177	451									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3569	275	43	57	34	104	111	124	0	41	43	34	37	8	61	6	22	52	22	6	23	10	20	4	7	32	12	32	86	106	36	91	76	211	172	4	5	36	35	68	0	176	54	77	12	0	187	186	17	123	129	141	45	102	174									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	55329	1110	800	1144	1412	1553	1272	11	149	1295	777	1455	452	1266	1087	895	1288	976	1073	1066	1517	1601	1495	1579	1417	1393	1588	1333	1053	1013	1239	819	1230	1171	802	578	1063	872	1537	1135	128	149	135	756	657	618	744	1553	893	1153	1753	955	1123	521	675									
9	Число недействительных избирательных бюллетеней	129	0	0	1	0	5	2	0	1	0	2	0	0	0	8	3	0	0	0	5	0	6	0	13	0	17	0	0	0	0	0	0	0	0	0	15	7	7	0	0	0	2	5	0	4	0	16	6	4	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	58769	1385	843	1200	1446	1652	1381	135	148	1336	818	1489	489	1274	1140	898	1310	1028	1095	1067	1540	1605	1515	1570	1424	1408	1600	1365	1139	1119	1275	910	1306	1382	974	567	1061	901	1572	1203	128	323	184	833	665	618	915	1733	906	1276	1882	1096	1168	623	849									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2025	45	45	45	45	45	45	0	0	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	0	0	0	0	0	0	0	45	45	45	45	45	45	45	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	852	24	29	18	33	30	28	0	0	32	13	39	5	18	25	16	13	15	11	14	33	30	18	16	17	16	17	19	19	13	24	10	21	12	6	11	19	23	19	24	0	0	0	0	0	0	0	19	11	20	32	13	8	12	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	758	17	4	10	28	21	6	11	8	16	3	23	17	15	10	11	31	7	11	9	5	14	4	10	13	10	8	14	5	26	10	10	11	6	8	13	14	4	5	6	9	11	15	5	6	75	21	109	5	14	13	0	6	0	15									
14	Число погашенных неиспользованных открепительных удостоверений	1173	21	16	27	12	15	17	0	0	13	32	6	40	27	20	29	32	30	34	31	12	15	27	29	28	29	28	26	26	32	21	35	24	33	39	34	26	22	26	21	0	0	0	0	0	0	0	26	34	25	13	32	37	33	38									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	396	9	9	10	15	17	12	0	0	11	6	8	9	7	11	10	16	7	5	9	8	17	15	10	15	6	13	5	7	14	5	5	5	15	5	1	4	10	6	8	0	0	0	0	0	0	0	1	6	13	10	12	6	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1126	35	19	28	33	35	37	0	1	31	7	34	11	29	9	20	30	23	25	24	35	37	55	9	33	32	26	17	26	26	29	21	30	31	22	13	10	8	36	24	0	1	2	0	4	1	3	4	21	23	43	25	27	1	20									
