Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Дмитровская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10715	284	200	255	105	233	83	461	367	198	268	512	459	290	121	190	156	404	446	342	95	2515	2731									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10906	295	202	260	109	234	87	472	371	203	274	530	463	318	124	185	185	416	451	348	100	2476	2803									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4940	177	116	137	53	140	55	205	216	116	111	266	202	114	78	100	97	176	204	194	53	1028	1102									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	942	45	23	34	4	20	0	75	89	24	55	59	51	67	20	49	14	22	73	88	14	76	40									
6	Число погашенных избирательных бюллетеней	5024	73	63	89	52	74	32	192	66	63	108	205	210	137	26	36	74	218	174	66	33	1372	1661									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	942	45	23	34	4	20	0	75	89	24	55	59	51	67	20	49	14	22	73	88	14	76	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4938	177	116	137	53	140	55	205	216	116	109	266	202	114	78	100	97	176	204	194	53	1028	1102									
9	Число недействительных избирательных бюллетеней	116	1	4	2	1	6	2	6	0	6	1	0	0	2	3	3	0	1	9	3	1	34	31									
10	Число действительных избирательных бюллетеней	5764	221	135	169	56	154	53	274	305	134	163	325	253	179	95	146	111	197	268	279	66	1070	1111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	151	4	3	4	2	3	2	6	5	3	4	7	6	4	2	2	2	6	6	5	2	34	39									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	66	0	1	1	1	3	2	6	0	0	1	3	2	2	2	0	2	5	0	0	2	20	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	10	0	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	85	4	2	3	1	0	0	0	5	3	3	4	4	2	0	2	0	1	6	5	0	14	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	3	0	0	5	0	0	2	0	0	2	8	0	1	0	0	0	2	5	3	0	7	11									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	1	0	0	0	2	0	2	0	1	1	0	2	1	1	1	3	1	1	1	0	8	6									
		0.54%	0.45%	0.00%	0.00%	0.00%	1.25%	0.00%	0.71%	0.00%	0.71%	0.61%	0.00%	0.79%	0.55%	1.02%	0.67%	2.70%	0.51%	0.36%	0.35%	0.00%	0.72%	0.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	278	6	5	9	2	6	2	16	5	12	6	0	13	5	6	5	0	11	10	12	3	66	78									
		4.73%	2.70%	3.60%	5.26%	3.51%	3.75%	3.64%	5.71%	1.64%	8.57%	3.66%	0.00%	5.14%	2.76%	6.12%	3.36%	0.00%	5.56%	3.61%	4.26%	4.48%	5.98%	6.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	71	0	2	1	0	0	2	2	0	2	1	0	3	4	0	0	1	0	1	1	1	26	24									
		1.21%	0.00%	1.44%	0.58%	0.00%	0.00%	3.64%	0.71%	0.00%	1.43%	0.61%	0.00%	1.19%	2.21%	0.00%	0.00%	0.90%	0.00%	0.36%	0.35%	1.49%	2.36%	2.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3008	143	69	105	31	91	29	148	210	56	84	210	133	125	65	91	77	127	143	177	48	426	420									
		51.16%	64.41%	49.64%	61.40%	54.39%	56.88%	52.73%	52.86%	68.85%	40.00%	51.22%	64.62%	52.57%	69.06%	66.33%	61.07%	69.37%	64.14%	51.62%	62.77%	71.64%	38.59%	36.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	30	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	2	1	14	8									
		0.51%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.71%	0.61%	0.00%	0.00%	0.55%	0.00%	0.67%	0.00%	0.00%	0.00%	0.71%	1.49%	1.27%	0.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.61%	0.00%	0.40%	0.00%	1.02%	0.00%	0.00%	0.51%	0.36%	0.00%	0.00%	0.00%	0.09%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	990	31	27	23	8	25	13	46	22	30	25	56	48	21	7	13	16	26	61	41	5	217	229									
