Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Новоалександровская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920					
1	"Число избирателей, внесенных в списки избирателей"	47107	1555	1169	2734	2605	2038	1537	2205	1612	1798	2284	1500	145	275	522	146	986	868	636	201	101	332	1816	632	146	217	857	1212	1751	1597	183	197	410	92	188	187	173	189	2399	1249	175	1926	2012	841	360	249	1002	311	193	1294					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45826	1490	1140	2600	2515	1900	1400	2100	1500	1709	2230	1457	170	270	510	140	960	840	630	190	100	328	1770	625	144	213	830	1200	1740	1580	175	197	398	95	190	185	170	185	2390	1260	170	1920	1990	840	350	250	1000	290	193	1297					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25568	728	816	1214	1155	1007	742	1010	701	740	872	671	104	158	351	90	583	582	475	159	81	239	1019	368	90	176	463	535	859	828	144	141	285	82	143	172	128	159	1699	815	116	941	989	745	288	210	643	145	149	758					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1953	44	57	101	52	44	60	69	98	80	58	29	17	14	17	0	76	14	24	7	6	29	127	79	6	19	20	55	48	54	17	0	27	0	15	0	19	11	55	23	4	124	163	21	11	7	31	46	16	59					
6	Число погашенных избирательных бюллетеней	18305	718	267	1285	1308	849	598	1021	701	889	1300	757	49	98	142	50	301	244	131	24	13	60	624	178	48	18	347	610	833	698	14	56	86	13	32	13	23	15	636	422	50	855	838	74	51	33	326	99	28	480					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1953	44	57	101	52	44	60	69	98	80	58	29	17	14	17	0	76	14	24	7	6	29	127	79	6	19	20	55	48	54	17	0	27	0	15	0	19	11	55	23	4	124	163	21	11	7	31	46	16	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25568	728	816	1214	1155	1007	742	1010	701	740	872	671	104	158	351	90	583	582	475	159	81	239	1019	368	90	176	463	535	859	828	144	141	285	82	143	172	128	159	1699	815	116	941	989	745	288	210	643	145	149	758					
9	Число недействительных избирательных бюллетеней	258	7	2	16	13	8	4	12	2	6	10	3	0	0	0	2	15	16	10	1	0	3	11	2	1	5	4	2	13	8	2	3	2	0	2	2	1	0	11	9	1	7	10	7	9	0	2	4	1	9					
10	Число действительных избирательных бюллетеней	27263	765	871	1299	1194	1043	798	1067	797	814	920	697	121	172	368	88	644	580	489	165	87	265	1135	445	95	190	479	588	894	874	159	138	310	82	156	170	146	170	1743	829	119	1058	1142	759	290	217	672	187	164	808					
