Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
"Наименование Избирательной комиссии:    Ярославль, Красноперекопская"																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №878	УИК №879									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	50015	1557	1585	1690	1851	2230	2226	2371	2006	1628	1716	2177	1630	594	2492	2331	2744	2201	1725	1926	2073	2238	2251	2225	2231	2127	81	109									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36875	1100	1200	1200	1400	1625	1600	1700	1500	1200	1300	1600	1200	500	2050	1700	2000	1600	1300	1400	1500	1600	1600	1600	1600	1500	100	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15977	440	416	576	503	814	724	792	680	461	544	722	571	138	1557	829	1110	455	421	622	660	663	632	580	542	439	27	59									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	626	14	12	12	13	6	9	8	11	26	12	15	9	12	3	15	20	102	15	18	16	31	28	34	42	53	48	42									
6	Число погашенных избирательных бюллетеней	20272	646	772	612	884	805	867	900	809	713	744	863	620	350	490	856	870	1043	864	760	824	906	940	986	1016	1008	25	99									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	626	14	12	12	13	6	9	8	11	26	12	15	9	12	3	15	20	102	15	18	16	31	28	34	42	53	48	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15971	440	415	576	503	814	724	792	680	461	544	722	571	138	1557	829	1110	455	421	620	660	660	632	580	542	439	27	59									
9	Число недействительных избирательных бюллетеней	430	11	7	14	6	16	12	18	18	11	21	8	6	0	163	5	15	15	1	18	22	22	3	8	5	2	0	3									
10	Число действительных избирательных бюллетеней	16167	443	420	574	510	804	721	782	673	476	535	729	574	150	1397	839	1115	542	435	620	654	669	657	606	579	490	75	98									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	695	25	25	25	25	30	30	30	30	25	25	30	25	25	30	25	30	30	25	25	30	30	30	30	30	30	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	172	3	5	7	7	10	12	6	13	4	5	6	7	0	8	1	14	9	5	10	6	7	6	8	8	5	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	157	5	8	7	4	2	2	5	4	2	2	9	19	7	27	0	14	2	4	4	2	5	2	3	3	4	4	7									
14	Число погашенных неиспользованных открепительных удостоверений	523	22	20	18	18	20	18	24	17	21	20	24	18	25	22	24	16	21	20	15	24	23	24	22	22	25	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	1	1	0	0	0	1	2	0	0	1	1	0	1	0	0	0	2	1	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	446	12	11	17	14	16	22	19	21	10	25	16	8	5	39	21	33	16	13	14	16	24	20	25	11	16	1	1									
		2.69%	2.64%	2.58%	2.89%	2.71%	1.95%	3.00%	2.38%	3.04%	2.05%	4.50%	2.17%	1.38%	3.33%	2.50%	2.49%	2.92%	2.87%	2.98%	2.19%	2.37%	3.47%	3.03%	4.07%	1.88%	3.25%	1.33%	0.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	283	8	9	7	8	11	18	17	13	7	9	21	9	2	17	10	11	11	5	12	20	6	19	6	13	11	2	1									
		1.71%	1.76%	2.11%	1.19%	1.55%	1.34%	2.46%	2.13%	1.88%	1.44%	1.62%	2.85%	1.55%	1.33%	1.09%	1.18%	0.97%	1.97%	1.15%	1.88%	2.96%	0.87%	2.88%	0.98%	2.23%	2.24%	2.67%	0.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	440	19	15	14	24	15	17	23	29	10	12	24	22	3	10	15	25	11	13	21	24	20	6	20	19	19	4	6									
		2.65%	4.19%	3.51%	2.38%	4.65%	1.83%	2.32%	2.88%	4.20%	2.05%	2.16%	3.26%	3.79%	2.00%	0.64%	1.78%	2.21%	1.97%	2.98%	3.29%	3.55%	2.89%	0.91%	3.26%	3.25%	3.86%	5.33%	5.94%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6551	164	129	229	199	293	264	255	225	144	202	253	200	48	876	474	592	231	171	222	221	240	229	229	203	194	35	29									
		39.47%	36.12%	30.21%	38.95%	38.57%	35.73%	36.02%	31.88%	32.56%	29.57%	36.33%	34.33%	34.48%	32.00%	56.15%	56.16%	52.39%	41.47%	39.22%	34.80%	32.69%	34.73%	34.70%	37.30%	34.76%	39.43%	46.67%	28.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	370	13	16	9	11	23	12	19	10	8	10	18	10	2	23	21	16	18	11	14	20	23	14	15	21	11	0	2									
		2.23%	2.86%	3.75%	1.53%	2.13%	2.80%	1.64%	2.38%	1.45%	1.64%	1.80%	2.44%	1.72%	1.33%	1.47%	2.49%	1.42%	3.23%	2.52%	2.19%	2.96%	3.33%	2.12%	2.44%	3.60%	2.24%	0.00%	1.98%									
24	"6. Политическая партия ""Гражданская Платформа"""	88	5	4	3	1	3	5	5	4	3	4	3	1	1	9	2	2	4	2	4	3	2	5	3	5	3	1	1									
