Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Азовская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28					
1	"Число избирателей, внесенных в списки"	14531	1126	789	868	1050	530	338	169	170	157	805	106	495	1406	236	826	862	177	188	393	271	336	1063	168	119	329	64	1258	232					
2	"Число бюллетеней, полученных участковыми комиссиями"	14517	1104	793	853	1049	515	337	158	172	165	808	120	488	1462	243	823	858	172	188	385	272	338	1053	172	115	340	68	1239	227					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8647	562	466	414	619	327	224	95	120	122	465	93	314	733	169	526	405	109	122	318	192	240	561	130	101	213	61	780	166					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	261	12	16	33	16	6	16	0	10	9	14	13	16	13	0	20	4	10	11	0	0	0	20	0	1	9	0	11	1					
6	Число погашенных бюллетеней	5609	530	311	406	414	182	97	63	42	34	329	14	158	716	74	277	449	53	55	67	80	98	472	42	13	118	7	448	60					
7	Число бюллетеней в переносных ящиках для голосования	261	12	16	33	16	6	16	0	10	9	14	13	16	13	0	20	4	10	11	0	0	0	20	0	1	9	0	11	1					
8	Число бюллетеней в стационарных ящиках для голосования	8646	562	466	413	619	327	224	95	120	122	465	93	314	733	169	526	405	109	122	318	192	240	561	130	101	213	61	780	166					
9	Число недействительных бюллетеней	194	15	4	4	1	6	10	1	6	0	10	1	5	17	11	7	6	1	1	6	5	12	15	0	0	8	0	28	14					
10	Число действительных бюллетеней	8713	559	478	442	634	327	230	94	124	131	469	105	325	729	158	539	403	118	132	312	187	228	566	130	102	214	61	763	153					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	190	10	10	10	10	5	5	5	5	5	10	5	5	10	5	10	7	5	5	7	5	6	10	5	5	5	5	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	37	1	1	4	4	0	0	1	0	0	0	2	0	6	0	2	2	1	0	1	0	0	4	0	1	5	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	5	3	0	2	1	1	0	2	0	1	1	4	2	0	3	1	1	1	3	0	0	5	2	0	1	0	2	2					
14	Число погашенных открепительных удостоверений	153	9	9	6	6	5	5	4	5	5	10	3	5	4	5	8	5	4	5	6	5	6	6	5	4	0	5	8	5					
15	Число открепительных удостоверений выданных ТИК	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	228	16	12	6	8	8	11	7	4	2	9	2	10	28	8	11	6	7	2	8	5	10	9	1	6	5	1	22	4					
		2.55%	2.78%	2.48%	1.34%	1.25%	2.40%	4.58%	7.36%	3.07%	1.52%	1.87%	1.88%	3.03%	3.75%	4.73%	2.01%	1.46%	5.88%	1.50%	2.51%	2.60%	4.16%	1.54%	0.76%	5.88%	2.25%	1.63%	2.78%	2.39%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	257	17	16	13	28	10	6	3	5	0	9	1	3	24	3	24	21	3	7	6	1	3	29	0	2	4	0	16	3					
		2.88%	2.96%	3.31%	2.91%	4.40%	3.00%	2.5%	3.15%	3.84%	0.0%	1.87%	0.94%	0.90%	3.21%	1.77%	4.39%	5.13%	2.52%	5.26%	1.88%	0.52%	1.25%	4.99%	0.0%	1.96%	1.80%	0.0%	2.02%	1.79%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	315	23	14	19	7	12	7	7	3	4	12	1	12	25	5	13	26	7	6	7	18	7	18	6	3	9	0	33	11					
		3.53%	4.00%	2.90%	4.26%	1.10%	3.60%	2.91%	7.36%	2.30%	3.05%	2.50%	0.94%	3.63%	3.35%	2.95%	2.38%	6.35%	5.88%	4.51%	2.20%	9.37%	2.91%	3.09%	4.61%	2.94%	4.05%	0.0%	4.17%	6.58%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	233	14	9	18	44	17	3	1	1	2	10	1	10	12	3	34	11	0	0	2	0	1	20	2	2	2	0	13	1					
		2.61%	2.43%	1.86%	4.03%	6.92%	5.10%	1.25%	1.05%	0.76%	1.52%	2.08%	0.94%	3.03%	1.60%	1.77%	6.22%	2.68%	0.0%	0.0%	0.62%	0.0%	0.41%	3.44%	1.53%	1.96%	0.90%	0.0%	1.64%	0.59%					
22	"5. ""За Русь Святую"""	46	1	0	3	4	7	3	0	1	0	7	0	1	2	1	2	3	0	0	1	0	1	3	1	1	0	0	4	0					
		0.51%	0.17%	0.0%	0.67%	0.62%	2.10%	1.25%	0.0%	0.76%	0.0%	1.46%	0.0%	0.30%	0.26%	0.59%	0.36%	0.73%	0.0%	0.0%	0.31%	0.0%	0.41%	0.51%	0.76%	0.98%	0.0%	0.0%	0.50%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	1	0	3	1	0	0	1	1	0	0	0	1	3	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0					
		0.16%	0.17%	0.0%	0.67%	0.15%	0.0%	0.0%	1.05%	0.76%	0.0%	0.0%	0.0%	0.30%	0.40%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	54	2	0	1	4	2	0	0	0	1	5	1	4	3	0	2	4	1	2	1	0	0	7	1	1	4	0	7	1					
		0.60%	0.34%	0.0%	0.22%	0.62%	0.60%	0.0%	0.0%	0.0%	0.76%	1.04%	0.94%	1.21%	0.40%	0.0%	0.36%	0.97%	0.84%	1.50%	0.31%	0.0%	0.0%	1.20%	0.76%	0.98%	1.80%	0.0%	0.88%	0.59%					
25	"8. ""Народно-республиканская партия России"""	24	1	0	1	0	0	1	0	0	0	1	0	1	6	1	4	0	0	0	2	0	0	4	1	1	0	0	0	0					
		0.26%	0.17%	0.0%	0.22%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.20%	0.0%	0.30%	0.80%	0.59%	0.73%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.68%	0.76%	0.98%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	24	1	4	2	2	0	0	0	0	0	0	1	0	2	0	3	2	0	0	0	0	0	2	0	0	2	0	3	0					
		0.26%	0.17%	0.82%	0.44%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.26%	0.0%	0.54%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.90%	0.0%	0.37%	0.0%					
27	"10. ""Аграрная партия России"""	675	43	18	24	23	34	20	8	13	4	44	7	26	48	6	44	21	6	12	33	5	26	43	9	5	18	0	114	21					
		7.57%	7.49%	3.73%	5.38%	3.62%	10.21%	8.33%	8.42%	10.0%	3.05%	9.18%	6.60%	7.87%	6.43%	3.55%	8.05%	5.13%	5.04%	9.02%	10.37%	2.60%	10.83%	7.40%	6.92%	4.90%	8.10%	0.0%	14.41%	12.57%					
28	"11. ""Истинные патриоты России"""	21	1	0	4	0	0	0	0	1	0	0	1	0	3	1	0	0	0	1	0	1	3	0	0	1	1	0	2	1					
		0.23%	0.17%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.94%	0.0%	0.40%	0.59%	0.0%	0.0%	0.0%	0.75%	0.0%	0.52%	1.25%	0.0%	0.0%	0.98%	0.45%	0.0%	0.25%	0.59%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	105	10	4	2	5	2	5	1	1	0	9	1	7	11	5	4	4	2	0	1	3	3	6	4	2	1	1	9	2					
		1.17%	1.74%	0.82%	0.44%	0.78%	0.60%	2.08%	1.05%	0.76%	0.0%	1.87%	0.94%	2.12%	1.47%	2.95%	0.73%	0.97%	1.68%	0.0%	0.31%	1.56%	1.25%	1.03%	3.07%	1.96%	0.45%	1.63%	1.13%	1.19%					
