Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Воловская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207					
1	"Число избирателей, внесенных в список избирателей"	10993	345	314	161	250	193	1144	358	160	845	321	454	313	1401	1413	337	200	335	432	401	820	587	209					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11529	363	333	190	266	199	1267	372	171	848	319	477	349	1422	1434	363	215	376	444	434	855	601	231					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7164	189	172	116	133	128	684	189	66	511	159	330	243	1101	998	235	101	240	291	191	621	348	118					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1701	79	65	20	78	37	283	57	34	85	79	76	33	102	124	46	62	14	67	100	56	152	52					
6	Число погашенных избирательных бюллетеней	2664	95	96	54	55	34	300	126	71	252	81	71	73	219	312	82	52	122	86	143	178	101	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1701	79	65	20	78	37	283	57	34	85	79	76	33	102	124	46	62	14	67	100	56	152	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7164	189	172	116	133	128	684	189	66	511	159	330	243	1101	998	235	101	240	291	191	621	348	118					
9	Число недействительных избирательных бюллетеней	66	6	0	1	0	0	5	0	5	4	0	3	1	2	14	4	1	0	5	3	3	9	0					
10	Число действительных избирательных бюллетеней	8799	262	237	135	211	165	962	246	95	592	238	403	275	1201	1108	277	162	254	353	288	674	491	170					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	530	15	15	33	12	13	70	10	12	24	15	18	30	64	65	19	15	25	10	15	20	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	530	15	15	33	12	13	70	10	12	24	15	18	30	64	65	19	15	25	10	15	20	15	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	200	2	4	7	4	12	3	5	4	6	4	1	6	47	66	10	2	3	1	6	1	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	120	4	2	1	6	6	28	0	0	1	0	5	2	16	10	0	1	14	0	12	1	5	6					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	456	9	40	13	5	5	47	4	8	37	7	15	16	51	50	22	12	7	20	25	16	33	14					
		5.14%	3.36%	16.88%	9.56%	2.37%	3.03%	4.86%	1.63%	8.00%	6.21%	2.94%	3.69%	5.80%	4.24%	4.46%	7.83%	7.36%	2.76%	5.59%	8.59%	2.36%	6.60%	8.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	860	23	17	15	20	20	90	38	4	119	24	27	23	100	88	13	11	34	36	44	68	33	13					
		9.70%	8.58%	7.17%	11.03%	9.48%	12.12%	9.31%	15.45%	4.00%	19.97%	10.08%	6.65%	8.33%	8.31%	7.84%	4.63%	6.75%	13.39%	10.06%	15.12%	10.04%	6.60%	7.65%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	27	0	0	0	0	0	0	0	0	4	0	0	0	3	8	1	3	1	3	0	0	0	4					
		0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.25%	0.71%	0.36%	1.84%	0.39%	0.84%	0.00%	0.00%	0.00%	2.35%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	857	15	11	4	27	11	75	30	8	58	32	53	5	188	78	30	12	15	41	26	45	83	10					
		9.67%	5.60%	4.64%	2.94%	12.80%	6.67%	7.76%	12.20%	8.00%	9.73%	13.45%	13.05%	1.81%	15.63%	6.95%	10.68%	7.36%	5.91%	11.45%	8.93%	6.65%	16.60%	5.88%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	1	0	1	0	0	6	0	1	1	0	0	0	6	9	3	0	3	0	2	6	0	0					
		0.44%	0.37%	0.00%	0.74%	0.00%	0.00%	0.62%	0.00%	1.00%	0.17%	0.00%	0.00%	0.00%	0.50%	0.80%	1.07%	0.00%	1.18%	0.00%	0.69%	0.89%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6553	214	169	102	159	129	744	174	74	373	175	308	231	852	872	207	124	193	253	190	539	342	129					
		73.92%	79.85%	71.31%	75.00%	75.36%	78.18%	76.94%	70.73%	74.00%	62.58%	73.53%	75.86%	83.70%	70.82%	77.72%	73.67%	76.07%	75.98%	70.67%	65.29%	79.62%	68.40%	75.88%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	1	0	0	0					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.27%	0.36%	0.00%	0.39%	0.00%	0.34%	0.00%	0.00%	0.00%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
