Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Колышлейская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19456	372	1033	372	372	407	776	651	1185	569	512	608	664	1352	519	801	777	560	270	1197	1053	1050	1090	1304	1197	765									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19571	388	1089	388	367	413	788	667	1207	587	536	624	654	1347	526	814	777	563	274	1196	1074	1051	971	1317	1187	766									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9326	215	526	234	252	236	432	244	650	190	364	346	252	480	181	303	424	331	114	596	301	496	373	657	757	372									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2360	50	92	22	34	42	54	86	126	84	43	107	95	50	133	76	136	64	23	110	311	60	150	39	259	114									
6	Число погашенных избирательных бюллетеней	7885	123	471	132	81	135	302	337	431	313	129	171	307	817	212	435	217	168	137	490	462	495	448	621	171	280									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2360	50	92	22	34	42	54	86	126	84	43	107	95	50	133	76	136	64	23	110	311	60	150	39	259	114									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9321	215	526	234	252	236	432	244	650	190	364	346	252	480	181	303	424	331	114	595	299	496	373	657	755	372									
9	Число недействительных избирательных бюллетеней	152	4	8	7	0	0	1	4	3	7	0	3	6	20	0	7	2	1	3	3	4	7	3	37	20	2									
10	Число действительных избирательных бюллетеней	11529	261	610	249	286	278	485	326	773	267	407	450	341	510	314	372	558	394	134	702	606	549	520	659	994	484									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	221	5	20	5	5	5	7	10	10	10	15	5	7	10	5	10	12	5	5	10	10	10	10	15	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	133	5	20	2	4	0	3	6	2	9	12	5	4	4	2	7	8	1	1	7	10	3	5	8	2	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	1	1	0	2	2	0	3	0	1	1	3	2	4	0	1	3	2	2	1	2	2	3	1	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	88	0	0	3	1	5	4	4	8	1	3	0	3	6	3	3	4	4	4	3	0	7	5	7	8	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	3	3	6	3	1	0	0	3	0	0	0	3	1	0	0	7	0	1	2	8	2	0	5	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	7	2	1	0	1	2	1	3	1	0	3	1	6	0	0	0	3	0	7	2	1	7	7	5	0									
		0.51%	2.64%	0.32%	0.39%	0.00%	0.36%	0.41%	0.30%	0.39%	0.36%	0.00%	0.66%	0.29%	1.13%	0.00%	0.00%	0.00%	0.76%	0.00%	0.99%	0.33%	0.18%	1.34%	1.01%	0.49%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	285	4	13	6	1	3	11	8	15	7	11	11	13	12	16	11	10	9	7	16	21	14	22	18	16	10									
		2.44%	1.51%	2.10%	2.34%	0.35%	1.08%	2.26%	2.42%	1.93%	2.55%	2.70%	2.43%	3.75%	2.26%	5.10%	2.90%	1.79%	2.28%	5.11%	2.27%	3.44%	2.52%	4.21%	2.59%	1.58%	2.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	159	2	5	3	2	0	2	7	12	10	4	4	6	4	5	7	6	3	3	10	5	18	14	11	10	6									
		1.36%	0.75%	0.81%	1.17%	0.70%	0.00%	0.41%	2.12%	1.55%	3.65%	0.98%	0.88%	1.73%	0.75%	1.59%	1.85%	1.07%	0.76%	2.19%	1.42%	0.82%	3.24%	2.68%	1.58%	0.99%	1.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7603	158	420	166	201	200	382	171	593	155	318	340	210	309	200	224	411	283	78	443	411	298	233	352	698	349									
		65.09%	59.62%	67.96%	64.84%	70.28%	71.94%	78.60%	51.82%	76.42%	56.57%	78.13%	75.06%	60.52%	58.30%	63.69%	59.10%	73.39%	71.65%	56.93%	62.84%	67.38%	53.60%	44.55%	50.57%	68.84%	71.81%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	29	1	1	1	0	0	0	1	0	2	0	1	0	4	1	2	0	0	2	2	1	2	2	4	1	1									
		0.25%	0.38%	0.16%	0.39%	0.00%	0.00%	0.00%	0.30%	0.00%	0.73%	0.00%	0.22%	0.00%	0.75%	0.32%	0.53%	0.00%	0.00%	1.46%	0.28%	0.16%	0.36%	0.38%	0.57%	0.10%	0.21%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	3	0	0									
		0.08%	0.38%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.14%	0.00%	0.18%	0.00%	0.43%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1177	22	68	30	31	25	20	71	51	28	23	29	49	64	27	61	51	39	8	86	64	55	69	90	65	51									
		10.08%	8.30%	11.00%	11.72%	10.84%	8.99%	4.12%	21.52%	6.57%	10.22%	5.65%	6.40%	14.12%	12.08%	8.60%	16.09%	9.11%	9.87%	5.84%	12.20%	10.49%	9.89%	13.19%	12.93%	6.41%	10.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	3	0	0	1	0	0	0	1	1	2	0	0	2	1	2	2	1	0	1	2	2	1	2	2	0									
		0.22%	1.13%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.13%	0.36%	0.49%	0.00%	0.00%	0.38%	0.32%	0.53%	0.36%	0.25%	0.00%	0.14%	0.33%	0.36%	0.19%	0.29%	0.20%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	42	1	2	0	0	0	0	3	2	1	1	3	1	3	0	0	1	1	0	4	0	5	3	11	0	0									
		0.36%	0.38%	0.32%	0.00%	0.00%	0.00%	0.00%	0.91%	0.26%	0.36%	0.25%	0.66%	0.29%	0.57%	0.00%	0.00%	0.18%	0.25%	0.00%	0.57%	0.00%	0.90%	0.57%	1.58%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.26%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	57	0	1	0	2	0	1	3	3	0	3	1	0	1	1	8	0	1	0	4	2	9	2	5	3	7									
		0.49%	0.00%	0.16%	0.00%	0.70%	0.00%	0.21%	0.91%	0.39%	0.00%	0.74%	0.22%	0.00%	0.19%	0.32%	2.11%	0.00%	0.25%	0.00%	0.57%	0.33%	1.62%	0.38%	0.72%	0.30%	1.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1803	58	91	38	42	46	60	49	86	48	43	52	55	90	60	48	68	50	31	99	81	121	127	131	171	58									
