Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Афанасьевская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46					
1	"Число избирателей, внесенных в списки избирателей"	11641	2598	1376	171	81	148	653	680	111	234	251	158	164	601	193	218	304	103	202	535	201	207	332	106	502	413	132	430	194	145	198					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11800	2500	1400	178	80	158	650	670	115	245	255	162	168	640	200	230	315	107	210	550	212	220	345	110	500	420	140	460	200	145	215					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7664	1652	839	140	54	112	426	479	73	180	145	129	113	458	149	152	203	66	113	348	153	121	204	73	313	243	100	246	132	105	143					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1407	85	224	18	9	24	99	62	4	30	70	10	27	35	28	29	46	27	54	34	21	25	71	15	75	86	15	119	29	20	16					
6	Число погашенных избирательных бюллетеней	2729	763	337	20	17	22	125	129	38	35	40	23	28	147	23	49	66	14	43	168	38	74	70	22	112	91	25	95	39	20	56					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1407	85	224	18	9	24	99	62	4	30	70	10	27	35	28	29	46	27	54	34	21	25	71	15	75	86	15	119	29	20	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7664	1652	839	140	54	112	426	479	73	180	145	129	113	458	149	152	203	66	113	348	153	121	204	73	313	243	100	246	132	105	143					
9	Число недействительных избирательных бюллетеней	117	18	17	2	1	2	5	1	0	5	3	3	4	5	7	6	4	4	1	1	4	3	2	0	9	2	0	3	0	0	5					
10	Число действительных избирательных бюллетеней	8954	1719	1046	156	62	134	520	540	77	205	212	136	136	488	170	175	245	89	166	381	170	143	273	88	379	327	115	362	161	125	154					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	227	35	20	8	3	5	5	10	3	5	5	4	4	23	4	3	5	3	1	8	5	18	11	3	9	3	3	6	4	3	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	223	35	20	8	3	5	5	10	3	5	5	1	4	23	4	3	5	3	1	8	4	18	11	3	9	3	3	6	4	3	8					
