Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
"Наименование Избирательной комиссии:    Тула, Привокзальная"																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64874	1917	2062	1814	2101	1465	1224	1407	1074	1994	1700	2098	1942	1040	1719	1485	1926	1847	2088	2299	1449	1110	1956	1999	1844	2077	1537	1811	1655	1817	1826	2161	1885	1015	2161	1882	1917	1367	108	95									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50000	1500	1600	1400	1600	1100	900	1100	800	1500	1300	1600	1500	800	1300	1100	1400	1400	1600	1800	1100	900	1500	1500	1400	1600	1200	1400	1300	1400	1400	1700	1500	800	1600	1400	1500	1000	250	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24698	669	616	487	742	578	380	489	353	868	689	575	784	387	706	527	749	691	752	851	610	376	679	727	687	770	541	612	523	697	1261	815	1107	374	933	660	695	535	108	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	831	15	30	68	25	15	42	14	28	9	30	109	10	1	23	12	10	14	25	24	17	15	24	14	4	8	5	18	31	10	9	19	29	14	5	59	30	16	0	0									
6	Число погашенных избирательных бюллетеней	24471	816	954	845	833	507	478	597	419	623	581	916	706	412	571	561	641	695	823	925	473	509	797	759	709	822	654	770	746	693	130	866	364	412	662	681	775	449	142	155									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	831	15	30	68	25	15	42	14	28	9	30	109	10	1	23	12	10	14	25	24	17	15	24	14	4	8	5	18	31	10	9	19	29	14	5	59	30	16	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24664	669	616	487	742	578	380	489	353	867	689	575	781	387	706	525	749	690	751	851	610	376	677	727	687	756	541	612	523	687	1261	815	1107	374	933	660	695	535	108	95									
9	Число недействительных избирательных бюллетеней	537	12	6	12	26	13	3	8	5	13	12	10	16	10	17	10	17	19	21	14	7	9	17	4	16	14	20	13	8	20	28	21	9	7	45	19	22	12	0	2									
10	Число действительных избирательных бюллетеней	24958	672	640	543	741	580	419	495	376	863	707	674	775	378	712	527	742	685	755	861	620	382	684	737	675	750	526	617	546	677	1242	813	1127	381	893	700	703	539	108	93									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	860	20	20	20	20	20	20	20	20	40	30	20	30	20	30	30	20	20	20	20	20	20	40	20	20	30	20	20	20	20	30	30	20	20	30	20	20	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	560	17	14	13	16	18	14	12	8	31	20	9	16	14	21	19	16	9	16	15	12	10	34	16	5	20	7	11	9	18	22	25	14	6	21	8	12	12	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	549	17	6	14	8	16	14	17	7	12	9	10	12	5	24	16	6	12	15	11	21	5	22	48	15	12	8	3	12	12	12	13	12	8	13	42	31	10	11	8									
14	Число погашенных неиспользованных открепительных удостоверений	300	3	6	7	4	2	6	8	12	9	10	11	14	6	9	11	4	11	4	5	8	10	6	4	15	10	13	9	11	2	8	5	6	14	9	12	8	8	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	101	2	0	1	5	2	1	2	1	5	5	1	2	3	3	5	2	2	2	2	2	3	8	5	5	4	3	0	3	4	2	3	1	1	5	4	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	572	17	52	11	22	13	13	12	6	14	16	14	15	7	25	16	24	13	12	24	12	9	14	16	16	12	9	9	11	16	11	7	18	14	29	11	18	12	0	2									
		2.24%	2.49%	8.05%	1.98%	2.87%	2.19%	3.08%	2.39%	1.57%	1.60%	2.23%	2.05%	1.90%	1.80%	3.43%	2.98%	3.16%	1.85%	1.55%	2.74%	1.91%	2.30%	1.99%	2.16%	2.32%	1.57%	1.65%	1.43%	1.99%	2.30%	0.87%	0.84%	1.58%	3.61%	3.09%	1.53%	2.48%	2.18%	0.00%	2.11%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	506	12	17	15	16	18	6	17	12	22	13	10	16	10	7	12	19	11	12	17	10	7	18	18	21	17	5	21	15	10	10	11	11	3	15	17	13	16	5	1									
		1.98%	1.75%	2.63%	2.70%	2.09%	3.04%	1.42%	3.38%	3.15%	2.51%	1.81%	1.46%	2.02%	2.58%	0.96%	2.23%	2.50%	1.56%	1.55%	1.94%	1.59%	1.79%	2.57%	2.43%	3.04%	2.23%	0.92%	3.33%	2.71%	1.43%	0.79%	1.32%	0.97%	0.77%	1.60%	2.36%	1.79%	2.90%	4.63%	1.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	691	29	20	12	25	17	11	22	13	17	13	18	18	18	22	8	25	24	18	29	12	12	29	22	16	23	10	15	18	33	16	30	29	11	3	13	18	16	3	3									
		2.71%	4.24%	3.10%	2.16%	3.26%	2.87%	2.61%	4.37%	3.41%	1.94%	1.81%	2.63%	2.28%	4.64%	3.02%	1.49%	3.29%	3.41%	2.32%	3.31%	1.91%	3.07%	4.14%	2.97%	2.32%	3.01%	1.83%	2.38%	3.25%	4.73%	1.26%	3.60%	2.55%	2.84%	0.32%	1.81%	2.48%	2.90%	2.78%	3.16%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12343	326	295	295	374	291	221	226	187	414	322	346	340	152	327	258	303	292	313	387	378	159	305	333	314	325	255	293	289	325	926	404	723	199	412	301	403	214	69	47									
		48.41%	47.66%	45.67%	53.15%	48.76%	49.07%	52.37%	44.93%	49.08%	47.26%	44.78%	50.58%	42.98%	39.18%	44.86%	48.04%	39.92%	41.48%	40.34%	44.23%	60.29%	40.66%	43.51%	44.94%	45.44%	42.54%	46.70%	46.51%	52.17%	46.63%	72.91%	48.44%	63.64%	51.29%	43.92%	41.86%	55.59%	38.84%	63.89%	49.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	364	8	10	4	4	7	6	6	6	10	13	12	15	2	15	5	25	9	17	13	10	5	12	5	13	10	4	5	9	7	13	6	10	6	19	16	8	18	1	0									
