Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Новошешминская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11364	306	460	400	270	366	177	625	516	97	90	482	123	390	755	700	1160	718	507	100	510	535	130	333	581	405	394	234									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11532	308	464	399	278	371	181	635	533	101	92	477	129	395	766	714	1177	718	515	102	517	539	137	341	586	417	402	238									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10873	291	446	379	257	343	173	592	498	86	89	465	121	377	666	682	1127	693	487	99	488	515	125	319	563	384	382	226									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	298	12	11	13	10	15	0	22	8	7	0	12	0	4	74	10	10	10	11	0	12	9	3	7	7	15	11	5									
6	Число погашенных избирательных бюллетеней	361	5	7	7	11	13	8	21	27	8	3	0	8	14	26	22	40	15	17	3	17	15	9	15	16	18	9	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	298	12	11	13	10	15	0	22	8	7	0	12	0	4	74	10	10	10	11	0	12	9	3	7	7	15	11	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10873	291	446	379	257	343	173	592	498	86	89	465	121	377	666	682	1127	693	487	99	488	515	125	319	563	384	382	226									
9	Число недействительных избирательных бюллетеней	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	11164	303	457	392	267	358	173	607	506	93	89	477	121	381	740	692	1137	703	498	99	500	524	128	326	570	399	393	231									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	271	10	10	10	10	10	5	11	10	10	5	10	5	15	15	15	15	15	10	5	10	10	10	10	10	10	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	98	3	1	3	2	5	2	10	6	0	0	3	3	3	8	8	9	6	1	0	1	4	5	0	0	9	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	0	1	4	0	2	0	4	0	0	0	9	0	0	2	6	0	1	2	0	1	5	1	0	1	1	0	0									
