Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Старицкая																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17757	1939	1882	1454	1352	446	384	628	287	1000	190	209	1051	278	978	416	361	128	297	118	335	136	320	302	365	320	1231	203	255	119	773									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15905	1570	1550	1250	1150	440	380	630	290	950	190	210	950	270	800	400	350	125	250	110	300	130	300	300	370	320	1000	200	250	120	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9048	825	709	567	566	286	153	421	191	576	157	174	828	199	649	193	80	70	183	89	82	58	231	93	239	209	431	47	182	70	490									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2109	22	7	16	49	30	56	140	79	305	24	24	103	33	146	167	99	26	43	11	66	29	58	67	30	77	66	48	37	35	216									
6	Число погашенных избирательных бюллетеней	4748	723	834	667	535	124	171	69	20	69	9	12	19	38	5	40	171	29	24	10	152	43	11	140	101	34	503	105	31	15	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2109	22	7	16	49	30	56	140	79	305	24	24	103	33	146	167	99	26	43	11	66	29	58	67	30	77	66	48	37	35	216									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9038	825	700	567	566	286	153	421	191	576	157	174	828	199	649	193	80	70	183	89	82	58	231	93	239	209	430	47	182	70	490									
9	Число недействительных избирательных бюллетеней	91	10	11	7	16	2	1	0	0	5	0	0	6	6	2	3	1	0	5	0	1	1	1	0	0	0	6	1	3	0	3									
10	Число действительных избирательных бюллетеней	11056	837	696	576	599	314	208	561	270	876	181	198	925	226	793	357	178	96	221	100	147	86	288	160	269	286	490	94	216	105	703									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	422	30	40	20	25	17	8	23	18	55	5	5	15	12	30	12	5	3	10	5	6	5	20	4	7	3	13	2	10	2	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	137	10	8	8	14	2	0	11	12	15	0	0	2	1	7	3	3	0	2	1	6	2	3	0	7	0	5	0	10	2	3									
