Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Светлоярская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30422	1521	1419	1397	1438	1289	1336	1783	177	1133	1042	1104	1533	626	1517	1165	1239	391	110	1163	660	1217	287	217	1750	259	246	978	1085	1550	790									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30000	1500	1400	1300	1400	1300	1300	1750	150	1150	1050	1100	1550	600	1500	1200	1200	400	100	1150	650	1200	250	200	1750	250	200	1000	1050	1550	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10028	470	427	491	505	436	502	668	78	276	333	290	401	207	459	470	329	119	27	485	191	401	128	124	810	100	92	338	334	294	243									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1076	17	63	67	21	60	21	19	18	68	61	18	29	20	55	54	67	34	10	43	50	104	26	13	19	4	9	49	28	15	14									
6	Число погашенных избирательных бюллетеней	18896	1013	910	742	874	804	777	1063	54	806	656	792	1120	373	986	676	804	247	63	622	409	695	96	63	921	146	99	613	688	1241	543									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1076	17	63	67	21	60	21	19	18	68	61	18	29	20	55	54	67	34	10	43	50	104	26	13	19	4	9	49	28	15	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10027	470	427	491	505	436	502	668	78	276	333	290	401	207	459	469	329	119	27	485	191	401	128	124	810	100	92	338	334	294	243									
9	Число недействительных избирательных бюллетеней	251	4	4	12	9	13	12	15	5	12	6	2	15	12	21	10	0	6	0	11	8	13	2	0	26	5	3	4	2	6	13									
10	Число действительных избирательных бюллетеней	10852	483	486	546	517	483	511	672	91	332	388	306	415	215	493	513	396	147	37	517	233	492	152	137	803	99	98	383	360	303	244									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	15	15	15	15	15	15	20	5	10	10	10	20	7	15	25	15	5	3	15	5	15	5	5	20	5	5	10	10	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	248	11	15	8	8	15	11	4	5	10	5	10	20	7	7	25	6	3	0	15	1	4	0	0	12	2	4	10	10	16	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	95	1	1	2	2	4	7	4	9	4	1	14	4	2	4	2	3	2	1	3	2	2	1	1	5	1	6	5	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	112	4	0	7	7	0	4	16	0	0	5	0	0	0	8	0	9	2	3	0	4	11	5	5	8	3	1	0	0	4	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	3	1	3	5	4	4	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	93	8	8	2	3	6	4	7	1	5	4	4	2	0	4	0	1	4	0	6	5	0	1	0	5	0	1	3	4	4	1									
		0.84%	1.64%	1.63%	0.36%	0.57%	1.21%	0.76%	1.02%	1.04%	1.45%	1.02%	1.30%	0.47%	0.00%	0.78%	0.00%	0.25%	2.61%	0.00%	1.14%	2.07%	0.00%	0.65%	0.00%	0.60%	0.00%	0.99%	0.78%	1.10%	1.29%	0.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	359	18	8	10	12	14	12	31	1	11	14	13	17	4	16	13	9	3	2	20	10	16	6	6	51	4	5	9	13	3	8									
		3.23%	3.70%	1.63%	1.79%	2.28%	2.82%	2.29%	4.51%	1.04%	3.20%	3.55%	4.22%	3.95%	1.76%	3.11%	2.49%	2.27%	1.96%	5.41%	3.79%	4.15%	3.17%	3.90%	4.38%	6.15%	3.85%	4.95%	2.33%	3.59%	0.97%	3.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	178	12	6	9	9	11	6	16	2	3	8	7	9	2	9	6	7	1	0	6	4	5	1	3	12	3	0	10	4	6	1									
		1.60%	2.46%	1.22%	1.61%	1.71%	2.22%	1.15%	2.33%	2.08%	0.87%	2.03%	2.27%	2.09%	0.88%	1.75%	1.15%	1.77%	0.65%	0.00%	1.14%	1.66%	0.99%	0.65%	2.19%	1.45%	2.88%	0.00%	2.58%	1.10%	1.94%	0.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5920	235	300	335	294	281	253	347	59	197	199	137	199	122	269	387	238	104	28	214	115	333	102	86	341	48	37	194	173	141	152									
		53.32%	48.25%	61.22%	60.04%	55.89%	56.65%	48.37%	50.51%	61.46%	57.27%	50.51%	44.48%	46.28%	53.74%	52.33%	73.99%	60.10%	67.97%	75.68%	40.53%	47.72%	65.94%	66.23%	62.77%	41.13%	46.15%	36.63%	50.13%	47.79%	45.63%	59.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	2	2	2	2	6	4	3	1	0	1	2	0	1	1	0	2	0	0	1	0	0	0	1	4	2	0	3	2	0	0									
		0.38%	0.41%	0.41%	0.36%	0.38%	1.21%	0.76%	0.44%	1.04%	0.00%	0.25%	0.65%	0.00%	0.44%	0.19%	0.00%	0.51%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.73%	0.48%	1.92%	0.00%	0.78%	0.55%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	0	0	0	1	0	1	1	0	0	0	2	2	3	0	0	0	0	0	0	2	1	2	0	1	0	1	1	0	0	2									
		0.18%	0.00%	0.00%	0.00%	0.19%	0.00%	0.19%	0.15%	0.00%	0.00%	0.00%	0.65%	0.47%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.20%	1.30%	0.00%	0.12%	0.00%	0.99%	0.26%	0.00%	0.00%	0.78%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1722	90	69	59	81	64	91	103	10	55	66	57	70	35	84	40	81	24	1	112	50	50	13	9	119	24	14	73	68	74	36									
		15.51%	18.48%	14.08%	10.57%	15.40%	12.90%	17.40%	14.99%	10.42%	15.99%	16.75%	18.51%	16.28%	15.42%	16.34%	7.65%	20.45%	15.69%	2.70%	21.21%	20.75%	9.90%	8.44%	6.57%	14.35%	23.08%	13.86%	18.86%	18.78%	23.95%	14.01%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	52	4	2	0	2	1	3	6	0	2	4	1	3	0	0	2	2	0	0	1	0	0	0	0	2	1	2	6	5	3	0									
