Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Булунская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №809	УИК №810	УИК №811									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5697	885	1345	825	473	272	744	315	214	149	458	4	4	9									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4518	550	801	575	300	280	700	345	300	160	490	4	4	9									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	391	0	228	0	0	10	42	26	16	11	58	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2447	466	308	408	209	125	318	164	144	67	226	3	3	6									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	118	6	27	10	4	9	28	13	3	0	18	0	0	0									
6	Число погашенных избирательных бюллетеней	1562	78	238	157	87	136	312	142	137	82	188	1	1	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	509	6	255	10	4	19	70	39	19	11	76	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2446	466	308	408	208	125	318	164	144	67	226	3	3	6									
9	Число недействительных избирательных бюллетеней	42	7	13	4	5	1	7	0	2	0	3	0	0	0									
10	Число действительных избирательных бюллетеней	2913	465	550	414	207	143	381	203	161	78	299	3	3	6									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	105	10	10	5	5	15	15	10	10	10	15	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	80	7	6	1	2	5	15	10	10	9	15	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	7	41	11	0	10	1	10	18	1	12	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	25	3	4	4	3	10	0	0	0	1	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	130	17	18	23	1	1	22	24	4	6	14	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	56	21	8	9	3	3	3	1	3	0	5	0	0	0									
		1.90%	4.45%	1.42%	2.15%	1.42%	2.08%	0.77%	0.49%	1.84%	0.00%	1.66%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	73	9	9	7	4	4	12	10	7	3	8	0	0	0									
		2.47%	1.91%	1.60%	1.67%	1.89%	2.78%	3.09%	4.93%	4.29%	3.85%	2.65%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	71	4	10	14	6	1	18	8	3	0	7	0	0	0									
		2.40%	0.85%	1.78%	3.35%	2.83%	0.69%	4.64%	3.94%	1.84%	0.00%	2.32%	0.00%	0.00%	0.00%									
