Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Бавлинская городская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17143	1067	1119	1056	1047	1079	1072	1034	1129	1083	1027	1102	1042	1087	1069	1076	1054									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17400	1071	1146	1082	1070	1065	1069	1055	1125	1071	1065	1143	1046	1111	1088	1099	1094									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14796	598	1005	852	912	926	898	897	1010	937	944	971	951	999	983	918	995									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	413	15	11	35	67	24	22	13	17	27	12	5	21	23	36	80	5									
6	Число погашенных избирательных бюллетеней	2191	458	130	195	91	115	149	145	98	107	109	167	74	89	69	101	94									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	413	15	11	35	67	24	22	13	17	27	12	5	21	23	36	80	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14795	598	1005	852	912	926	898	897	1010	937	944	971	951	999	982	918	995									
9	Число недействительных избирательных бюллетеней	124	17	4	3	0	0	1	5	9	0	0	8	10	0	5	57	5									
10	Число действительных избирательных бюллетеней	15084	596	1012	884	979	950	919	905	1018	964	956	968	962	1022	1013	941	995									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	440	22	37	22	22	22	22	22	22	23	41	32	22	22	22	22	65									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	356	22	37	22	22	22	11	22	22	23	21	32	22	22	13	12	31									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	1	13	0	1	9	3	2	2	3	7	2	2	4	1	1	5									
14	Число погашенных неиспользованных открепительных удостоверений	84	0	0	0	0	0	11	0	0	0	20	0	0	0	9	10	34									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	0	3	6	3	2	1	2	4	2	1	2	0	5	2	3	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	120	3	7	15	3	3	4	8	11	10	5	9	12	1	8	11	10									
		0.79%	0.49%	0.69%	1.69%	0.31%	0.32%	0.43%	0.88%	1.07%	1.04%	0.52%	0.92%	1.23%	0.10%	0.79%	1.10%	1.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	194	22	10	15	8	2	16	8	4	5	2	3	31	23	7	12	26									
		1.28%	3.59%	0.98%	1.69%	0.82%	0.21%	1.74%	0.88%	0.39%	0.52%	0.21%	0.31%	3.19%	2.25%	0.69%	1.20%	2.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	188	19	15	19	5	10	9	10	16	15	2	8	21	15	6	8	10									
		1.24%	3.10%	1.48%	2.14%	0.51%	1.05%	0.98%	1.10%	1.56%	1.56%	0.21%	0.82%	2.16%	1.47%	0.59%	0.80%	1.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12882	399	878	712	856	864	755	802	898	809	859	854	796	889	945	754	812									
		84.71%	65.09%	86.42%	80.27%	87.44%	90.95%	82.07%	88.13%	87.44%	83.92%	89.85%	87.50%	81.89%	86.99%	92.83%	75.55%	81.20%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	66	5	1	9	1	0	2	3	13	9	0	4	4	2	9	3	1									
		0.43%	0.82%	0.10%	1.01%	0.10%	0.00%	0.22%	0.33%	1.27%	0.93%	0.00%	0.41%	0.41%	0.20%	0.88%	0.30%	0.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	0	3	0	2	0	1	0	0	3	0	3	0	1	3	0	4									
		0.13%	0.00%	0.30%	0.00%	0.20%	0.00%	0.11%	0.00%	0.00%	0.31%	0.00%	0.31%	0.00%	0.10%	0.29%	0.00%	0.40%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	448	56	28	14	11	16	45	13	20	10	28	19	33	20	10	71	54									
		2.95%	9.14%	2.76%	1.58%	1.12%	1.68%	4.89%	1.43%	1.95%	1.04%	2.93%	1.95%	3.40%	1.96%	0.98%	7.11%	5.40%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	31	0	3	0	3	2	2	0	2	2	0	1	1	5	3	2	5									
		0.20%	0.00%	0.30%	0.00%	0.31%	0.21%	0.22%	0.00%	0.19%	0.21%	0.00%	0.10%	0.10%	0.49%	0.29%	0.20%	0.50%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	46	3	3	0	3	1	2	2	2	3	1	3	0	11	6	4	2									
		0.30%	0.49%	0.30%	0.00%	0.31%	0.11%	0.22%	0.22%	0.19%	0.31%	0.10%	0.31%	0.00%	1.08%	0.59%	0.40%	0.20%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	2	0	0	2	3	3	0	2	3	0	0	0	3	3	2	2									
		0.16%	0.33%	0.00%	0.00%	0.20%	0.32%	0.33%	0.00%	0.19%	0.31%	0.00%	0.00%	0.00%	0.29%	0.29%	0.20%	0.20%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	73	7	8	4	5	2	4	5	3	3	2	7	6	2	3	5	7									
		0.48%	1.14%	0.79%	0.45%	0.51%	0.21%	0.43%	0.55%	0.29%	0.31%	0.21%	0.72%	0.62%	0.20%	0.29%	0.50%	0.70%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	750	79	39	84	71	28	58	44	32	51	42	44	44	36	5	55	38									
		4.93%	12.89%	3.84%	9.47%	7.25%	2.95%	6.30%	4.84%	3.12%	5.29%	4.39%	4.51%	4.53%	3.52%	0.49%	5.51%	3.80%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	34	1	1	0	2	0	3	3	0	4	3	5	1	2	2	3	4									
		0.22%	0.16%	0.10%	0.00%	0.20%	0.00%	0.33%	0.33%	0.00%	0.41%	0.31%	0.51%	0.10%	0.20%	0.20%	0.30%	0.40%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	207	0	16	12	7	19	15	7	15	37	12	8	13	12	3	11	20									
		1.36%	0.00%	1.57%	1.35%	0.72%	2.00%	1.63%	0.77%	1.46%	3.84%	1.26%	0.82%	1.34%	1.17%	0.29%	1.10%	2.00%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
