Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
"Наименование Избирательной комиссии:    Калуга, Ленинская"																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251					
1	"Число избирателей, внесенных в список избирателей"	104292	2612	1844	2789	1894	2290	1771	704	2017	1575	1572	1544	2504	2678	2700	1610	1456	2093	2462	2445	2403	2611	2464	2272	1834	2152	2500	2621	2041	1830	2207	2080	2268	2630	2351	2473	2430	2475	2356	2716	2389	2511	2118	1945	2414	1928	932	316	995	449	1990	569	462					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78714	2000	1600	2200	1500	1800	1500	500	1500	1200	1200	1100	1800	2000	2200	1300	1200	1500	1800	1800	1700	2000	2000	1600	1300	1600	1800	2000	1500	1500	1600	1500	1600	2000	1600	1800	1700	1800	1700	2000	2000	2000	1700	1500	1700	1300	700	250	700	400	1500	500	464					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	53356	1473	921	1513	947	1388	937	314	976	810	818	914	1366	1386	1259	689	782	1127	1180	1184	1214	1416	1286	1231	983	1129	1360	1410	1009	968	1009	1097	1149	1375	1202	1250	1220	1214	1223	1461	1318	1349	1057	863	1138	966	313	114	486	191	893	16	462					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2642	85	122	36	26	8	15	6	30	44	29	19	47	58	45	29	29	102	69	38	36	37	22	54	38	49	48	70	28	79	69	19	35	18	18	35	34	24	51	48	27	32	33	10	23	100	114	55	22	38	64	475	0					
6	Число погашенных избирательных бюллетеней	22715	441	557	651	527	404	548	180	494	346	353	167	387	556	896	582	389	271	551	578	450	547	692	315	279	422	392	520	463	453	522	384	416	607	380	515	446	562	426	491	655	619	610	627	539	234	273	81	192	171	543	9	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2641	85	122	36	26	8	15	6	30	44	29	19	47	58	45	29	29	102	68	38	36	37	22	54	38	49	48	70	28	79	69	19	35	18	18	35	34	24	51	48	27	32	33	10	23	100	114	55	22	38	64	475	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53339	1473	921	1513	947	1388	937	314	976	810	818	914	1366	1385	1259	689	782	1127	1179	1181	1214	1416	1286	1231	983	1129	1359	1406	1008	968	1009	1097	1149	1375	1202	1250	1219	1210	1223	1461	1318	1349	1057	863	1138	966	313	113	486	191	893	16	462					
9	Число недействительных избирательных бюллетеней	706	17	9	18	20	17	11	4	11	11	9	18	23	15	23	9	9	14	13	13	15	20	25	27	0	14	20	22	19	14	19	16	12	12	20	14	15	9	15	11	13	21	10	10	9	13	6	0	7	2	13	6	13					
10	Число действительных избирательных бюллетеней	55274	1541	1034	1531	953	1379	941	316	995	843	838	915	1390	1428	1281	709	802	1215	1234	1206	1235	1433	1283	1258	1021	1164	1387	1454	1017	1033	1059	1100	1172	1381	1200	1271	1238	1225	1259	1498	1332	1360	1080	863	1152	1053	421	168	501	227	944	485	449					
