Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Чернянская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23339	1297	1208	1531	1398	1355	1278	1523	1312	734	410	148	154	128	101	423	199	228	551	1284	161	161	641	483	400	656	116	75	102	390	115	444	222	687	195	553	106	260	197	206	478	88	668	673									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23475	1300	1200	1500	1400	1350	1280	1520	1300	730	420	150	160	130	105	425	205	230	560	1300	170	170	650	500	410	660	120	80	110	400	120	450	215	700	200	550	110	270	205	210	480	95	670	665									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16879	976	841	1026	856	1014	939	1224	1112	533	276	99	135	111	85	302	161	185	448	940	153	126	489	299	345	440	97	64	83	267	71	254	138	411	145	409	85	170	130	173	255	62	409	541									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2434	63	57	65	57	45	79	64	90	76	57	41	17	10	11	41	32	35	57	178	4	18	107	51	46	86	15	10	19	86	35	88	49	164	36	66	18	68	48	12	107	20	165	41									
6	Число погашенных избирательных бюллетеней	4162	261	302	409	487	291	262	232	98	121	87	10	8	9	9	82	12	10	55	182	13	26	54	150	19	134	8	6	8	47	14	108	28	125	19	75	7	32	27	25	118	13	96	83									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2434	63	57	65	57	45	79	64	90	76	57	41	17	10	11	41	32	35	57	178	4	18	107	51	46	86	15	10	19	86	35	88	49	164	36	66	18	68	48	12	107	20	165	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16879	976	841	1026	856	1014	939	1224	1112	533	276	99	135	111	85	302	161	185	448	940	153	126	489	299	345	440	97	64	83	267	71	254	138	411	145	409	85	170	130	173	255	62	409	541									
9	Число недействительных избирательных бюллетеней	275	5	22	21	13	22	20	25	44	9	6	1	0	1	0	6	2	3	0	14	0	0	0	5	0	6	0	0	1	6	0	6	3	11	1	9	1	2	0	0	5	0	0	5									
10	Число действительных избирательных бюллетеней	19038	1034	876	1070	900	1037	998	1263	1158	600	327	139	152	120	96	337	191	217	505	1104	157	144	596	345	391	520	112	74	101	347	106	336	184	564	180	466	102	236	178	185	357	82	574	577									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	266	10	8	7	8	8	12	18	12	8	10	2	3	4	2	8	5	3	4	13	2	5	4	5	4	7	2	2	4	5	2	4	2	15	3	16	10	5	2	2	2	2	8	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	156	8	4	5	8	7	7	11	3	3	8	2	3	4	1	3	1	0	1	5	0	5	4	2	1	7	0	1	1	1	0	3	2	12	3	12	3	3	1	0	1	0	3	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	145	11	16	6	8	6	6	6	5	3	2	2	3	1	1	4	2	2	1	4	1	1	2	2	1	1	1	1	1	2	0	4	7	5	2	11	1	2	0	2	3	1	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	110	2	4	2	0	1	5	7	9	5	2	0	0	0	1	5	4	3	3	8	2	0	0	3	3	0	2	1	3	4	2	1	0	3	0	4	7	2	1	2	1	2	5	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	9	3	9	13	6	9	9	6	7	0	0	0	0	0	1	0	0	0	5	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	117	0	6	10	11	11	5	5	7	5	1	0	2	0	0	5	1	1	0	3	1	3	11	4	0	3	0	0	0	2	0	3	1	2	0	1	2	0	0	0	1	0	6	4									
		0.61%	0.00%	0.67%	0.92%	1.20%	1.04%	0.49%	0.39%	0.58%	0.82%	0.30%	0.00%	1.32%	0.00%	0.00%	1.46%	0.52%	0.45%	0.00%	0.27%	0.64%	2.08%	1.85%	1.14%	0.00%	0.57%	0.00%	0.00%	0.00%	0.57%	0.00%	0.88%	0.53%	0.35%	0.00%	0.21%	1.94%	0.00%	0.00%	0.00%	0.28%	0.00%	1.05%	0.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	314	8	13	25	11	23	20	28	40	5	8	0	2	0	4	7	3	2	0	12	1	2	13	10	0	12	1	1	0	3	0	9	1	14	2	8	1	2	1	3	5	1	8	5									
		1.63%	0.77%	1.45%	2.29%	1.20%	2.17%	1.96%	2.17%	3.33%	0.82%	2.40%	0.00%	1.32%	0.00%	4.17%	2.04%	1.55%	0.91%	0.00%	1.07%	0.64%	1.39%	2.18%	2.86%	0.00%	2.28%	0.89%	1.35%	0.00%	0.85%	0.00%	2.63%	0.53%	2.43%	1.10%	1.68%	0.97%	0.84%	0.56%	1.62%	1.38%	1.22%	1.39%	0.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	245	17	10	24	30	11	20	21	9	6	5	2	2	0	2	5	0	3	0	11	0	2	0	1	3	4	0	0	0	2	2	3	3	13	0	6	1	3	1	1	4	0	6	12									
		1.27%	1.64%	1.11%	2.20%	3.29%	1.04%	1.96%	1.63%	0.75%	0.99%	1.50%	1.43%	1.32%	0.00%	2.08%	1.46%	0.00%	1.36%	0.00%	0.98%	0.00%	1.39%	0.00%	0.29%	0.77%	0.76%	0.00%	0.00%	0.00%	0.57%	1.89%	0.88%	1.60%	2.26%	0.00%	1.26%	0.97%	1.26%	0.56%	0.54%	1.10%	0.00%	1.05%	2.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13493	783	566	624	564	634	658	832	794	456	196	105	96	86	61	178	143	153	480	849	117	92	482	210	356	367	64	63	82	321	83	217	132	394	149	352	84	166	130	127	288	74	456	429									
		69.86%	75.36%	63.03%	57.20%	61.77%	59.87%	64.64%	64.60%	66.06%	74.88%	58.86%	75.00%	63.16%	71.07%	63.54%	51.90%	74.09%	69.55%	95.05%	75.94%	74.52%	63.89%	80.87%	60.00%	91.05%	69.77%	57.14%	85.14%	80.39%	90.93%	78.30%	63.45%	70.59%	68.52%	82.32%	74.11%	81.55%	69.75%	73.03%	68.65%	79.56%	90.24%	79.44%	73.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	77	4	2	5	5	8	3	4	10	0	1	0	4	0	0	0	1	0	0	5	1	2	0	2	0	0	1	0	1	1	0	1	2	3	0	1	0	0	2	1	1	0	3	3									
		0.40%	0.38%	0.22%	0.46%	0.55%	0.76%	0.29%	0.31%	0.83%	0.00%	0.30%	0.00%	2.63%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.45%	0.64%	1.39%	0.00%	0.57%	0.00%	0.00%	0.89%	0.00%	0.98%	0.28%	0.00%	0.29%	1.07%	0.52%	0.00%	0.21%	0.00%	0.00%	1.12%	0.54%	0.28%	0.00%	0.52%	0.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	1	3	0	0	5	0	1	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0									
		0.12%	0.10%	0.33%	0.00%	0.00%	0.47%	0.00%	0.08%	0.17%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	1.04%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.17%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2101	57	111	193	123	164	147	155	131	70	44	13	25	24	12	37	16	19	7	124	14	27	33	55	12	45	12	5	7	6	8	42	22	68	15	46	5	32	8	31	27	6	40	63									
		10.88%	5.49%	12.36%	17.69%	13.47%	15.49%	14.44%	12.03%	10.90%	11.49%	13.21%	9.29%	16.45%	19.83%	12.50%	10.79%	8.29%	8.64%	1.39%	11.09%	8.92%	18.75%	5.54%	15.71%	3.07%	8.56%	10.71%	6.76%	6.86%	1.70%	7.55%	12.28%	11.76%	11.83%	8.29%	9.68%	4.85%	13.45%	4.49%	16.76%	7.46%	7.32%	6.97%	10.82%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	39	0	2	4	3	2	0	9	4	0	1	0	2	0	0	3	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3									
		0.20%	0.00%	0.22%	0.37%	0.33%	0.19%	0.00%	0.70%	0.33%	0.00%	0.30%	0.00%	1.32%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	45	0	3	2	2	4	5	3	3	2	1	0	0	0	0	1	0	1	0	3	0	0	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	4	3									
		0.23%	0.00%	0.33%	0.18%	0.22%	0.38%	0.49%	0.23%	0.25%	0.33%	0.30%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.45%	0.00%	0.27%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.70%	0.52%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	1	0	0	3	1	2	2	2	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1									
		0.10%	0.10%	0.00%	0.00%	0.33%	0.09%	0.20%	0.16%	0.17%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.45%	0.00%	0.09%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	0.17%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	7	5	7	4	0	1	8	4	1	2	0	0	1	1	1	1	1	0	5	1	0	0	1	0	1	0	1	0	2	0	1	0	2	0	1	0	2	2	0	0	0	2	2									
		0.35%	0.67%	0.56%	0.64%	0.44%	0.00%	0.10%	0.62%	0.33%	0.16%	0.60%	0.00%	0.00%	0.83%	1.04%	0.29%	0.52%	0.45%	0.00%	0.45%	0.64%	0.00%	0.00%	0.29%	0.00%	0.19%	0.00%	1.35%	0.00%	0.57%	0.00%	0.29%	0.00%	0.35%	0.00%	0.21%	0.00%	0.84%	1.12%	0.00%	0.00%	0.00%	0.35%	0.34%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1936	63	121	138	110	128	104	157	119	45	63	18	16	7	13	81	14	30	10	68	21	14	55	50	16	74	26	4	9	8	12	50	22	50	8	40	7	19	26	18	25	0	35	42									
		10.02%	6.06%	13.47%	12.65%	12.05%	12.09%	10.22%	12.19%	9.90%	7.39%	18.92%	12.86%	10.53%	5.79%	13.54%	23.62%	7.25%	13.64%	1.98%	6.08%	13.38%	9.72%	9.23%	14.29%	4.09%	14.07%	23.21%	5.41%	8.82%	2.27%	11.32%	14.62%	11.76%	8.70%	4.42%	8.42%	6.80%	7.98%	14.61%	9.73%	6.91%	0.00%	6.10%	7.22%									
