Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Дербентская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896					
1	"Число избирателей, внесенных в списки"	49430	1368	2251	1125	580	430	830	868	146	745	986	1214	1602	2037	1926	1072	1539	1477	304	2489	597	298	560	1793	436	1150	840	1539	2275	313	991	1499	538	1194	1200	1630	1371	1508	1294	1119	2100	1049	1147					
2	"Число бюллетеней, полученных участковыми комиссиями"	48057	1400	2000	1200	570	420	820	800	140	670	960	1190	1600	1900	1900	1000	1500	1500	330	2500	600	303	560	1900	420	1200	850	1560	2000	330	960	1480	526	1150	1200	1712	1200	1200	1200	1200	2000	1033	1073					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	43531	1192	1817	1125	561	409	727	759	86	647	940	1145	1530	1420	1640	816	829	929	288	2450	597	255	505	1793	420	1117	840	1433	1998	249	788	1380	511	1120	966	1626	1155	1200	1125	1119	1970	999	1055					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	4512	208	183	75	9	11	93	41	54	23	20	45	70	480	260	184	671	571	42	50	3	48	55	107	0	83	10	127	2	81	172	100	15	16	234	86	45	0	75	81	30	34	18					
7	Число бюллетеней в переносных ящиках для голосования	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	43417	1192	1817	1125	561	409	727	759	86	647	940	1145	1530	1414	1640	816	829	929	288	2450	597	255	505	1793	420	1117	840	1433	1998	249	788	1380	511	1120	966	1626	1155	1096	1125	1119	1970	999	1051					
9	Число недействительных бюллетеней	560	0	17	5	104	3	0	0	0	0	0	0	2	0	0	11	33	7	5	0	0	0	0	0	0	0	306	5	3	1	0	0	5	0	4	20	5	8	0	12	0	0	4					
10	Число действительных бюллетеней	42871	1192	1800	1120	457	406	727	759	86	647	940	1145	1528	1414	1640	805	796	922	283	2450	597	255	505	1793	420	1117	534	1428	1995	248	788	1380	506	1134	962	1606	1150	1088	1125	1107	1970	999	1047					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	90	2	4	0	2	0	0	2	0	0	2	2	2	2	2	2	2	2	2	5	2	2	2	4	2	3	5	3	4	2	2	2	2	2	2	2	2	2	2	2	4	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	39	2	4	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	2	1	0	0	2	3	3	3	0	2	0	0	0	2	2	0	0	0	1	0	4	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
